end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 11:32:00,,,,,,0.7800,0.00,38419.00
2026-02-25 11:35:00,,,,,,0.7800,0.00,38419.00
2026-02-25 11:36:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,5.00,38424.00
2026-02-25 11:37:00,,,,,,0.7800,0.00,38424.00
2026-02-25 11:38:00,,,,,,0.7800,0.00,38424.00
2026-02-25 11:39:00,,,,,,0.7800,0.00,38424.00
2026-02-25 11:41:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,5.00,38429.00
2026-02-25 11:42:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7700,13.00,38442.00
2026-02-25 11:43:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,12.00,38454.00
2026-02-25 11:44:00,,,,,,0.7800,0.00,38454.00
2026-02-25 11:46:00,,,,,,0.7800,0.00,38454.00
2026-02-25 11:48:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,231.00,38685.00
2026-02-25 11:49:00,,,,,,0.7800,0.00,38685.00
2026-02-25 11:51:00,,,,,,0.7800,0.00,38685.00
2026-02-25 11:52:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,80.00,38765.00
2026-02-25 11:53:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,50.00,38815.00
2026-02-25 11:54:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,3.00,38818.00
2026-02-25 11:55:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,25.00,38843.00
2026-02-25 11:57:00,,,,,,0.7800,0.00,38843.00
2026-02-25 11:58:00,,,,,,0.7800,0.00,38843.00
2026-02-25 12:00:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1846.00,40689.00
2026-02-25 12:01:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,155.00,40844.00
2026-02-25 12:02:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,5.00,40849.00
2026-02-25 12:04:00,,,,,,0.7800,0.00,40849.00
2026-02-25 12:05:00,,,,,,0.7800,0.00,40849.00
2026-02-25 12:06:00,,,,,,0.7800,0.00,40849.00
2026-02-25 12:07:00,,,,,,0.7800,0.00,40849.00
2026-02-25 12:08:00,,,,,,0.7800,0.00,40849.00
2026-02-25 12:09:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,12.00,40861.00
2026-02-25 12:11:00,,,,,,0.7800,0.00,40861.00
2026-02-25 12:12:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,153.00,41014.00
2026-02-25 12:15:00,,,,,,0.7800,0.00,41014.00
2026-02-25 12:16:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,2.00,41016.00
2026-02-25 12:17:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,63.00,41079.00
2026-02-25 12:18:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,80.00,41159.00
2026-02-25 12:19:00,,,,,,0.7800,0.00,41159.00
2026-02-25 12:20:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,72.00,41231.00
2026-02-25 12:21:00,,,,,,0.7800,0.00,41231.00
2026-02-25 12:22:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,55.00,41286.00
2026-02-25 12:23:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,23.00,41309.00
2026-02-25 12:24:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,30.00,41339.00
2026-02-25 12:25:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,75.00,41414.00
2026-02-25 12:26:00,,,,,,0.7800,0.00,41414.00
2026-02-25 12:27:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,14.00,41428.00
2026-02-25 12:28:00,,,,,,0.7800,0.00,41428.00
2026-02-25 12:29:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,277.00,41705.00
2026-02-25 12:30:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,297.00,42002.00
2026-02-25 12:31:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,28.00,42030.00
2026-02-25 12:32:00,0.7800,0.7600,0.7800,0.7800,0.7683,0.7800,12850.00,52743.00
2026-02-25 12:33:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,945.00,53688.00
2026-02-25 12:34:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1322.00,55010.00
2026-02-25 12:35:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,20.00,55030.00
2026-02-25 12:36:00,0.7700,0.7700,0.7800,0.7800,0.7779,0.7800,71.00,55101.00
2026-02-25 12:37:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,556.00,55657.00
2026-02-25 12:38:00,0.7800,0.7700,0.7800,0.7800,0.7800,0.7800,2977.00,58634.00
2026-02-25 12:39:00,0.7700,0.7600,0.7700,0.7700,0.7627,0.7800,528.00,58778.00
2026-02-25 12:40:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,2071.00,60849.00
2026-02-25 12:41:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,361.00,61210.00
2026-02-25 12:42:00,0.7700,0.7600,0.7700,0.7700,0.7699,0.7700,1536.00,62714.00
2026-02-25 12:43:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,170.00,62884.00
2026-02-25 12:44:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,927.00,63811.00
2026-02-25 12:45:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,3761.00,67572.00
2026-02-25 12:46:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,777.00,68349.00
2026-02-25 12:47:00,0.7700,0.7700,0.7800,0.7800,0.7702,0.7700,1918.00,70267.00
2026-02-25 12:48:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,2146.00,72413.00
2026-02-25 12:49:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,830.00,73243.00
2026-02-25 12:50:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1963.00,75206.00
2026-02-25 12:51:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,773.00,75979.00
2026-02-25 12:52:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,1465.00,77444.00
2026-02-25 12:53:00,0.7700,0.7600,0.7800,0.7800,0.7702,0.7700,2287.00,79727.00
2026-02-25 12:54:00,0.7800,0.7600,0.7800,0.7700,0.7772,0.7800,5746.00,84709.00
2026-02-25 12:55:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,1590.00,86299.00
2026-02-25 12:56:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,804.00,87103.00
2026-02-25 12:57:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,692.00,87795.00
2026-02-25 12:58:00,0.7700,0.7600,0.7700,0.7700,0.7657,0.7700,227.00,88022.00
2026-02-25 12:59:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,871.00,88893.00
2026-02-25 13:00:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,593.00,89486.00
2026-02-25 13:01:00,0.7700,0.7400,0.7700,0.7500,0.7574,0.7700,3919.00,93405.00
2026-02-25 13:02:00,0.7600,0.7500,0.7800,0.7700,0.7695,0.7500,7071.00,99475.00
2026-02-25 13:03:00,0.7700,0.7400,0.7700,0.7500,0.7578,0.7700,1230.00,100705.00
2026-02-25 13:04:00,0.7500,0.7400,0.7500,0.7500,0.7494,0.7500,3350.00,103873.00
2026-02-25 13:05:00,0.7400,0.7100,0.7500,0.7500,0.7340,0.7500,4812.00,108554.00
2026-02-25 13:06:00,0.7500,0.7500,0.7800,0.7700,0.7698,0.7500,3928.00,112482.00
2026-02-25 13:07:00,0.7700,0.7700,0.8000,0.7800,0.7955,0.7700,1046.00,113274.00
2026-02-25 13:08:00,0.7800,0.7800,0.7900,0.7800,0.7836,0.7800,425.00,113699.00
2026-02-25 13:09:00,0.7800,0.7400,0.8000,0.7800,0.7643,0.7800,2722.00,116360.00
2026-02-25 13:10:00,0.7400,0.7400,0.7700,0.7700,0.7520,0.7800,42695.00,158957.00
2026-02-25 13:11:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7700,1087.00,160044.00
2026-02-25 13:12:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7600,516.00,160336.00
2026-02-25 13:13:00,0.7900,0.7800,0.7900,0.7900,0.7894,0.7800,755.00,161091.00
2026-02-25 13:14:00,0.7800,0.7600,0.8000,0.7600,0.7758,0.7900,690.00,161425.00
2026-02-25 13:15:00,0.7900,0.7700,0.7900,0.7700,0.7804,0.7600,248.00,161673.00
2026-02-25 13:16:00,0.7800,0.7600,0.7900,0.7600,0.7622,0.7700,2370.00,162121.00
2026-02-25 13:17:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,2615.00,164736.00
2026-02-25 13:18:00,0.7600,0.7600,0.7800,0.7800,0.7631,0.7600,360.00,165096.00
2026-02-25 13:19:00,0.7700,0.7700,0.7900,0.7800,0.7724,0.7800,5100.00,170194.00
2026-02-25 13:20:00,0.7800,0.7700,0.7900,0.7700,0.7894,0.7800,614.00,170808.00
2026-02-25 13:21:00,0.7700,0.7500,0.7700,0.7600,0.7651,0.7700,1527.00,172335.00
2026-02-25 13:22:00,0.7700,0.7600,0.7700,0.7600,0.7700,0.7600,1254.00,173589.00
2026-02-25 13:23:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7600,283.00,173872.00
2026-02-25 13:24:00,0.7600,0.7600,0.7800,0.7700,0.7602,0.7600,1358.00,175192.00
2026-02-25 13:25:00,0.7800,0.7700,0.7900,0.7900,0.7885,0.7700,3924.00,178862.00
2026-02-25 13:26:00,0.7900,0.7700,0.7900,0.7900,0.7867,0.7900,1004.00,179828.00
2026-02-25 13:27:00,0.7700,0.7700,0.8000,0.7700,0.7870,0.7900,2464.00,181600.00
2026-02-25 13:28:00,0.7800,0.7800,0.8000,0.7800,0.7896,0.7700,1141.00,182611.00
2026-02-25 13:29:00,0.7800,0.7600,0.7800,0.7600,0.7603,0.7800,4260.00,186871.00
2026-02-25 13:30:00,0.7600,0.7500,0.7600,0.7500,0.7538,0.7600,2931.00,189802.00
2026-02-25 13:31:00,0.7500,0.7200,0.7700,0.7200,0.7347,0.7500,8830.00,197016.00
2026-02-25 13:32:00,0.7300,0.7200,0.7600,0.7500,0.7334,0.7200,6085.00,202931.00
2026-02-25 13:33:00,0.7500,0.7100,0.7500,0.7100,0.7434,0.7500,1016.00,203940.00
2026-02-25 13:34:00,0.7100,0.7000,0.7400,0.7200,0.7136,0.7100,5214.00,206825.00
2026-02-25 13:35:00,0.7300,0.6800,0.7400,0.7100,0.7360,0.7200,2447.00,209084.00
2026-02-25 13:36:00,0.7000,0.6800,0.7400,0.6800,0.7015,0.7100,1466.00,210520.00
2026-02-25 13:37:00,0.7000,0.6700,0.7100,0.7100,0.7023,0.6800,1713.00,211988.00
2026-02-25 13:38:00,0.7100,0.7100,0.7200,0.7200,0.7137,0.7100,1341.00,213329.00
2026-02-25 13:39:00,0.7200,0.7200,0.7600,0.7500,0.7461,0.7200,5833.00,215590.00
2026-02-25 13:40:00,0.7400,0.7400,0.8200,0.7500,0.7846,0.7500,10874.00,213566.00
2026-02-25 13:41:00,0.7400,0.6900,0.7500,0.6900,0.7260,0.7500,5509.00,215063.00
2026-02-25 13:42:00,0.7400,0.7400,0.8200,0.8200,0.7914,0.6900,3687.00,215481.00
2026-02-25 13:43:00,0.8100,0.7700,0.8200,0.7700,0.7873,0.8200,1269.00,216488.00
2026-02-25 13:44:00,0.7600,0.7300,0.7800,0.7800,0.7306,0.7700,3042.00,219360.00
2026-02-25 13:45:00,0.7700,0.7300,0.7700,0.7400,0.7509,0.7800,1738.00,221040.00
2026-02-25 13:46:00,0.7600,0.7100,0.7600,0.7100,0.7278,0.7400,2109.00,222898.00
2026-02-25 13:47:00,0.7200,0.7200,0.7300,0.7200,0.7279,0.7100,11582.00,233784.00
2026-02-25 13:48:00,0.7300,0.7000,0.7400,0.7000,0.7271,0.7200,1366.00,235055.00
2026-02-25 13:49:00,0.6900,0.6300,0.6900,0.6300,0.6370,0.7000,11274.00,245448.00
2026-02-25 13:50:00,0.6600,0.5700,0.7200,0.5800,0.6488,0.6300,10263.00,254551.00
2026-02-25 13:51:00,0.5700,0.4500,0.5900,0.5100,0.5325,0.5800,15471.00,267350.00
2026-02-25 13:52:00,0.4700,0.4600,0.5000,0.4800,0.4823,0.5100,36181.00,296896.00
2026-02-25 13:53:00,0.4800,0.4700,0.4900,0.4900,0.4853,0.4800,32719.00,326002.00
2026-02-25 13:54:00,0.4900,0.4200,0.5300,0.4400,0.4770,0.4900,18601.00,341342.00
2026-02-25 13:55:00,0.4400,0.4100,0.4400,0.4400,0.4231,0.4400,13203.00,352976.00
2026-02-25 13:56:00,0.4400,0.4300,0.4700,0.4400,0.4516,0.4400,14756.00,367582.00
2026-02-25 13:57:00,0.4400,0.4400,0.4800,0.4700,0.4681,0.4400,11800.00,379282.00
2026-02-25 13:58:00,0.4700,0.4700,0.5400,0.5100,0.5009,0.4700,10769.00,390009.00
2026-02-25 13:59:00,0.5600,0.5500,0.5700,0.5700,0.5615,0.5100,8328.00,398333.00
2026-02-25 14:00:00,0.5500,0.5000,0.5800,0.5000,0.5282,0.5700,5087.00,403194.00
2026-02-25 14:01:00,0.5000,0.4600,0.5500,0.4700,0.4852,0.5000,19397.00,414858.00
2026-02-25 14:02:00,0.4600,0.4500,0.4700,0.4600,0.4625,0.4700,15469.00,430208.00
2026-02-25 14:03:00,0.4600,0.4400,0.5300,0.4400,0.4717,0.4600,11921.00,441542.00
2026-02-25 14:04:00,0.4800,0.4600,0.5100,0.4600,0.4705,0.4400,3182.00,444574.00
2026-02-25 14:05:00,0.4600,0.4600,0.5100,0.5000,0.4780,0.4600,5390.00,448634.00
2026-02-25 14:06:00,0.5000,0.4500,0.5000,0.4500,0.4735,0.5000,9439.00,456298.00
2026-02-25 14:07:00,0.4500,0.4300,0.4800,0.4500,0.4541,0.4500,2432.00,457820.00
2026-02-25 14:08:00,0.4200,0.4200,0.5100,0.4500,0.4660,0.4500,2808.00,460308.00
2026-02-25 14:09:00,0.4300,0.4200,0.4600,0.4400,0.4341,0.4500,22365.00,474770.00
2026-02-25 14:10:00,0.4400,0.4300,0.4400,0.4400,0.4366,0.4400,8021.00,479011.00
2026-02-25 14:11:00,0.4400,0.3700,0.4700,0.4400,0.4126,0.4400,12149.00,486504.00
2026-02-25 14:12:00,0.4300,0.3100,0.4300,0.4100,0.3630,0.4400,24990.00,494194.00
2026-02-25 14:13:00,0.4000,0.3100,0.4400,0.3500,0.3413,0.4100,11124.00,496992.00
2026-02-25 14:14:00,0.3500,0.2700,0.4000,0.2900,0.3315,0.3500,7445.00,498293.00
2026-02-25 14:15:00,0.3100,0.2800,0.4100,0.2900,0.3188,0.2900,11929.00,505302.00
2026-02-25 14:16:00,0.3200,0.2400,0.4300,0.4200,0.3732,0.2900,11843.00,511744.00
2026-02-25 14:17:00,0.4300,0.3800,0.4700,0.3900,0.4060,0.4200,6419.00,513055.00
2026-02-25 14:18:00,0.3700,0.3600,0.3900,0.3700,0.3698,0.3900,6319.00,512575.00
2026-02-25 14:19:00,0.3700,0.3400,0.3700,0.3700,0.3595,0.3700,11166.00,506597.00
2026-02-25 14:20:00,0.3700,0.3600,0.3700,0.3600,0.3689,0.3700,4808.00,510917.00
2026-02-25 14:21:00,0.3600,0.3600,0.4000,0.4000,0.3860,0.3600,2281.00,512975.00
2026-02-25 14:22:00,0.4000,0.4000,0.4100,0.4000,0.4027,0.4000,4893.00,517457.00
2026-02-25 14:23:00,0.4000,0.3600,0.4000,0.3600,0.3848,0.4000,4229.00,517570.00
2026-02-25 14:24:00,0.3900,0.3100,0.3900,0.3400,0.3394,0.3600,8295.00,521274.00
2026-02-25 14:25:00,0.3400,0.3300,0.3500,0.3400,0.3458,0.3400,5580.00,523326.00
2026-02-25 14:26:00,0.3500,0.3400,0.3500,0.3500,0.3499,0.3400,17438.00,540554.00
2026-02-25 14:27:00,0.3400,0.3100,0.3900,0.3700,0.3479,0.3500,6792.00,545505.00
2026-02-25 14:28:00,0.3800,0.3800,0.4000,0.3900,0.3941,0.3700,10979.00,555890.00
2026-02-25 14:29:00,0.3900,0.3400,0.4000,0.4000,0.3893,0.3900,9162.00,563420.00
2026-02-25 14:30:00,0.4000,0.3600,0.4600,0.4600,0.4398,0.4000,9398.00,571029.00
2026-02-25 14:31:00,0.4600,0.3600,0.4800,0.3600,0.4378,0.4600,5822.00,572917.00
2026-02-25 14:32:00,0.3700,0.3300,0.4000,0.3500,0.3558,0.3600,4749.00,575944.00
2026-02-25 14:33:00,0.3400,0.3400,0.3600,0.3600,0.3534,0.3500,8552.00,582105.00
2026-02-25 14:34:00,0.3500,0.3500,0.4100,0.3800,0.3814,0.3600,3486.00,583511.00
2026-02-25 14:35:00,0.3800,0.3500,0.4000,0.4000,0.3914,0.3800,15641.00,593751.00
2026-02-25 14:36:00,0.4000,0.4000,0.5100,0.5000,0.4318,0.4000,5912.00,597610.00
2026-02-25 14:37:00,0.5100,0.5000,0.5900,0.5900,0.5566,0.5000,12855.00,600382.00
2026-02-25 14:38:00,0.6000,0.5600,0.6200,0.5700,0.6057,0.5900,14787.00,608268.00
2026-02-25 14:39:00,0.5600,0.4700,0.6600,0.6600,0.5956,0.5700,12396.00,614151.00
2026-02-25 14:40:00,0.6600,0.6000,0.6800,0.6100,0.6343,0.6600,11626.00,622373.00
2026-02-25 14:41:00,0.6100,0.6000,0.6500,0.6500,0.6295,0.6100,13139.00,623366.00
2026-02-25 14:42:00,0.6500,0.5700,0.6600,0.5900,0.6008,0.6500,24658.00,640542.00
2026-02-25 14:43:00,0.5700,0.5100,0.6700,0.6700,0.6587,0.5900,52381.00,643505.00
2026-02-25 14:44:00,0.6900,0.6800,0.7100,0.6900,0.6935,0.6700,26025.00,642078.00
2026-02-25 14:45:00,0.6800,0.6700,0.6900,0.6900,0.6819,0.6900,23492.00,632552.00
2026-02-25 14:46:00,0.6900,0.6800,0.7000,0.6900,0.6922,0.6900,8490.00,640425.00
2026-02-25 14:47:00,0.6900,0.6800,0.6900,0.6900,0.6886,0.6900,3720.00,643105.00
