end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-25 11:32:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,17365.00
2026-02-25 11:33:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,38.00,17403.00
2026-02-25 11:34:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,39.00,17442.00
2026-02-25 11:35:00,0.2400,0.2300,0.2400,0.2300,0.2383,0.2400,240.00,17598.00
2026-02-25 11:38:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,7.00,17605.00
2026-02-25 11:39:00,0.2400,0.2300,0.2400,0.2300,0.2399,0.2400,3005.00,20572.00
2026-02-25 11:42:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2300,10.00,20582.00
2026-02-25 11:43:00,,,,,,0.2400,0.00,20582.00
2026-02-25 11:46:00,0.2500,0.2500,0.2500,0.2500,0.2500,0.2400,106.00,20688.00
2026-02-25 11:48:00,,,,,,0.2500,0.00,20688.00
2026-02-25 11:49:00,,,,,,0.2500,0.00,20688.00
2026-02-25 11:51:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2500,5.00,20693.00
2026-02-25 11:52:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,7.00,20700.00
2026-02-25 11:53:00,,,,,,0.2400,0.00,20700.00
2026-02-25 11:56:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,18.00,20718.00
2026-02-25 11:57:00,,,,,,0.2400,0.00,20718.00
2026-02-25 11:58:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,79.00,20797.00
2026-02-25 12:00:00,,,,,,0.2400,0.00,20797.00
2026-02-25 12:04:00,,,,,,0.2400,0.00,20797.00
2026-02-25 12:05:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,18.00,20815.00
2026-02-25 12:06:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,25.00,20840.00
2026-02-25 12:07:00,,,,,,0.2400,0.00,20840.00
2026-02-25 12:08:00,,,,,,0.2400,0.00,20840.00
2026-02-25 12:09:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,10.00,20850.00
2026-02-25 12:12:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,640.00,21490.00
2026-02-25 12:15:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,97.00,21587.00
2026-02-25 12:16:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,68.00,21655.00
2026-02-25 12:18:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,65.00,21720.00
2026-02-25 12:19:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,51.00,21771.00
2026-02-25 12:20:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,406.00,22177.00
2026-02-25 12:21:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,427.00,22604.00
2026-02-25 12:22:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,2041.00,24645.00
2026-02-25 12:23:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,197.00,24842.00
2026-02-25 12:24:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,3485.00,28327.00
2026-02-25 12:25:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,561.00,28888.00
