end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 19:06:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,11610.00
2026-02-26 19:07:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,30.00,11640.00
2026-02-26 19:09:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,4.00,11644.00
2026-02-26 19:10:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1447.00,13091.00
2026-02-26 19:11:00,,,,,,0.3300,0.00,13091.00
2026-02-26 19:13:00,,,,,,0.3300,0.00,13091.00
2026-02-26 19:14:00,,,,,,0.3300,0.00,13091.00
2026-02-26 19:15:00,,,,,,0.3300,0.00,13091.00
2026-02-26 19:16:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3300,632.00,13723.00
2026-02-26 19:17:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,282.00,14005.00
2026-02-26 19:18:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,5.00,14010.00
2026-02-26 19:19:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3400,1447.00,12563.00
2026-02-26 19:20:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3200,69.00,12632.00
2026-02-26 19:21:00,,,,,,0.3400,0.00,12632.00
2026-02-26 19:22:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,40.00,12672.00
2026-02-26 19:23:00,,,,,,0.3400,0.00,12672.00
2026-02-26 19:24:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,13.00,12685.00
2026-02-26 19:25:00,,,,,,0.3400,0.00,12685.00
2026-02-26 19:26:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,13.00,12698.00
2026-02-26 19:27:00,,,,,,0.3400,0.00,12698.00
2026-02-26 19:30:00,,,,,,0.3400,0.00,12698.00
2026-02-26 19:31:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,14.00,12712.00
2026-02-26 19:33:00,,,,,,0.3400,0.00,12712.00
2026-02-26 19:35:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,186.00,12898.00
2026-02-26 19:36:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1111.00,14009.00
2026-02-26 19:39:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,1238.00,15247.00
2026-02-26 19:40:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,24.00,15271.00
2026-02-26 19:41:00,,,,,,0.3400,0.00,15271.00
2026-02-26 19:43:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,5.00,15276.00
2026-02-26 19:45:00,,,,,,0.3400,0.00,15276.00
2026-02-26 19:46:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,138.00,15414.00
2026-02-26 19:48:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,433.00,15416.00
2026-02-26 19:49:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3300,14.00,15430.00
2026-02-26 19:53:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,10.00,15440.00
2026-02-26 19:55:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3300,100.00,15340.00
2026-02-26 19:56:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3200,144.00,15484.00
2026-02-26 19:57:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,71.00,15555.00
2026-02-26 19:59:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,72.00,15627.00
2026-02-26 20:00:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,15641.00
2026-02-26 20:01:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1.00,15642.00
2026-02-26 20:02:00,,,,,,0.3300,0.00,15642.00
2026-02-26 20:03:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,15656.00
2026-02-26 20:04:00,,,,,,0.3300,0.00,15656.00
2026-02-26 20:05:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1500.00,17156.00
2026-02-26 20:06:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,428.00,17584.00
2026-02-26 20:07:00,,,,,,0.3300,0.00,17584.00
2026-02-26 20:08:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,4373.00,21957.00
2026-02-26 20:09:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,3819.00,25776.00
2026-02-26 20:11:00,0.3300,0.3200,0.3300,0.3300,0.3279,0.3300,68.00,25830.00
2026-02-26 20:12:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,43.00,25873.00
2026-02-26 20:13:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,28.00,25901.00
2026-02-26 20:14:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,250.00,26151.00
2026-02-26 20:15:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,15.00,26166.00
2026-02-26 20:16:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,50.00,26216.00
2026-02-26 20:17:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2924.00,29140.00
2026-02-26 20:18:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,40.00,29180.00
2026-02-26 20:19:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,14.00,29194.00
2026-02-26 20:20:00,0.3300,0.3200,0.3300,0.3200,0.3299,0.3300,12975.00,42009.00
2026-02-26 20:21:00,,,,,,0.3200,0.00,42009.00
2026-02-26 20:22:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3200,57.00,42066.00
2026-02-26 20:24:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,142.00,42208.00
2026-02-26 20:25:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,224.00,42432.00
2026-02-26 20:29:00,,,,,,0.3300,0.00,42432.00
2026-02-26 20:30:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,361.00,42793.00
2026-02-26 20:31:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,90.00,42883.00
2026-02-26 20:32:00,0.3300,0.3200,0.3300,0.3200,0.3217,0.3300,326.00,42671.00
2026-02-26 20:33:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3200,57.00,42629.00
2026-02-26 20:34:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3000,14.00,42643.00
2026-02-26 20:35:00,,,,,,0.3200,0.00,42643.00
2026-02-26 20:36:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,285.00,42358.00
2026-02-26 20:37:00,,,,,,0.3100,0.00,42358.00
2026-02-26 20:38:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3100,118.00,42476.00
2026-02-26 20:39:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,294.00,42770.00
2026-02-26 20:40:00,,,,,,0.3200,0.00,42770.00
2026-02-26 20:42:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,298.00,43068.00
2026-02-26 20:43:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,969.00,44037.00
2026-02-26 20:44:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,1052.00,45089.00
2026-02-26 20:45:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,372.00,45461.00
2026-02-26 20:46:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,8.00,45469.00
2026-02-26 20:47:00,,,,,,0.3200,0.00,45469.00
2026-02-26 20:48:00,,,,,,0.3200,0.00,45469.00
2026-02-26 20:49:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,298.00,45767.00
2026-02-26 20:50:00,,,,,,0.3200,0.00,45767.00
2026-02-26 20:51:00,0.3200,0.3200,0.3300,0.3200,0.3284,0.3200,1495.00,47262.00
2026-02-26 20:52:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,2.00,47264.00
2026-02-26 20:54:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,50.00,47314.00
2026-02-26 20:55:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3200,182.00,47496.00
2026-02-26 20:56:00,,,,,,0.3300,0.00,47496.00
2026-02-26 20:57:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,16876.00,64372.00
2026-02-26 20:58:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,114.00,64486.00
2026-02-26 20:59:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3300,8.00,64478.00
2026-02-26 21:00:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3100,1533.00,66011.00
2026-02-26 21:01:00,,,,,,0.3300,0.00,66011.00
