end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 19:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,71.00,98625.00
2026-02-26 19:07:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,172.00,98797.00
2026-02-26 19:08:00,,,,,,0.6800,0.00,98797.00
2026-02-26 19:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,354.00,99151.00
2026-02-26 19:10:00,,,,,,0.6800,0.00,99151.00
2026-02-26 19:11:00,,,,,,0.6800,0.00,99151.00
2026-02-26 19:12:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,99222.00
2026-02-26 19:13:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,29.00,99251.00
2026-02-26 19:14:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1067.00,100318.00
2026-02-26 19:15:00,,,,,,0.6800,0.00,100318.00
2026-02-26 19:16:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,100332.00
2026-02-26 19:17:00,0.6800,0.6700,0.6800,0.6700,0.6788,0.6800,16.00,100346.00
2026-02-26 19:18:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6700,3019.00,103365.00
2026-02-26 19:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,234.00,103599.00
2026-02-26 19:20:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,719.00,104318.00
2026-02-26 19:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1291.00,105609.00
2026-02-26 19:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,143.00,105752.00
2026-02-26 19:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,170.00,105922.00
2026-02-26 19:24:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,147.00,106069.00
2026-02-26 19:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,346.00,106415.00
2026-02-26 19:26:00,0.6800,0.6600,0.6800,0.6700,0.6759,0.6800,4720.00,108931.00
2026-02-26 19:27:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,7.00,108938.00
2026-02-26 19:28:00,0.6700,0.6600,0.6700,0.6600,0.6604,0.6700,258.00,108700.00
2026-02-26 19:29:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,330.00,109030.00
