end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 05:41:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,112.00,180299.00
2026-02-27 05:42:00,,,,,,0.4700,0.00,180299.00
2026-02-27 05:44:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1.00,180300.00
2026-02-27 05:45:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,2.00,180300.00
2026-02-27 05:46:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,205.00,180505.00
2026-02-27 05:47:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,82.00,180587.00
2026-02-27 05:48:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,473.00,181024.00
2026-02-27 05:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,473.00,181024.00
2026-02-27 05:50:00,0.4600,0.4600,0.4700,0.4600,0.4622,0.4600,90.00,181114.00
2026-02-27 05:51:00,,,,,,0.4600,0.00,181114.00
2026-02-27 05:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,137.00,181251.00
2026-02-27 05:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,104.00,181355.00
2026-02-27 05:54:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,75.00,181430.00
2026-02-27 05:55:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,555.00,181985.00
2026-02-27 05:56:00,,,,,,0.4600,0.00,181985.00
2026-02-27 05:57:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,86.00,182071.00
2026-02-27 05:58:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,1020.00,183091.00
2026-02-27 06:00:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,17.00,183108.00
2026-02-27 06:01:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,47.00,183155.00
2026-02-27 06:02:00,,,,,,0.4700,0.00,183155.00
2026-02-27 06:03:00,,,,,,0.4700,0.00,183155.00
2026-02-27 06:04:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,262.00,183417.00
2026-02-27 06:05:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,127.00,183544.00
2026-02-27 06:06:00,,,,,,0.4600,0.00,183544.00
2026-02-27 06:07:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,52.00,183596.00
2026-02-27 06:08:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,311.00,183907.00
2026-02-27 06:09:00,0.4600,0.4500,0.4700,0.4500,0.4688,0.4600,4321.00,188096.00
2026-02-27 06:10:00,,,,,,0.4500,0.00,188096.00
2026-02-27 06:11:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,416.00,188512.00
2026-02-27 06:12:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,91.00,188603.00
2026-02-27 06:13:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,4523.00,193126.00
2026-02-27 06:14:00,0.4600,0.4500,0.4600,0.4600,0.4532,0.4600,305.00,193223.00
2026-02-27 06:15:00,,,,,,0.4600,0.00,193223.00
2026-02-27 06:16:00,,,,,,0.4600,0.00,193223.00
2026-02-27 06:17:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,306.00,193529.00
2026-02-27 06:18:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,967.00,194496.00
2026-02-27 06:20:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,23.00,194519.00
2026-02-27 06:21:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,732.00,195251.00
2026-02-27 06:22:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,298.00,195549.00
2026-02-27 06:23:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,291.00,195840.00
2026-02-27 06:24:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1123.00,196963.00
2026-02-27 06:25:00,0.4600,0.4500,0.4600,0.4600,0.4593,0.4600,506.00,197469.00
2026-02-27 06:27:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,49.00,197518.00
2026-02-27 06:28:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,314.00,197518.00
2026-02-27 06:29:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,820.00,198338.00
2026-02-27 06:30:00,,,,,,0.4600,0.00,198338.00
2026-02-27 06:31:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,37.00,198375.00
2026-02-27 06:32:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,3222.00,201597.00
2026-02-27 06:33:00,0.4600,0.4600,0.4700,0.4700,0.4696,0.4600,11309.00,212906.00
2026-02-27 06:34:00,,,,,,0.4700,0.00,212906.00
2026-02-27 06:35:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,73.00,212979.00
2026-02-27 06:36:00,,,,,,0.4600,0.00,212979.00
2026-02-27 06:37:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,54.00,213033.00
2026-02-27 06:38:00,0.4600,0.4600,0.4700,0.4700,0.4611,0.4600,13319.00,226352.00
2026-02-27 06:39:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,301.00,226653.00
2026-02-27 06:40:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,226663.00
2026-02-27 06:41:00,0.4700,0.4600,0.4700,0.4600,0.4686,0.4700,522.00,227039.00
2026-02-27 06:42:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,334.00,227373.00
2026-02-27 06:43:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,129.00,227502.00
2026-02-27 06:44:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,6010.00,233512.00
2026-02-27 06:45:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,320.00,233832.00
2026-02-27 06:47:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,2.00,233834.00
2026-02-27 06:48:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,204.00,234038.00
2026-02-27 06:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,2083.00,236121.00
2026-02-27 06:50:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,582.00,236703.00
2026-02-27 06:51:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,812.00,237515.00
2026-02-27 06:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,52.00,237463.00
2026-02-27 06:54:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,264.00,237727.00
2026-02-27 06:55:00,0.4600,0.4600,0.4700,0.4700,0.4652,0.4700,1193.00,238920.00
2026-02-27 06:56:00,,,,,,0.4700,0.00,238920.00
2026-02-27 06:57:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,208.00,239128.00
2026-02-27 06:58:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,239138.00
2026-02-27 06:59:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,875.00,240013.00
2026-02-27 07:00:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,30.00,240043.00
2026-02-27 07:01:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,474.00,240517.00
2026-02-27 07:02:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,235.00,240752.00
2026-02-27 07:03:00,0.4700,0.4600,0.4700,0.4700,0.4700,0.4700,5822.00,246574.00
2026-02-27 07:04:00,0.4600,0.4600,0.4800,0.4800,0.4705,0.4700,44940.00,291514.00
2026-02-27 07:05:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,792.00,292306.00
2026-02-27 07:06:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,6.00,292312.00
2026-02-27 07:07:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,82.00,292394.00
2026-02-27 07:08:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,284.00,292678.00
2026-02-27 07:09:00,0.4700,0.4600,0.4700,0.4700,0.4699,0.4700,1091.00,293763.00
2026-02-27 07:10:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,253.00,294016.00
2026-02-27 07:11:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1129.00,295145.00
2026-02-27 07:12:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,221.00,295366.00
2026-02-27 07:13:00,,,,,,0.4700,0.00,295366.00
2026-02-27 07:14:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,8.00,295374.00
2026-02-27 07:15:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1571.00,296945.00
2026-02-27 07:16:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,214.00,297159.00
2026-02-27 07:17:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,51.00,297210.00
2026-02-27 07:18:00,0.4700,0.4600,0.4700,0.4700,0.4695,0.4700,1355.00,298565.00
2026-02-27 07:19:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,643.00,299208.00
2026-02-27 07:20:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,183.00,299391.00
2026-02-27 07:21:00,0.4700,0.4600,0.4800,0.4800,0.4716,0.4700,6323.00,305632.00
2026-02-27 07:22:00,0.4800,0.4700,0.4800,0.4700,0.4702,0.4800,998.00,306630.00
2026-02-27 07:23:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,173.00,306803.00
2026-02-27 07:24:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,134.00,306937.00
2026-02-27 07:25:00,0.4700,0.4600,0.4700,0.4700,0.4686,0.4600,870.00,307682.00
2026-02-27 07:26:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,307702.00
2026-02-27 07:27:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,118.00,307820.00
2026-02-27 07:28:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,50.00,307870.00
2026-02-27 07:29:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,180.00,308050.00
2026-02-27 07:30:00,0.4700,0.4600,0.4700,0.4700,0.4700,0.4700,384.00,308434.00
2026-02-27 07:31:00,0.4600,0.4600,0.4700,0.4700,0.4613,0.4700,309.00,308743.00
2026-02-27 07:32:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,60.00,308803.00
2026-02-27 07:33:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,168.00,308971.00
2026-02-27 07:34:00,0.4700,0.4600,0.4700,0.4700,0.4682,0.4700,575.00,309446.00
2026-02-27 07:35:00,0.4700,0.4600,0.4700,0.4700,0.4637,0.4700,179.00,309625.00
2026-02-27 07:36:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,527.00,310152.00
2026-02-27 07:37:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,735.00,310887.00
2026-02-27 07:38:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,68.00,310955.00
2026-02-27 07:39:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,102.00,311057.00
2026-02-27 07:40:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,439.00,311496.00
2026-02-27 07:41:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1569.00,313065.00
2026-02-27 07:42:00,,,,,,0.4700,0.00,313065.00
2026-02-27 07:43:00,0.4700,0.4600,0.4700,0.4700,0.4700,0.4700,1534.00,314599.00
2026-02-27 07:44:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1000.00,315599.00
2026-02-27 07:45:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,752.00,316351.00
2026-02-27 07:46:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,459.00,316810.00
2026-02-27 07:47:00,0.4700,0.4500,0.4700,0.4600,0.4633,0.4700,4594.00,321404.00
2026-02-27 07:48:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2903.00,324307.00
2026-02-27 07:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2728.00,327035.00
2026-02-27 07:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,610.00,327645.00
2026-02-27 07:51:00,0.4600,0.4600,0.4700,0.4700,0.4600,0.4600,5814.00,333459.00
2026-02-27 07:52:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1365.00,334824.00
2026-02-27 07:53:00,0.4600,0.4500,0.4600,0.4600,0.4599,0.4700,1544.00,336368.00
2026-02-27 07:54:00,0.4600,0.4600,0.4700,0.4700,0.4650,0.4600,5112.00,341480.00
2026-02-27 07:55:00,0.4700,0.4600,0.4700,0.4700,0.4662,0.4700,1130.00,342610.00
2026-02-27 07:56:00,0.4700,0.4500,0.4700,0.4700,0.4699,0.4700,5111.00,347701.00
2026-02-27 07:57:00,0.4700,0.4600,0.4700,0.4700,0.4681,0.4700,3356.00,351057.00
2026-02-27 07:58:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,611.00,351668.00
2026-02-27 07:59:00,0.4700,0.4600,0.4700,0.4600,0.4700,0.4700,1579.00,353247.00
2026-02-27 08:00:00,0.4600,0.4600,0.4700,0.4600,0.4649,0.4600,3814.00,357061.00
2026-02-27 08:01:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,7310.00,364371.00
2026-02-27 08:02:00,0.4600,0.4500,0.4700,0.4700,0.4577,0.4600,5975.00,370346.00
2026-02-27 08:03:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,726.00,371072.00
2026-02-27 08:04:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2614.00,373686.00
2026-02-27 08:05:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1477.00,375163.00
2026-02-27 08:06:00,0.4600,0.4500,0.4600,0.4600,0.4534,0.4600,4577.00,379740.00
2026-02-27 08:07:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,5082.00,384822.00
