end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 16:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5171.00,29415.00
2026-02-27 16:34:00,,,,,,0.5600,0.00,29415.00
2026-02-27 16:35:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3447.00,32862.00
2026-02-27 16:36:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1020.00,33882.00
2026-02-27 16:37:00,,,,,,0.5600,0.00,33882.00
2026-02-27 16:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,18.00,33900.00
2026-02-27 16:39:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,33917.00
2026-02-27 16:40:00,,,,,,0.5600,0.00,33917.00
2026-02-27 16:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,84.00,34001.00
2026-02-27 16:42:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1773.00,35774.00
2026-02-27 16:43:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,346.00,36120.00
2026-02-27 16:44:00,,,,,,0.5600,0.00,36120.00
2026-02-27 16:45:00,,,,,,0.5600,0.00,36120.00
2026-02-27 16:48:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,2523.00,38643.00
2026-02-27 16:49:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5000.00,43643.00
2026-02-27 16:53:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,45.00,43688.00
2026-02-27 16:54:00,0.5500,0.5500,0.5600,0.5600,0.5525,0.5600,67.00,43755.00
2026-02-27 16:55:00,,,,,,0.5600,0.00,43755.00
2026-02-27 16:56:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,27.00,43782.00
2026-02-27 16:57:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,20.00,43802.00
2026-02-27 16:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,198.00,44000.00
2026-02-27 16:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,100.00,44100.00
2026-02-27 17:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,8.00,44108.00
2026-02-27 17:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,132.00,44240.00
2026-02-27 17:07:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10.00,44250.00
2026-02-27 17:09:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,44300.00
2026-02-27 17:11:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,158.00,44458.00
2026-02-27 17:12:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,44492.00
2026-02-27 17:13:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,44493.00
2026-02-27 17:15:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,44510.00
2026-02-27 17:16:00,,,,,,0.5600,0.00,44510.00
2026-02-27 17:17:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,12.00,44522.00
2026-02-27 17:18:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,44.00,44566.00
2026-02-27 17:19:00,,,,,,0.5600,0.00,44566.00
2026-02-27 17:20:00,,,,,,0.5600,0.00,44566.00
2026-02-27 17:21:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,132.00,44504.00
2026-02-27 17:22:00,,,,,,0.5500,0.00,44504.00
2026-02-27 17:23:00,,,,,,0.5500,0.00,44504.00
2026-02-27 17:24:00,,,,,,0.5500,0.00,44504.00
2026-02-27 17:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,27.00,44531.00
2026-02-27 17:26:00,0.5600,0.5500,0.5600,0.5500,0.5507,0.5600,364.00,44555.00
2026-02-27 17:27:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,100.00,44555.00
2026-02-27 17:28:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,122.00,44555.00
2026-02-27 17:29:00,,,,,,0.5500,0.00,44555.00
2026-02-27 17:30:00,0.5600,0.5500,0.5600,0.5500,0.5502,0.5500,363.00,44562.00
2026-02-27 17:31:00,0.5500,0.5500,0.5600,0.5500,0.5509,0.5500,376.00,44597.00
2026-02-27 17:32:00,0.5500,0.5500,0.5600,0.5600,0.5526,0.5500,338.00,44684.00
2026-02-27 17:33:00,0.5500,0.5500,0.5600,0.5600,0.5543,0.5600,538.00,44915.00
2026-02-27 17:34:00,0.5600,0.5500,0.5600,0.5500,0.5517,0.5600,249.00,44958.00
2026-02-27 17:35:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,22.00,44980.00
