end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 16:32:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,218.00,15299.00
2026-02-27 16:33:00,,,,,,0.4500,0.00,15299.00
2026-02-27 16:34:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1063.00,16362.00
2026-02-27 16:35:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1.00,16363.00
2026-02-27 16:36:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,400.00,16763.00
2026-02-27 16:38:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,3.00,16766.00
2026-02-27 16:39:00,,,,,,0.4500,0.00,16766.00
2026-02-27 16:40:00,,,,,,0.4500,0.00,16766.00
2026-02-27 16:42:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,535.00,17301.00
2026-02-27 16:43:00,,,,,,0.4500,0.00,17301.00
2026-02-27 16:44:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,12.00,17313.00
2026-02-27 16:45:00,,,,,,0.4500,0.00,17313.00
2026-02-27 16:46:00,,,,,,0.4500,0.00,17313.00
2026-02-27 16:47:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1.00,17314.00
2026-02-27 16:48:00,,,,,,0.4500,0.00,17314.00
2026-02-27 16:49:00,,,,,,0.4500,0.00,17314.00
2026-02-27 16:50:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,31.00,17345.00
2026-02-27 16:55:00,,,,,,0.4500,0.00,17345.00
2026-02-27 16:56:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,34.00,17379.00
2026-02-27 17:00:00,,,,,,0.4500,0.00,17379.00
2026-02-27 17:01:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1.00,17380.00
2026-02-27 17:03:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,44.00,17424.00
2026-02-27 17:04:00,,,,,,0.4500,0.00,17424.00
2026-02-27 17:05:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,163.00,17587.00
2026-02-27 17:06:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,34.00,17621.00
2026-02-27 17:07:00,,,,,,0.4500,0.00,17621.00
2026-02-27 17:08:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,31.00,17652.00
2026-02-27 17:09:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,87.00,17739.00
2026-02-27 17:11:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,638.00,18377.00
2026-02-27 17:13:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,49.00,18426.00
2026-02-27 17:15:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1037.00,19463.00
2026-02-27 17:16:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1038.00,20501.00
2026-02-27 17:17:00,,,,,,0.4500,0.00,20501.00
2026-02-27 17:18:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,65.00,20566.00
2026-02-27 17:21:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,163.00,20421.00
2026-02-27 17:22:00,,,,,,0.4400,0.00,20421.00
2026-02-27 17:23:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4400,1436.00,21857.00
2026-02-27 17:24:00,,,,,,0.4500,0.00,21857.00
2026-02-27 17:25:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,42.00,21857.00
2026-02-27 17:27:00,,,,,,0.4500,0.00,21857.00
2026-02-27 17:29:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,419.00,22276.00
2026-02-27 17:30:00,,,,,,0.4600,0.00,22276.00
2026-02-27 17:31:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,58.00,22334.00
2026-02-27 17:32:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,36.00,22370.00
2026-02-27 17:33:00,,,,,,0.4600,0.00,22370.00
2026-02-27 17:34:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,41.00,22411.00
2026-02-27 17:35:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,59.00,22470.00
2026-02-27 17:36:00,0.4600,0.4500,0.4600,0.4500,0.4583,0.4600,297.00,22667.00
2026-02-27 17:37:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,46.00,22713.00
2026-02-27 17:38:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,16.00,22729.00
2026-02-27 17:39:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1000.00,23729.00
2026-02-27 17:40:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,480.00,24209.00
2026-02-27 17:41:00,,,,,,0.4600,0.00,24209.00
2026-02-27 17:42:00,,,,,,0.4600,0.00,24209.00
2026-02-27 17:43:00,,,,,,0.4600,0.00,24209.00
2026-02-27 17:44:00,,,,,,0.4600,0.00,24209.00
2026-02-27 17:45:00,,,,,,0.4600,0.00,24209.00
2026-02-27 17:46:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1509.00,25718.00
2026-02-27 17:47:00,,,,,,0.4600,0.00,25718.00
2026-02-27 17:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,52.00,25770.00
2026-02-27 17:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,31.00,25801.00
2026-02-27 17:51:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,217.00,26018.00
2026-02-27 17:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1.00,26019.00
2026-02-27 17:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,52.00,26071.00
2026-02-27 17:54:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,141.00,26212.00
2026-02-27 17:55:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,1762.00,27361.00
2026-02-27 17:56:00,,,,,,0.4500,0.00,27361.00
2026-02-27 17:57:00,0.4600,0.4500,0.4600,0.4500,0.4587,0.4500,131.00,27492.00
2026-02-27 17:58:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,208.00,27700.00
2026-02-27 17:59:00,,,,,,0.4600,0.00,27700.00
2026-02-27 18:00:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,112.00,27812.00
2026-02-27 18:01:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,1000.00,27812.00
2026-02-27 18:02:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4500,40.00,27852.00
2026-02-27 18:03:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,53.00,27905.00
2026-02-27 18:04:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,1035.00,28940.00
2026-02-27 18:06:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1060.00,29912.00
2026-02-27 18:07:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,824.00,30736.00
2026-02-27 18:08:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,112.00,30848.00
2026-02-27 18:10:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,346.00,31194.00
2026-02-27 18:11:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4700,603.00,31682.00
2026-02-27 18:12:00,,,,,,0.4800,0.00,31682.00
2026-02-27 18:13:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,51.00,31733.00
2026-02-27 18:14:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,872.00,32605.00
2026-02-27 18:15:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1512.00,34117.00
2026-02-27 18:16:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2.00,34119.00
2026-02-27 18:17:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,2913.00,37032.00
2026-02-27 18:18:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,10.00,37042.00
