end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-09 16:07:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:08:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:10:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:11:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:12:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:13:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:15:00,,,,,,0.4500,0.00,4018.00
2026-01-09 16:17:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,64.00,4082.00
2026-01-09 16:19:00,,,,,,0.4500,0.00,4082.00
2026-01-09 16:20:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,368.00,4450.00
2026-01-09 16:21:00,,,,,,0.4500,0.00,4450.00
2026-01-09 16:22:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,37.00,4487.00
2026-01-09 16:23:00,,,,,,0.4500,0.00,4487.00
2026-01-09 16:24:00,,,,,,0.4500,0.00,4487.00
2026-01-09 16:25:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,83.00,4570.00
2026-01-09 16:26:00,,,,,,0.4500,0.00,4570.00
2026-01-09 16:27:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,47.00,4617.00
2026-01-09 16:28:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,641.00,5258.00
2026-01-09 16:29:00,0.4500,0.4500,0.4600,0.4600,0.4537,0.4500,1542.00,6800.00
2026-01-09 16:30:00,0.4600,0.4600,0.7000,0.4700,0.5140,0.4600,3743.00,10456.00
2026-01-09 16:31:00,0.4700,0.4500,0.4800,0.4500,0.4622,0.4700,3292.00,13748.00
2026-01-09 16:32:00,0.4700,0.4700,0.4800,0.4800,0.4797,0.4500,534.00,14282.00
2026-01-09 16:33:00,0.4700,0.4600,0.4700,0.4600,0.4613,0.4800,762.00,15044.00
2026-01-09 16:34:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,227.00,15271.00
2026-01-09 16:35:00,,,,,,0.4600,0.00,15271.00
2026-01-09 16:36:00,,,,,,0.4600,0.00,15271.00
2026-01-09 16:37:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,22.00,15293.00
2026-01-09 16:38:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,2412.00,17705.00
2026-01-09 16:39:00,0.4600,0.4600,0.5800,0.4600,0.4782,0.4600,4618.00,22323.00
2026-01-09 16:40:00,0.4600,0.4600,0.4900,0.4800,0.4658,0.4600,4563.00,26886.00
2026-01-09 16:41:00,0.4800,0.4600,0.4900,0.4600,0.4725,0.4800,301.00,27187.00
2026-01-09 16:42:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,494.00,27681.00
2026-01-09 16:43:00,0.4600,0.4600,0.4700,0.4700,0.4602,0.4600,2865.00,30546.00
2026-01-09 16:44:00,0.4500,0.4500,0.4700,0.4700,0.4622,0.4700,321.00,30742.00
2026-01-09 16:45:00,0.4700,0.4700,0.4800,0.4800,0.4764,0.4700,3218.00,33960.00
2026-01-09 16:46:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4800,39.00,33999.00
2026-01-09 16:47:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,368.00,34367.00
2026-01-09 16:48:00,,,,,,0.4600,0.00,34367.00
2026-01-09 16:49:00,0.4600,0.4600,0.5000,0.4800,0.4747,0.4600,4377.00,38744.00
2026-01-09 16:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4800,114.00,38858.00
2026-01-09 16:51:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,370.00,39228.00
2026-01-09 16:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,49.00,39277.00
2026-01-09 16:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,408.00,39685.00
2026-01-09 16:54:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,467.00,40152.00
2026-01-09 16:55:00,0.4600,0.4600,0.4800,0.4800,0.4697,0.4600,1649.00,41801.00
2026-01-09 16:56:00,0.4500,0.4300,0.4500,0.4400,0.4367,0.4800,590.00,42078.00
2026-01-09 16:57:00,0.4400,0.4400,0.4500,0.4500,0.4411,0.4400,1340.00,43418.00
2026-01-09 16:58:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4500,109.00,43527.00
2026-01-09 16:59:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4400,660.00,44187.00
2026-01-09 17:00:00,0.4400,0.4300,0.4400,0.4300,0.4340,0.4300,503.00,44690.00
2026-01-09 17:01:00,0.4300,0.4300,0.4400,0.4300,0.4334,0.4300,573.00,45263.00
2026-01-09 17:02:00,0.4300,0.4300,0.4500,0.4300,0.4360,0.4300,2456.00,47719.00
2026-01-09 17:03:00,0.4300,0.4300,0.4500,0.4300,0.4340,0.4300,2558.00,50277.00
2026-01-09 17:04:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,284.00,50561.00
2026-01-09 17:05:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,74.00,50635.00
2026-01-09 17:06:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1202.00,51837.00
2026-01-09 17:07:00,0.4200,0.4200,0.4300,0.4200,0.4200,0.4300,722.00,52559.00
2026-01-09 17:08:00,0.4200,0.4200,0.4300,0.4300,0.4293,0.4200,1417.00,53976.00
2026-01-09 17:09:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,2046.00,56022.00
2026-01-09 17:10:00,0.4300,0.4200,0.4300,0.4300,0.4290,0.4300,1115.00,57127.00
2026-01-09 17:11:00,0.4300,0.4000,0.4300,0.4200,0.4178,0.4300,4013.00,61140.00
2026-01-09 17:12:00,0.4200,0.4200,0.5000,0.4500,0.4554,0.4200,15242.00,74926.00
2026-01-09 17:13:00,0.4500,0.4500,0.5200,0.5200,0.4882,0.4500,2816.00,77012.00
2026-01-09 17:14:00,0.5200,0.5200,0.7500,0.5700,0.5783,0.5200,9548.00,86065.00
2026-01-09 17:15:00,0.5600,0.5600,0.6000,0.6000,0.5867,0.5700,8768.00,94704.00
2026-01-09 17:16:00,0.6000,0.5700,0.6400,0.6000,0.6092,0.6000,5118.00,98205.00
2026-01-09 17:17:00,0.6100,0.6000,0.6300,0.6300,0.6229,0.6000,4129.00,102138.00
2026-01-09 17:18:00,0.6300,0.6200,0.7300,0.6600,0.6607,0.6300,9551.00,110578.00
2026-01-09 17:19:00,0.6600,0.6200,0.6700,0.6500,0.6440,0.6600,5341.00,114030.00
2026-01-09 17:20:00,0.6400,0.5800,0.6500,0.6000,0.6269,0.6500,9992.00,123571.00
2026-01-09 17:21:00,0.6000,0.5500,0.7500,0.5900,0.6161,0.6000,14520.00,136415.00
2026-01-09 17:22:00,0.5900,0.5500,0.6000,0.5700,0.5727,0.5900,3199.00,139591.00
2026-01-09 17:23:00,0.5700,0.5300,0.5700,0.5400,0.5578,0.5700,6588.00,146013.00
2026-01-09 17:24:00,0.5400,0.5000,0.5400,0.5300,0.5237,0.5400,4352.00,149256.00
2026-01-09 17:25:00,0.5200,0.4700,0.5300,0.5200,0.5088,0.5300,4844.00,150346.00
2026-01-09 17:26:00,0.5200,0.5200,0.6400,0.6000,0.5662,0.5200,7830.00,157105.00
2026-01-09 17:27:00,0.6200,0.5900,0.6400,0.6200,0.6175,0.6000,6189.00,161515.00
2026-01-09 17:28:00,0.6200,0.6000,0.6300,0.6100,0.6155,0.6200,1269.00,162755.00
2026-01-09 17:29:00,0.6000,0.6000,0.6100,0.6000,0.6021,0.6100,2313.00,164625.00
2026-01-09 17:30:00,0.5900,0.5500,0.5900,0.5800,0.5721,0.6000,1404.00,165055.00
2026-01-09 17:31:00,0.5800,0.5500,0.5800,0.5700,0.5719,0.5800,3967.00,168922.00
2026-01-09 17:32:00,0.5700,0.5700,0.6800,0.6400,0.6259,0.5700,7348.00,175696.00
