end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-20 20:07:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,892.00,22071.00
2026-01-20 20:08:00,,,,,,0.8900,0.00,22071.00
2026-01-20 20:09:00,,,,,,0.8900,0.00,22071.00
2026-01-20 20:10:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,278.00,22349.00
2026-01-20 20:11:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:12:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:13:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:14:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:15:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:16:00,,,,,,0.8900,0.00,22349.00
2026-01-20 20:17:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,109.00,22458.00
2026-01-20 20:19:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,176.00,22634.00
2026-01-20 20:20:00,,,,,,0.8900,0.00,22634.00
2026-01-20 20:21:00,,,,,,0.8900,0.00,22634.00
2026-01-20 20:22:00,,,,,,0.8900,0.00,22634.00
2026-01-20 20:23:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,201.00,22835.00
2026-01-20 20:24:00,,,,,,0.8900,0.00,22835.00
2026-01-20 20:27:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,55.00,22890.00
2026-01-20 20:29:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:30:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:31:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:32:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:33:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:34:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:35:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:36:00,,,,,,0.8900,0.00,22890.00
2026-01-20 20:37:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,150.00,23040.00
2026-01-20 20:39:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,10.00,23050.00
2026-01-20 20:40:00,0.8800,0.8700,0.8900,0.8700,0.8724,0.8900,4638.00,23596.00
2026-01-20 20:41:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,931.00,23627.00
2026-01-20 20:42:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.8700,98.00,23627.00
2026-01-20 20:43:00,,,,,,0.8700,0.00,23627.00
2026-01-20 20:45:00,,,,,,0.8700,0.00,23627.00
2026-01-20 20:46:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8700,5.00,23632.00
2026-01-20 20:47:00,,,,,,0.8900,0.00,23632.00
2026-01-20 20:48:00,,,,,,0.8900,0.00,23632.00
2026-01-20 20:49:00,,,,,,0.8900,0.00,23632.00
2026-01-20 20:50:00,,,,,,0.8900,0.00,23632.00
2026-01-20 20:51:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,1115.00,24747.00
2026-01-20 20:52:00,,,,,,0.8900,0.00,24747.00
2026-01-20 20:53:00,,,,,,0.8900,0.00,24747.00
2026-01-20 20:54:00,0.8900,0.8900,0.8900,0.8900,0.8900,0.8900,2.00,24749.00
2026-01-20 20:55:00,0.8900,0.8900,0.9100,0.9100,0.9071,0.8900,718.00,24848.00
2026-01-20 20:56:00,,,,,,0.9100,0.00,24848.00
2026-01-20 20:57:00,0.9000,0.8900,0.9100,0.9000,0.9049,0.9100,110.00,24930.00
2026-01-20 20:58:00,0.9200,0.9200,0.9200,0.9200,0.9200,0.9000,1086.00,26016.00
2026-01-20 20:59:00,0.9200,0.9000,0.9300,0.9000,0.9135,0.9200,1000.00,27016.00
2026-01-20 21:00:00,0.8700,0.8700,0.8700,0.8700,0.8700,0.9000,1026.00,28042.00
2026-01-20 21:01:00,,,,,,0.8700,0.00,28042.00
2026-01-20 21:02:00,0.8700,0.8700,0.8800,0.8800,0.8792,0.8700,595.00,28637.00
2026-01-20 21:03:00,0.8600,0.8500,0.8800,0.8800,0.8771,0.8800,312.00,28949.00
2026-01-20 21:04:00,0.8600,0.8600,0.8700,0.8600,0.8616,0.8800,215.00,29164.00
