end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-21 02:12:00,0.7400,0.7300,0.7500,0.7400,0.7310,0.7200,2303.00,99350.00
2026-01-21 02:13:00,0.7400,0.7200,0.7500,0.7300,0.7412,0.7400,5450.00,104590.00
2026-01-21 02:14:00,0.7300,0.7300,0.7400,0.7300,0.7309,0.7300,68.00,104644.00
2026-01-21 02:15:00,0.7700,0.7400,0.7700,0.7600,0.7621,0.7300,826.00,105227.00
2026-01-21 02:16:00,0.7600,0.7600,0.8000,0.8000,0.7837,0.7600,1350.00,104932.00
2026-01-21 02:17:00,0.8000,0.8000,0.8300,0.8300,0.8135,0.8000,363.00,104925.00
2026-01-21 02:18:00,0.8400,0.8400,0.8600,0.8400,0.8511,0.8300,336.00,105105.00
2026-01-21 02:19:00,0.8400,0.8400,0.8700,0.8700,0.8612,0.8400,276.00,105371.00
2026-01-21 02:20:00,0.8600,0.8600,0.9000,0.9000,0.8857,0.8700,653.00,105655.00
2026-01-21 02:21:00,0.8900,0.8900,0.9100,0.9100,0.8975,0.9000,662.00,105254.00
2026-01-21 02:22:00,0.9000,0.8800,0.9000,0.9000,0.8996,0.9100,405.00,105457.00
2026-01-21 02:23:00,0.9000,0.9000,0.9100,0.9000,0.9006,0.9000,260.00,105717.00
2026-01-21 02:24:00,0.9000,0.9000,0.9300,0.9300,0.9134,0.9000,1989.00,107084.00
2026-01-21 02:25:00,0.9200,0.9000,0.9200,0.9200,0.9107,0.9300,1023.00,107971.00
2026-01-21 02:26:00,0.9200,0.8800,0.9200,0.9000,0.9031,0.9200,2144.00,109251.00
2026-01-21 02:27:00,0.8800,0.8500,0.8900,0.8800,0.8822,0.9000,941.00,110192.00
2026-01-21 02:28:00,0.8800,0.8400,0.8800,0.8600,0.8584,0.8800,537.00,110418.00
2026-01-21 02:29:00,0.8300,0.8100,0.8500,0.8300,0.8381,0.8600,1445.00,111649.00
2026-01-21 02:30:00,0.8500,0.8300,0.8900,0.8400,0.8765,0.8300,6388.00,115857.00
2026-01-21 02:31:00,0.8500,0.8000,0.8500,0.8000,0.8215,0.8400,3107.00,118813.00
2026-01-21 02:32:00,0.8000,0.5800,0.8000,0.7300,0.6875,0.8000,8929.00,126460.00
2026-01-21 02:33:00,0.7200,0.6300,0.7200,0.6900,0.6958,0.7300,4201.00,125883.00
2026-01-21 02:34:00,0.6900,0.6800,0.7400,0.7400,0.7108,0.6900,1883.00,126999.00
2026-01-21 02:35:00,0.7000,0.6900,0.7400,0.7000,0.7164,0.7400,291.00,127180.00
2026-01-21 02:36:00,0.7000,0.6800,0.7300,0.6900,0.7056,0.7000,1093.00,128215.00
2026-01-21 02:37:00,0.7100,0.6800,0.7200,0.6900,0.7100,0.6900,608.00,128810.00
2026-01-21 02:38:00,0.6900,0.6800,0.7100,0.7100,0.7028,0.6900,1086.00,129880.00
2026-01-21 02:39:00,0.7100,0.7100,0.8300,0.8300,0.7551,0.7100,5543.00,135413.00
2026-01-21 02:40:00,0.7300,0.7100,0.7600,0.7300,0.7363,0.8300,2276.00,137295.00
2026-01-21 02:41:00,0.7600,0.7400,0.7600,0.7500,0.7568,0.7300,2589.00,139824.00
2026-01-21 02:42:00,0.7500,0.7200,0.7600,0.7400,0.7434,0.7500,2371.00,140978.00
2026-01-21 02:43:00,0.7300,0.7300,0.7900,0.7600,0.7645,0.7400,3423.00,144209.00
2026-01-21 02:44:00,0.7700,0.7300,0.7900,0.7800,0.7683,0.7600,2153.00,146360.00
2026-01-21 02:45:00,0.7700,0.7500,0.8300,0.8200,0.7633,0.7800,3484.00,149292.00
2026-01-21 02:46:00,0.7700,0.7600,0.8500,0.8100,0.8228,0.8200,4924.00,152398.00
2026-01-21 02:47:00,0.8200,0.7300,0.8400,0.8300,0.8021,0.8100,3486.00,152485.00
2026-01-21 02:48:00,0.8200,0.7300,0.8500,0.8300,0.8260,0.8300,7485.00,156761.00
2026-01-21 02:49:00,0.8300,0.7900,0.8400,0.7900,0.8309,0.8300,3223.00,159912.00
2026-01-21 02:50:00,0.8100,0.7000,0.8100,0.7500,0.7456,0.7900,3816.00,163569.00
2026-01-21 02:51:00,0.7500,0.7500,0.7900,0.7800,0.7793,0.7500,1630.00,165199.00
2026-01-21 02:52:00,0.7800,0.7600,0.8000,0.7900,0.7821,0.7800,3005.00,167807.00
2026-01-21 02:53:00,0.7900,0.7700,0.8100,0.7700,0.7877,0.7900,7792.00,175480.00
