end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-20 21:37:00,,,,,,0.7000,0.00,28822.00
2026-01-20 21:38:00,0.6800,0.6800,0.7100,0.7100,0.6823,0.7000,170.00,28678.00
2026-01-20 21:39:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7100,8.00,28686.00
2026-01-20 21:40:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,91.00,28777.00
2026-01-20 21:41:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7000,34.00,28810.00
2026-01-20 21:42:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.7100,8.00,28818.00
2026-01-20 21:43:00,,,,,,0.7100,0.00,28818.00
2026-01-20 21:44:00,0.7100,0.7100,0.7200,0.7200,0.7166,0.7100,5002.00,33119.00
2026-01-20 21:45:00,0.7100,0.7100,0.7200,0.7100,0.7125,0.7200,136.00,33255.00
2026-01-20 21:46:00,0.7100,0.6900,0.7200,0.7200,0.7030,0.7100,5041.00,38277.00
2026-01-20 21:47:00,0.7400,0.7400,0.7500,0.7500,0.7451,0.7200,39.00,38297.00
2026-01-20 21:48:00,0.7600,0.7500,0.7800,0.7700,0.7742,0.7500,1015.00,38885.00
2026-01-20 21:49:00,0.7700,0.7500,0.7700,0.7500,0.7555,0.7700,2433.00,39186.00
2026-01-20 21:50:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7500,33.00,39219.00
2026-01-20 21:51:00,0.7400,0.7400,0.7500,0.7500,0.7495,0.7400,7015.00,45916.00
2026-01-20 21:52:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7500,65.00,45948.00
2026-01-20 21:53:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,20.00,45968.00
2026-01-20 21:54:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7400,13.00,45981.00
2026-01-20 21:55:00,0.7500,0.7400,0.7500,0.7400,0.7440,0.7400,220.00,46113.00
2026-01-20 21:56:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7400,4.00,46117.00
2026-01-20 21:57:00,0.7500,0.7300,0.7500,0.7300,0.7350,0.7500,8.00,46119.00
2026-01-20 21:58:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7300,92.00,46211.00
2026-01-20 21:59:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7400,1500.00,46211.00
2026-01-20 22:00:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,84.00,46295.00
2026-01-20 22:01:00,,,,,,0.7300,0.00,46295.00
2026-01-20 22:02:00,0.7500,0.7500,0.8500,0.8500,0.7792,0.7300,948.00,46552.00
2026-01-20 22:03:00,,,,,,0.8500,0.00,46552.00
2026-01-20 22:04:00,0.8700,0.8600,0.8700,0.8600,0.8691,0.8500,223.00,46738.00
2026-01-20 22:05:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,50.00,46738.00
2026-01-20 22:06:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,5.00,46743.00
2026-01-20 22:07:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,111.00,46775.00
2026-01-20 22:08:00,0.8500,0.8500,0.8700,0.8500,0.8513,0.8600,635.00,47277.00
2026-01-20 22:09:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8500,57.00,47297.00
2026-01-20 22:10:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8600,223.00,47369.00
2026-01-20 22:11:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8500,9.00,47378.00
2026-01-20 22:12:00,0.8600,0.8600,0.8600,0.8600,0.8600,0.8600,40.00,47418.00
2026-01-20 22:13:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8600,37.00,47397.00
2026-01-20 22:14:00,0.8500,0.8400,0.8500,0.8500,0.8492,0.8400,641.00,48038.00
2026-01-20 22:15:00,,,,,,0.8500,0.00,48038.00
2026-01-20 22:16:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8500,25.00,48063.00
2026-01-20 22:17:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8300,70.00,48133.00
2026-01-20 22:18:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8400,112.00,48245.00
2026-01-20 22:19:00,0.8400,0.8300,0.8900,0.8300,0.8582,0.8400,12073.00,59687.00
2026-01-20 22:20:00,0.8500,0.8500,0.8600,0.8600,0.8517,0.8300,47.00,59734.00
2026-01-20 22:21:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8600,2.00,59736.00
2026-01-20 22:22:00,0.8700,0.8400,0.8700,0.8500,0.8583,0.8500,4556.00,63852.00
2026-01-20 22:23:00,0.8400,0.8400,0.8500,0.8500,0.8428,0.8500,104.00,63881.00
2026-01-20 22:24:00,0.8400,0.8400,0.8400,0.8400,0.8400,0.8500,11.00,63892.00
2026-01-20 22:25:00,0.8300,0.8100,0.8300,0.8100,0.8143,0.8400,1680.00,65205.00
2026-01-20 22:26:00,0.8200,0.8200,0.8400,0.8300,0.8363,0.8100,76.00,65281.00
2026-01-20 22:27:00,0.8300,0.8300,0.8500,0.8500,0.8450,0.8300,395.00,65562.00
2026-01-20 22:28:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8500,7.00,65569.00
2026-01-20 22:29:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8300,3.00,65572.00
2026-01-20 22:30:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.8300,12.00,65584.00
2026-01-20 22:31:00,0.8100,0.7600,0.8200,0.7600,0.8005,0.8200,110.00,65633.00
2026-01-20 22:32:00,0.8100,0.8100,0.8200,0.8200,0.8190,0.7600,303.00,65714.00
2026-01-20 22:33:00,0.8100,0.8000,0.8100,0.8000,0.8096,0.8200,137.00,65851.00
2026-01-20 22:34:00,0.7800,0.7700,0.7900,0.7700,0.7814,0.8000,229.00,66022.00
2026-01-20 22:35:00,,,,,,0.7700,0.00,66022.00
2026-01-20 22:36:00,0.7700,0.7300,0.8000,0.7300,0.7779,0.7700,753.00,66631.00
2026-01-20 22:37:00,,,,,,0.7300,0.00,66631.00
2026-01-20 22:38:00,0.7400,0.7400,0.7400,0.7400,0.7400,0.7300,1990.00,68607.00
2026-01-20 22:39:00,0.7500,0.7500,0.7700,0.7700,0.7676,0.7400,135.00,68727.00
2026-01-20 22:40:00,0.7900,0.7700,0.8000,0.7800,0.7982,0.7700,688.00,69409.00
2026-01-20 22:41:00,0.7300,0.7000,0.7800,0.7800,0.7090,0.7800,411.00,69441.00
2026-01-20 22:42:00,0.7900,0.7800,0.7900,0.7800,0.7800,0.7800,491.00,69932.00
2026-01-20 22:43:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7800,6.00,69938.00
2026-01-20 22:44:00,0.7800,0.7700,0.7800,0.7700,0.7771,0.7900,7.00,69945.00
2026-01-20 22:45:00,0.7500,0.7500,0.7500,0.7500,0.7500,0.7700,12.00,69957.00
2026-01-20 22:46:00,0.7500,0.7500,0.7700,0.7700,0.7699,0.7500,1478.00,71435.00
2026-01-20 22:47:00,0.7900,0.7800,0.8100,0.7800,0.8014,0.7700,63.00,71498.00
