end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-20 22:37:00,,,,,,0.6400,0.00,37139.00
2026-01-20 22:39:00,,,,,,0.6400,0.00,37139.00
2026-01-20 22:41:00,,,,,,0.6400,0.00,37139.00
2026-01-20 22:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,45.00,37184.00
2026-01-20 22:44:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,151.00,37335.00
2026-01-20 22:46:00,,,,,,0.6400,0.00,37335.00
2026-01-20 22:47:00,,,,,,0.6400,0.00,37335.00
2026-01-20 22:48:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,38.00,37373.00
2026-01-20 22:49:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,37.00,37410.00
2026-01-20 22:50:00,,,,,,0.6300,0.00,37410.00
2026-01-20 22:52:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,24.00,37434.00
2026-01-20 22:53:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,38.00,37472.00
2026-01-20 22:54:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,117.00,37589.00
2026-01-20 22:55:00,,,,,,0.6400,0.00,37589.00
2026-01-20 22:56:00,,,,,,0.6400,0.00,37589.00
2026-01-20 22:57:00,,,,,,0.6400,0.00,37589.00
2026-01-20 22:58:00,,,,,,0.6400,0.00,37589.00
2026-01-20 22:59:00,,,,,,0.6400,0.00,37589.00
2026-01-20 23:00:00,0.6400,0.6300,0.6400,0.6300,0.6350,0.6400,8.00,37593.00
2026-01-20 23:01:00,,,,,,0.6300,0.00,37593.00
2026-01-20 23:02:00,,,,,,0.6300,0.00,37593.00
2026-01-20 23:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,47.00,37640.00
2026-01-20 23:04:00,,,,,,0.6400,0.00,37640.00
2026-01-20 23:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,11.00,37651.00
2026-01-20 23:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,37666.00
2026-01-20 23:08:00,0.6400,0.6400,0.6500,0.6500,0.6483,0.6400,1207.00,38873.00
2026-01-20 23:09:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6500,41.00,38873.00
2026-01-20 23:10:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,929.00,38873.00
2026-01-20 23:11:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,3699.00,42572.00
2026-01-20 23:12:00,,,,,,0.6600,0.00,42572.00
2026-01-20 23:13:00,,,,,,0.6600,0.00,42572.00
2026-01-20 23:14:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6600,320.00,42892.00
2026-01-20 23:15:00,,,,,,0.6300,0.00,42892.00
2026-01-20 23:16:00,,,,,,0.6300,0.00,42892.00
2026-01-20 23:17:00,0.6600,0.6600,0.6700,0.6700,0.6659,0.6300,51.00,42912.00
2026-01-20 23:18:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6700,800.00,43712.00
2026-01-20 23:19:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6500,5.00,43717.00
2026-01-20 23:20:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,2.00,43719.00
2026-01-20 23:21:00,0.6600,0.6600,0.6700,0.6700,0.6687,0.6600,98.00,43732.00
2026-01-20 23:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,490.00,43732.00
2026-01-20 23:23:00,0.6700,0.6600,0.6700,0.6600,0.6700,0.6700,1746.00,45471.00
2026-01-20 23:24:00,0.6300,0.6300,0.6400,0.6400,0.6373,0.6600,302.00,45773.00
2026-01-20 23:25:00,0.6300,0.6300,0.6600,0.6600,0.6454,0.6400,1913.00,47686.00
2026-01-20 23:26:00,0.7100,0.7100,0.7100,0.7100,0.7100,0.6600,17.00,47703.00
2026-01-20 23:27:00,0.6900,0.6700,0.6900,0.6700,0.6772,0.7100,39.00,47742.00
2026-01-20 23:28:00,,,,,,0.6700,0.00,47742.00
2026-01-20 23:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6700,264.00,48006.00
2026-01-20 23:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,661.00,48667.00
2026-01-20 23:31:00,0.6500,0.6500,0.6700,0.6700,0.6619,0.6400,32.00,48699.00
2026-01-20 23:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6700,817.00,49033.00
2026-01-20 23:33:00,0.6500,0.6400,0.6500,0.6400,0.6480,0.6400,123.00,49156.00
2026-01-20 23:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,482.00,49638.00
2026-01-20 23:35:00,0.6400,0.6300,0.6400,0.6400,0.6367,0.6400,61.00,49699.00
2026-01-20 23:36:00,0.6400,0.6200,0.6400,0.6200,0.6216,0.6400,2376.00,52075.00
2026-01-20 23:37:00,,,,,,0.6200,0.00,52075.00
2026-01-20 23:38:00,0.6200,0.6100,0.6200,0.6200,0.6192,0.6200,104.00,52171.00
2026-01-20 23:39:00,0.6300,0.6200,0.6300,0.6200,0.6275,0.6200,123.00,52294.00
2026-01-20 23:40:00,0.6100,0.6000,0.6100,0.6000,0.6040,0.6200,228.00,52522.00
2026-01-20 23:41:00,0.6300,0.6200,0.6300,0.6200,0.6212,0.6000,318.00,52840.00
2026-01-20 23:42:00,0.6200,0.6000,0.6200,0.6000,0.6099,0.6200,119.00,52959.00
2026-01-20 23:43:00,0.6000,0.5900,0.6000,0.5900,0.5990,0.6000,996.00,53955.00
2026-01-20 23:44:00,0.6000,0.5800,0.6000,0.5800,0.5904,0.5900,463.00,54415.00
2026-01-20 23:45:00,0.6000,0.5800,0.6700,0.5800,0.6106,0.5800,1309.00,55664.00
2026-01-20 23:46:00,0.5700,0.5700,0.5900,0.5800,0.5803,0.5800,335.00,55985.00
2026-01-20 23:47:00,0.6000,0.6000,0.6300,0.6300,0.6168,0.5800,320.00,56305.00
2026-01-20 23:48:00,0.6000,0.6000,0.6100,0.6100,0.6092,0.6300,2298.00,58590.00
2026-01-20 23:49:00,0.6000,0.5800,0.6000,0.5800,0.5975,0.6100,375.00,58952.00
2026-01-20 23:50:00,0.5800,0.5800,0.6000,0.5900,0.5884,0.5800,3388.00,62291.00
2026-01-20 23:51:00,0.5900,0.5800,0.5900,0.5800,0.5893,0.5900,108.00,62399.00
2026-01-20 23:52:00,0.5800,0.4800,0.5900,0.4800,0.5676,0.5800,2550.00,64948.00
2026-01-20 23:53:00,0.4700,0.4300,0.5000,0.4900,0.4815,0.4800,487.00,65303.00
2026-01-20 23:54:00,0.5300,0.5100,0.5600,0.5600,0.5288,0.4900,760.00,65826.00
2026-01-20 23:55:00,0.5400,0.5400,0.5700,0.5700,0.5611,0.5600,724.00,66550.00
2026-01-20 23:56:00,0.5800,0.5700,0.5800,0.5700,0.5778,0.5700,232.00,66782.00
