end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-22 19:32:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,52.00,31613.00
2026-01-22 19:33:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,5.00,31618.00
2026-01-22 19:34:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,25.00,31643.00
2026-01-22 19:35:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,12.00,31655.00
2026-01-22 19:36:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,125.00,31780.00
2026-01-22 19:37:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,5.00,31785.00
2026-01-22 19:38:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,63.00,31848.00
2026-01-22 19:39:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,26.00,31874.00
2026-01-22 19:40:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,10.00,31884.00
2026-01-22 19:41:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,525.00,32409.00
2026-01-22 19:42:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,32.00,32441.00
2026-01-22 19:43:00,0.1700,0.1600,0.1800,0.1600,0.1762,0.1800,621.00,33057.00
2026-01-22 19:44:00,0.1200,0.1000,0.1400,0.1400,0.1227,0.1600,854.00,33911.00
2026-01-22 19:45:00,0.1200,0.1000,0.1200,0.1100,0.1063,0.1400,2350.00,35543.00
2026-01-22 19:46:00,0.1100,0.1100,0.1400,0.1400,0.1255,0.1100,238.00,35757.00
2026-01-22 19:47:00,0.1200,0.1200,0.1300,0.1200,0.1270,0.1400,258.00,35884.00
2026-01-22 19:48:00,0.1200,0.1200,0.1300,0.1300,0.1284,0.1200,203.00,36087.00
2026-01-22 19:49:00,0.1300,0.1200,0.1400,0.1400,0.1349,0.1300,470.00,36557.00
2026-01-22 19:50:00,0.1200,0.1200,0.1800,0.1700,0.1577,0.1400,247.00,36756.00
2026-01-22 19:51:00,0.1800,0.1800,0.1900,0.1800,0.1850,0.1700,131.00,36887.00
2026-01-22 19:52:00,0.1700,0.1700,0.1800,0.1800,0.1797,0.1800,114.00,36923.00
2026-01-22 19:53:00,0.1900,0.1700,0.1900,0.1700,0.1773,0.1800,358.00,37060.00
2026-01-22 19:54:00,0.1800,0.1500,0.1800,0.1700,0.1571,0.1700,4015.00,40528.00
2026-01-22 19:55:00,0.1600,0.1400,0.1900,0.1900,0.1836,0.1700,325.00,40853.00
2026-01-22 19:56:00,0.1900,0.1800,0.1900,0.1900,0.1864,0.1900,138.00,40991.00
2026-01-22 19:57:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,49.00,41040.00
2026-01-22 19:58:00,0.1800,0.1500,0.1800,0.1500,0.1670,0.1900,359.00,41399.00
2026-01-22 19:59:00,0.1700,0.1600,0.1900,0.1900,0.1796,0.1500,635.00,41524.00
2026-01-22 20:00:00,0.1800,0.1700,0.1900,0.1900,0.1808,0.1900,1568.00,42908.00
2026-01-22 20:01:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1900,350.00,43258.00
2026-01-22 20:02:00,0.2000,0.1500,0.2100,0.1500,0.1972,0.1800,931.00,43940.00
2026-01-22 20:03:00,0.2200,0.1900,0.2200,0.1900,0.1922,0.1500,134.00,44074.00
2026-01-22 20:04:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,2444.00,46518.00
2026-01-22 20:05:00,0.1900,0.1800,0.1900,0.1800,0.1878,0.1900,286.00,46742.00
2026-01-22 20:06:00,0.1900,0.1700,0.1900,0.1800,0.1801,0.1800,2491.00,49223.00
2026-01-22 20:07:00,0.1900,0.1700,0.1900,0.1800,0.1843,0.1800,196.00,49405.00
2026-01-22 20:08:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,734.00,49804.00
2026-01-22 20:09:00,0.1900,0.1800,0.1900,0.1900,0.1899,0.1900,2216.00,51995.00
2026-01-22 20:10:00,0.1900,0.1600,0.2000,0.1600,0.1792,0.1900,135.00,52025.00
2026-01-22 20:11:00,0.2100,0.2100,0.3300,0.3000,0.2727,0.1600,457.00,52456.00
2026-01-22 20:12:00,0.2900,0.2700,0.2900,0.2700,0.2883,0.3000,769.00,53200.00
2026-01-22 20:13:00,0.2900,0.2700,0.3200,0.3000,0.2914,0.2700,2539.00,54683.00
2026-01-22 20:14:00,0.3000,0.2500,0.3000,0.2500,0.2885,0.3000,3168.00,57777.00
2026-01-22 20:15:00,0.2600,0.2000,0.2600,0.2100,0.2185,0.2500,2388.00,59940.00
2026-01-22 20:16:00,0.2100,0.2000,0.2100,0.2100,0.2046,0.2100,266.00,60062.00
2026-01-22 20:17:00,0.2100,0.1900,0.2100,0.2100,0.2095,0.2100,6691.00,66466.00
2026-01-22 20:18:00,0.2400,0.2100,0.2500,0.2100,0.2398,0.2100,94.00,66560.00
2026-01-22 20:19:00,0.1900,0.1800,0.1900,0.1900,0.1853,0.2100,102.00,66610.00
2026-01-22 20:20:00,0.2000,0.2000,0.2100,0.2100,0.2016,0.1900,103.00,66713.00
2026-01-22 20:21:00,0.2100,0.1900,0.2100,0.2000,0.2021,0.2100,662.00,67350.00
2026-01-22 20:22:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,541.00,67891.00
2026-01-22 20:23:00,0.2100,0.2100,0.2200,0.2200,0.2140,0.2000,1581.00,69472.00
2026-01-22 20:24:00,0.2200,0.2100,0.2200,0.2100,0.2192,0.2200,65.00,69537.00
2026-01-22 20:25:00,0.2300,0.2100,0.2300,0.2100,0.2143,0.2100,262.00,69786.00
2026-01-22 20:26:00,0.2000,0.1800,0.2000,0.1800,0.1927,0.2100,322.00,69979.00
2026-01-22 20:27:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1800,1407.00,71386.00
2026-01-22 20:28:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,1121.00,72507.00
2026-01-22 20:29:00,0.1900,0.1900,0.2200,0.2100,0.1905,0.1900,19382.00,91867.00
2026-01-22 20:30:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.2100,594.00,92461.00
2026-01-22 20:31:00,0.2200,0.2200,0.2300,0.2300,0.2297,0.2100,2235.00,94696.00
2026-01-22 20:32:00,0.2300,0.2200,0.2500,0.2400,0.2359,0.2300,555.00,95243.00
2026-01-22 20:33:00,0.2400,0.2400,0.2400,0.2400,0.2400,0.2400,479.00,95677.00
2026-01-22 20:34:00,0.2500,0.2400,0.2600,0.2400,0.2544,0.2400,367.00,95961.00
2026-01-22 20:35:00,0.2400,0.2000,0.2400,0.2000,0.2029,0.2400,2824.00,98466.00
2026-01-22 20:36:00,0.2200,0.1500,0.2200,0.1700,0.1901,0.2000,1337.00,99649.00
2026-01-22 20:37:00,0.1800,0.1800,0.2500,0.2500,0.1956,0.1700,513.00,100020.00
