end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-23 19:16:00,0.6800,0.6300,0.6800,0.6300,0.6513,0.6800,451.00,571615.00
2026-01-23 19:17:00,0.6200,0.6200,0.6400,0.6200,0.6311,0.6300,13324.00,584875.00
2026-01-23 19:18:00,0.6200,0.6200,0.6400,0.6300,0.6312,0.6200,1218.00,585952.00
2026-01-23 19:19:00,0.6300,0.6200,0.6400,0.6200,0.6302,0.6300,1135.00,587086.00
2026-01-23 19:20:00,0.6200,0.5700,0.6200,0.5700,0.6159,0.6200,16079.00,603165.00
2026-01-23 19:21:00,0.5500,0.5500,0.6200,0.5700,0.5837,0.5700,4729.00,607242.00
2026-01-23 19:22:00,0.6100,0.5700,0.6300,0.6300,0.6071,0.5700,2653.00,608980.00
2026-01-23 19:23:00,0.6300,0.6300,0.6500,0.6400,0.6393,0.6300,3497.00,612148.00
2026-01-23 19:24:00,0.6400,0.6100,0.6500,0.6300,0.6369,0.6400,2988.00,615130.00
2026-01-23 19:25:00,0.6200,0.6000,0.6500,0.6100,0.6133,0.6300,15264.00,630241.00
2026-01-23 19:26:00,0.6100,0.6000,0.6100,0.6100,0.6093,0.6100,794.00,630985.00
2026-01-23 19:27:00,0.6100,0.6000,0.6100,0.6100,0.6099,0.6100,9252.00,640166.00
2026-01-23 19:28:00,0.6100,0.5700,0.6100,0.5700,0.6006,0.6100,4749.00,644897.00
2026-01-23 19:29:00,0.5700,0.5700,0.6200,0.6100,0.6001,0.5700,1242.00,646039.00
2026-01-23 19:30:00,0.6100,0.6100,0.6400,0.6400,0.6260,0.6100,1288.00,645999.00
2026-01-23 19:31:00,0.6300,0.6300,0.6800,0.6600,0.6690,0.6400,3147.00,646218.00
2026-01-23 19:32:00,0.6900,0.6600,0.7200,0.7100,0.6839,0.6600,4171.00,647234.00
2026-01-23 19:33:00,0.6800,0.6600,0.7000,0.6700,0.6819,0.7100,720.00,647939.00
2026-01-23 19:34:00,0.6700,0.6700,0.7500,0.7000,0.7264,0.6700,1612.00,648935.00
2026-01-23 19:35:00,0.7300,0.7300,0.7700,0.7400,0.7445,0.7000,2548.00,648537.00
2026-01-23 19:36:00,0.7200,0.6600,0.7200,0.6600,0.6943,0.7400,1536.00,649953.00
2026-01-23 19:37:00,0.6800,0.6700,0.7400,0.7400,0.6956,0.6600,224.00,650117.00
2026-01-23 19:38:00,0.7400,0.6800,0.7800,0.6800,0.7320,0.7400,1761.00,651439.00
2026-01-23 19:39:00,0.6700,0.6600,0.7000,0.6900,0.6718,0.6800,431.00,651438.00
2026-01-23 19:40:00,0.6900,0.6600,0.6900,0.6700,0.6778,0.6900,525.00,651945.00
2026-01-23 19:41:00,0.6500,0.6500,0.6600,0.6500,0.6581,0.6700,4554.00,655677.00
2026-01-23 19:42:00,0.6500,0.6400,0.6600,0.6600,0.6537,0.6500,2694.00,658336.00
2026-01-23 19:43:00,0.6400,0.6400,0.6600,0.6500,0.6515,0.6600,3807.00,661836.00
2026-01-23 19:44:00,0.6400,0.5600,0.6500,0.5800,0.5996,0.6500,6832.00,667568.00
2026-01-23 19:45:00,0.5800,0.5800,0.6100,0.6000,0.5964,0.5800,1467.00,668850.00
2026-01-23 19:46:00,0.5700,0.5300,0.5800,0.5800,0.5544,0.6000,2282.00,669393.00
2026-01-23 19:47:00,0.6000,0.5500,0.6000,0.5700,0.5715,0.5800,4931.00,671227.00
2026-01-23 19:48:00,0.5700,0.5600,0.6200,0.6200,0.5950,0.5700,1086.00,671647.00
2026-01-23 19:49:00,0.6200,0.6200,0.6500,0.6400,0.6432,0.6200,2320.00,673850.00
2026-01-23 19:50:00,0.6400,0.6000,0.6400,0.6400,0.6308,0.6400,1971.00,675365.00
2026-01-23 19:51:00,0.6400,0.6400,0.6900,0.6400,0.6451,0.6400,7409.00,681936.00
2026-01-23 19:52:00,0.6400,0.6000,0.6500,0.6400,0.6389,0.6400,564.00,682022.00
2026-01-23 19:53:00,0.6600,0.6300,0.6800,0.6800,0.6613,0.6400,1651.00,682209.00
2026-01-23 19:54:00,0.6800,0.6200,0.6800,0.6800,0.6616,0.6800,2001.00,682855.00
2026-01-23 19:55:00,0.6800,0.6500,0.7000,0.6500,0.6611,0.6800,2253.00,685089.00
