end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-23 20:16:00,,,,,,0.9900,0.00,29018.00
2026-01-23 20:17:00,,,,,,0.9900,0.00,29018.00
2026-01-23 20:18:00,,,,,,0.9900,0.00,29018.00
2026-01-23 20:19:00,,,,,,0.9900,0.00,29018.00
2026-01-23 20:21:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9900,200.00,29218.00
2026-01-23 20:22:00,0.9900,0.9900,0.9900,0.9900,0.9900,0.9800,8291.00,37509.00
2026-01-23 20:23:00,,,,,,0.9900,0.00,37509.00
2026-01-23 20:24:00,0.9900,0.9900,0.9900,0.9900,0.9900,0.9900,50.00,37559.00
2026-01-23 20:25:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:26:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:27:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:28:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:29:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:30:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:31:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:32:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:33:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:34:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:35:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:37:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:38:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:40:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:41:00,,,,,,0.9900,0.00,37559.00
2026-01-23 20:42:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9900,30.00,37589.00
2026-01-23 20:43:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:44:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:45:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:46:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,1.00,37589.00
2026-01-23 20:47:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:48:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:49:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:50:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:51:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:52:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:53:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:54:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:55:00,,,,,,0.9800,0.00,37589.00
2026-01-23 20:56:00,0.9900,0.9900,0.9900,0.9900,0.9900,0.9800,26.00,37615.00
2026-01-23 20:57:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9900,18045.00,40106.00
2026-01-23 20:58:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,12.00,40118.00
2026-01-23 20:59:00,,,,,,0.9800,0.00,40118.00
2026-01-23 21:00:00,0.9800,0.9800,0.9800,0.9800,0.9800,0.9800,7142.00,47260.00
