end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-02 13:13:00,,,,,,0.6400,0.00,3220.00
2026-03-02 13:14:00,,,,,,0.6400,0.00,3220.00
2026-03-02 13:15:00,,,,,,0.6400,0.00,3220.00
2026-03-02 13:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,2.00,3222.00
2026-03-02 13:17:00,,,,,,0.6400,0.00,3222.00
2026-03-02 13:18:00,,,,,,0.6400,0.00,3222.00
2026-03-02 13:21:00,,,,,,0.6400,0.00,3222.00
2026-03-02 13:34:00,,,,,,0.6400,0.00,3222.00
2026-03-02 13:41:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6400,15.00,3237.00
2026-03-02 13:42:00,,,,,,0.6300,0.00,3237.00
2026-03-02 13:43:00,,,,,,0.6300,0.00,3237.00
2026-03-02 13:51:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,6.00,3243.00
2026-03-02 13:52:00,,,,,,0.6300,0.00,3243.00
2026-03-02 13:54:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6300,37.00,3280.00
2026-03-02 13:55:00,,,,,,0.6300,0.00,3280.00
2026-03-02 13:56:00,,,,,,0.6300,0.00,3280.00
2026-03-02 13:58:00,,,,,,0.6300,0.00,3280.00
2026-03-02 13:59:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,7.00,3287.00
2026-03-02 14:01:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,1.00,3288.00
2026-03-02 14:02:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,500.00,3788.00
2026-03-02 14:03:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,3795.00
2026-03-02 14:04:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,75.00,3870.00
2026-03-02 14:05:00,,,,,,0.6400,0.00,3870.00
2026-03-02 14:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,283.00,4153.00
2026-03-02 14:11:00,,,,,,0.6400,0.00,4153.00
2026-03-02 14:12:00,,,,,,0.6400,0.00,4153.00
2026-03-02 14:13:00,,,,,,0.6400,0.00,4153.00
2026-03-02 14:14:00,,,,,,0.6400,0.00,4153.00
2026-03-02 14:15:00,0.6300,0.6300,0.6400,0.6400,0.6321,0.6400,762.00,4753.00
2026-03-02 14:16:00,,,,,,0.6400,0.00,4753.00
2026-03-02 14:17:00,,,,,,0.6400,0.00,4753.00
2026-03-02 14:18:00,,,,,,0.6400,0.00,4753.00
2026-03-02 14:19:00,0.6400,0.6400,0.6500,0.6500,0.6440,0.6400,100.00,4853.00
2026-03-02 14:20:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,10.00,4863.00
2026-03-02 14:21:00,,,,,,0.6500,0.00,4863.00
2026-03-02 14:22:00,0.6400,0.6400,0.6500,0.6500,0.6495,0.6500,209.00,5072.00
2026-03-02 14:23:00,,,,,,0.6500,0.00,5072.00
2026-03-02 14:24:00,,,,,,0.6500,0.00,5072.00
2026-03-02 14:27:00,0.6400,0.6400,0.6500,0.6500,0.6417,0.6500,90.00,5162.00
2026-03-02 14:28:00,,,,,,0.6500,0.00,5162.00
2026-03-02 14:30:00,,,,,,0.6500,0.00,5162.00
2026-03-02 14:31:00,,,,,,0.6500,0.00,5162.00
2026-03-02 14:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,1.00,5163.00
2026-03-02 14:33:00,0.6400,0.6400,0.6500,0.6500,0.6458,0.6400,1527.00,6690.00
2026-03-02 14:35:00,,,,,,0.6500,0.00,6690.00
2026-03-02 14:36:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,121.00,6811.00
2026-03-02 14:38:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,22.00,6833.00
2026-03-02 14:39:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,3.00,6836.00
2026-03-02 14:40:00,,,,,,0.6500,0.00,6836.00
2026-03-02 14:41:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,44.00,6880.00
2026-03-02 14:42:00,,,,,,0.6500,0.00,6880.00
2026-03-02 14:43:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,60.00,6940.00
2026-03-02 14:44:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,4.00,6944.00
2026-03-02 14:45:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,54.00,6998.00
2026-03-02 14:46:00,0.6300,0.6300,0.6300,0.6300,0.6300,0.6500,71.00,6927.00
2026-03-02 14:47:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,9.00,6936.00
2026-03-02 14:48:00,0.6300,0.6300,0.6400,0.6400,0.6367,0.6400,149.00,6987.00
2026-03-02 14:49:00,,,,,,0.6400,0.00,6987.00
2026-03-02 14:50:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,326.00,7313.00
2026-03-02 14:51:00,,,,,,0.6500,0.00,7313.00
2026-03-02 14:52:00,,,,,,0.6500,0.00,7313.00
2026-03-02 14:53:00,0.6300,0.6200,0.6300,0.6200,0.6204,0.6500,142.00,7455.00
2026-03-02 14:54:00,0.6200,0.6200,0.6300,0.6300,0.6298,0.6200,51.00,7505.00
2026-03-02 14:55:00,0.6000,0.5900,0.6000,0.5900,0.5991,0.6300,541.00,7946.00
2026-03-02 14:56:00,0.6000,0.5800,0.6000,0.5800,0.5999,0.5900,1970.00,9916.00
2026-03-02 14:57:00,0.5800,0.5800,0.6100,0.5900,0.5898,0.5800,5883.00,15799.00
2026-03-02 14:58:00,0.6000,0.6000,0.6200,0.6200,0.6156,0.5900,377.00,16175.00
2026-03-02 14:59:00,0.6400,0.6400,0.6500,0.6500,0.6491,0.6200,66.00,16235.00
2026-03-02 15:00:00,0.6500,0.6500,0.6700,0.6700,0.6650,0.6500,416.00,16651.00
2026-03-02 15:01:00,0.6600,0.6100,0.6600,0.6200,0.6248,0.6700,426.00,17072.00
2026-03-02 15:02:00,0.6500,0.6300,0.6600,0.6300,0.6494,0.6200,3704.00,19763.00
2026-03-02 15:03:00,0.6000,0.6000,0.6500,0.6500,0.6230,0.6300,209.00,19916.00
2026-03-02 15:04:00,0.6500,0.6200,0.6600,0.6200,0.6261,0.6500,1252.00,21168.00
2026-03-02 15:05:00,0.6000,0.5900,0.6000,0.5900,0.5942,0.6200,1460.00,22628.00
2026-03-02 15:06:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,246.00,22874.00
2026-03-02 15:07:00,0.6000,0.5900,0.6200,0.6200,0.6088,0.5900,1776.00,24650.00
2026-03-02 15:08:00,0.6200,0.6000,0.6200,0.6200,0.6196,0.6200,5613.00,30006.00
2026-03-02 15:09:00,0.6200,0.5700,0.6200,0.5700,0.6098,0.6200,2075.00,31966.00
2026-03-02 15:10:00,0.5800,0.5800,0.6000,0.6000,0.5932,0.5700,1764.00,33670.00
2026-03-02 15:11:00,0.6100,0.6100,0.6200,0.6200,0.6102,0.6000,41.00,33711.00
2026-03-02 15:12:00,0.6200,0.6200,0.6700,0.6700,0.6490,0.6200,194.00,33805.00
2026-03-02 15:13:00,0.6700,0.6700,0.7200,0.7200,0.7078,0.6700,8520.00,42325.00
