end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 18:04:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,500.00,28355.00
2026-03-03 18:05:00,,,,,,0.5700,0.00,28355.00
2026-03-03 18:06:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,28363.00
2026-03-03 18:07:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,35.00,28398.00
2026-03-03 18:09:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,90.00,28488.00
2026-03-03 18:10:00,,,,,,0.5700,0.00,28488.00
2026-03-03 18:11:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,255.00,28743.00
2026-03-03 18:12:00,,,,,,0.5700,0.00,28743.00
2026-03-03 18:13:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,170.00,28913.00
2026-03-03 18:14:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,21.00,28934.00
2026-03-03 18:15:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,42.00,28976.00
2026-03-03 18:16:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,464.00,29440.00
2026-03-03 18:17:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,25.00,29465.00
2026-03-03 18:18:00,,,,,,0.5700,0.00,29465.00
2026-03-03 18:19:00,,,,,,0.5700,0.00,29465.00
2026-03-03 18:20:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,8.00,29473.00
2026-03-03 18:21:00,,,,,,0.5600,0.00,29473.00
2026-03-03 18:22:00,,,,,,0.5600,0.00,29473.00
2026-03-03 18:23:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,212.00,29685.00
2026-03-03 18:24:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,63.00,29748.00
2026-03-03 18:26:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,167.00,29915.00
2026-03-03 18:27:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,26.00,29941.00
2026-03-03 18:29:00,,,,,,0.5800,0.00,29941.00
2026-03-03 18:30:00,0.5700,0.5700,0.5800,0.5800,0.5777,0.5800,43.00,29984.00
2026-03-03 18:31:00,0.5800,0.5800,0.5900,0.5900,0.5857,0.5800,176.00,30160.00
2026-03-03 18:32:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,5.00,30165.00
2026-03-03 18:33:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,16.00,30181.00
2026-03-03 18:34:00,0.5800,0.5800,0.5900,0.5900,0.5877,0.5800,258.00,30439.00
2026-03-03 18:35:00,0.5800,0.5800,0.5900,0.5900,0.5817,0.5900,241.00,30680.00
2026-03-03 18:37:00,0.5800,0.5800,0.5900,0.5900,0.5876,0.5900,821.00,31501.00
