end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 16:57:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,5.00,25538.00
2026-03-03 16:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,2.00,25540.00
2026-03-03 17:00:00,0.5700,0.5600,0.5700,0.5600,0.5617,0.5600,12.00,25552.00
2026-03-03 17:01:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,83.00,25635.00
2026-03-03 17:02:00,,,,,,0.5700,0.00,25635.00
2026-03-03 17:03:00,0.5700,0.5600,0.5700,0.5600,0.5697,0.5700,459.00,26094.00
2026-03-03 17:04:00,0.5700,0.5600,0.5700,0.5600,0.5699,0.5600,710.00,26804.00
2026-03-03 17:05:00,0.5600,0.5600,0.5700,0.5700,0.5699,0.5600,1045.00,27849.00
2026-03-03 17:06:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,350.00,28199.00
2026-03-03 17:07:00,,,,,,0.5700,0.00,28199.00
2026-03-03 17:08:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,95.00,28294.00
2026-03-03 17:09:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,98.00,28392.00
2026-03-03 17:10:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,10.00,28402.00
2026-03-03 17:11:00,0.5700,0.5600,0.5700,0.5600,0.5625,0.5700,67.00,28412.00
2026-03-03 17:12:00,,,,,,0.5600,0.00,28412.00
2026-03-03 17:13:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,17.00,28429.00
2026-03-03 17:14:00,,,,,,0.5700,0.00,28429.00
2026-03-03 17:15:00,0.5700,0.5700,0.6200,0.5700,0.5809,0.5700,8325.00,36754.00
2026-03-03 17:16:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,394.00,37148.00
2026-03-03 17:17:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,124.00,37272.00
2026-03-03 17:18:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,955.00,38227.00
