end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 13:57:00,,,,,,0.5600,0.00,8863.00
2026-03-04 13:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,8864.00
2026-03-04 14:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,51.00,8915.00
2026-03-04 14:01:00,,,,,,0.5600,0.00,8915.00
2026-03-04 14:03:00,,,,,,0.5600,0.00,8915.00
2026-03-04 14:04:00,,,,,,0.5600,0.00,8915.00
2026-03-04 14:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1.00,8916.00
2026-03-04 14:06:00,,,,,,0.5600,0.00,8916.00
2026-03-04 14:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,170.00,8839.00
2026-03-04 14:08:00,,,,,,0.5500,0.00,8839.00
2026-03-04 14:09:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,44.00,8883.00
2026-03-04 14:10:00,,,,,,0.5500,0.00,8883.00
2026-03-04 14:14:00,,,,,,0.5500,0.00,8883.00
2026-03-04 14:16:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,19.00,8902.00
2026-03-04 14:17:00,,,,,,0.5500,0.00,8902.00
2026-03-04 14:19:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,4.00,8906.00
2026-03-04 14:20:00,,,,,,0.5500,0.00,8906.00
2026-03-04 14:21:00,,,,,,0.5500,0.00,8906.00
2026-03-04 14:22:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,8941.00
2026-03-04 14:23:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,8958.00
2026-03-04 14:24:00,,,,,,0.5500,0.00,8958.00
2026-03-04 14:25:00,,,,,,0.5500,0.00,8958.00
2026-03-04 14:26:00,,,,,,0.5500,0.00,8958.00
2026-03-04 14:27:00,,,,,,0.5500,0.00,8958.00
2026-03-04 14:28:00,,,,,,0.5500,0.00,8958.00
