end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 14:03:00,,,,,,0.7300,0.00,14196.00
2026-03-05 14:09:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,4.00,14200.00
2026-03-05 14:12:00,,,,,,0.7300,0.00,14200.00
2026-03-05 14:13:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7300,68.00,14268.00
2026-03-05 14:14:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,2.00,14268.00
2026-03-05 14:15:00,,,,,,0.7200,0.00,14268.00
2026-03-05 14:16:00,,,,,,0.7200,0.00,14268.00
2026-03-05 14:17:00,,,,,,0.7200,0.00,14268.00
2026-03-05 14:19:00,0.7200,0.7200,0.7300,0.7300,0.7239,0.7200,121.00,14385.00
2026-03-05 14:20:00,0.7200,0.7200,0.7300,0.7200,0.7233,0.7300,360.00,14725.00
2026-03-05 14:21:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:22:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:24:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:25:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:26:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:27:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:28:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:30:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:31:00,,,,,,0.7200,0.00,14725.00
2026-03-05 14:32:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7200,400.00,15125.00
2026-03-05 14:33:00,,,,,,0.7300,0.00,15125.00
2026-03-05 14:34:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,36.00,15161.00
2026-03-05 14:35:00,,,,,,0.7300,0.00,15161.00
2026-03-05 14:36:00,,,,,,0.7300,0.00,15161.00
2026-03-05 14:38:00,,,,,,0.7300,0.00,15161.00
2026-03-05 14:39:00,,,,,,0.7300,0.00,15161.00
2026-03-05 14:40:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7300,200.00,15361.00
2026-03-05 14:41:00,,,,,,0.7200,0.00,15361.00
2026-03-05 14:42:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7200,134.00,15495.00
2026-03-05 14:43:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,66.00,15561.00
2026-03-05 14:44:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,16.00,15577.00
2026-03-05 14:53:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,66.00,15643.00
2026-03-05 14:56:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,200.00,15843.00
2026-03-05 14:57:00,,,,,,0.7300,0.00,15843.00
2026-03-05 14:58:00,,,,,,0.7300,0.00,15843.00
2026-03-05 15:00:00,,,,,,0.7300,0.00,15843.00
2026-03-05 15:02:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,67.00,15910.00
2026-03-05 15:08:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,2.00,15912.00
2026-03-05 15:10:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,24.00,15936.00
2026-03-05 15:11:00,,,,,,0.7300,0.00,15936.00
2026-03-05 15:12:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,25.00,15961.00
2026-03-05 15:13:00,,,,,,0.7300,0.00,15961.00
2026-03-05 15:14:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,116.00,16077.00
2026-03-05 15:15:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,109.00,16186.00
2026-03-05 15:16:00,,,,,,0.7300,0.00,16186.00
2026-03-05 15:17:00,,,,,,0.7300,0.00,16186.00
2026-03-05 15:19:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,35.00,16221.00
2026-03-05 15:20:00,,,,,,0.7300,0.00,16221.00
2026-03-05 15:21:00,,,,,,0.7300,0.00,16221.00
2026-03-05 15:22:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,13.00,16234.00
2026-03-05 15:23:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,75.00,16309.00
2026-03-05 15:24:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,97.00,16406.00
2026-03-05 15:25:00,,,,,,0.7300,0.00,16406.00
2026-03-05 15:27:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,133.00,16539.00
2026-03-05 15:28:00,,,,,,0.7300,0.00,16539.00
2026-03-05 15:29:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,2.00,16541.00
2026-03-05 15:31:00,,,,,,0.7300,0.00,16541.00
2026-03-05 15:32:00,,,,,,0.7300,0.00,16541.00
2026-03-05 15:33:00,0.7300,0.7300,0.7300,0.7300,0.7300,0.7300,403.00,16944.00
2026-03-05 15:34:00,,,,,,0.7300,0.00,16944.00
2026-03-05 15:35:00,,,,,,0.7300,0.00,16944.00
