end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 22:02:00,,,,,,0.5500,0.00,25624.00
2026-03-04 22:04:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,3.00,25627.00
2026-03-04 22:05:00,0.5400,0.5400,0.5500,0.5500,0.5423,0.5500,13.00,25630.00
2026-03-04 22:06:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,8.00,25638.00
2026-03-04 22:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,192.00,25830.00
2026-03-04 22:08:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1.00,25831.00
2026-03-04 22:09:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,686.00,26517.00
2026-03-04 22:10:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,194.00,26711.00
2026-03-04 22:11:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,68.00,26779.00
2026-03-04 22:12:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,26814.00
2026-03-04 22:14:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,8.00,26822.00
2026-03-04 22:16:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,337.00,26984.00
2026-03-04 22:17:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,921.00,27905.00
2026-03-04 22:18:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5500,102.00,27905.00
2026-03-04 22:19:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5300,25.00,27930.00
2026-03-04 22:20:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1056.00,28986.00
2026-03-04 22:21:00,0.5300,0.5300,0.5300,0.5300,0.5300,0.5500,9.00,28986.00
2026-03-04 22:22:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5300,863.00,29849.00
2026-03-04 22:24:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,3.00,29852.00
2026-03-04 22:25:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,35.00,29887.00
2026-03-04 22:26:00,,,,,,0.5500,0.00,29887.00
2026-03-04 22:29:00,,,,,,0.5500,0.00,29887.00
2026-03-04 22:30:00,,,,,,0.5500,0.00,29887.00
2026-03-04 22:31:00,,,,,,0.5500,0.00,29887.00
2026-03-04 22:32:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,435.00,30322.00
2026-03-04 22:33:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,211.00,30533.00
2026-03-04 22:39:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,30550.00
2026-03-04 22:40:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,88.00,30638.00
2026-03-04 22:41:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,313.00,30951.00
2026-03-04 22:42:00,,,,,,0.5500,0.00,30951.00
2026-03-04 22:43:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,7.00,30958.00
2026-03-04 22:44:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,50.00,31008.00
2026-03-04 22:45:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,172.00,31180.00
2026-03-04 22:46:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,30.00,31210.00
2026-03-04 22:50:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,26.00,31236.00
2026-03-04 22:51:00,,,,,,0.5500,0.00,31236.00
2026-03-04 22:52:00,,,,,,0.5500,0.00,31236.00
2026-03-04 22:53:00,,,,,,0.5500,0.00,31236.00
2026-03-04 22:54:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,105.00,31341.00
2026-03-04 22:56:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,5.00,31346.00
2026-03-04 22:57:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,877.00,32223.00
2026-03-04 22:58:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,244.00,32467.00
2026-03-04 22:59:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,12.00,32479.00
2026-03-04 23:00:00,0.5500,0.5400,0.5500,0.5500,0.5495,0.5500,456.00,32910.00
2026-03-04 23:01:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5500,2.00,32912.00
2026-03-04 23:02:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,43.00,32955.00
2026-03-04 23:03:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,137.00,33092.00
2026-03-04 23:04:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,454.00,33546.00
2026-03-04 23:05:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,202.00,33748.00
2026-03-04 23:06:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,210.00,33958.00
2026-03-04 23:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,443.00,34401.00
2026-03-04 23:08:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,21.00,34422.00
2026-03-04 23:09:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1439.00,35861.00
2026-03-04 23:10:00,0.5500,0.5400,0.5500,0.5400,0.5467,0.5500,528.00,36213.00
2026-03-04 23:11:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,871.00,37084.00
2026-03-04 23:12:00,0.5500,0.5500,0.5600,0.5600,0.5501,0.5500,449.00,37533.00
2026-03-04 23:13:00,0.5600,0.5500,0.5600,0.5500,0.5593,0.5600,6104.00,43230.00
2026-03-04 23:14:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5500,2195.00,45425.00
2026-03-04 23:15:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,4325.00,49343.00
2026-03-04 23:16:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,33.00,49376.00
2026-03-04 23:17:00,0.5700,0.5700,0.5800,0.5800,0.5800,0.5800,529.00,49905.00
2026-03-04 23:18:00,0.5600,0.5600,0.5700,0.5700,0.5607,0.5800,174.00,49755.00
2026-03-04 23:19:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,7975.00,57730.00
2026-03-04 23:20:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,88.00,57818.00
2026-03-04 23:21:00,,,,,,0.5800,0.00,57818.00
2026-03-04 23:22:00,0.5700,0.5700,0.5800,0.5800,0.5792,0.5800,396.00,58214.00
2026-03-04 23:23:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,2228.00,60442.00
2026-03-04 23:24:00,0.5700,0.5700,0.5800,0.5800,0.5800,0.5800,937.00,61379.00
2026-03-04 23:25:00,0.5800,0.5500,0.5800,0.5500,0.5623,0.5800,1380.00,61094.00
2026-03-04 23:26:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5500,208.00,61302.00
2026-03-04 23:27:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,17.00,61319.00
2026-03-04 23:29:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,61322.00
2026-03-04 23:30:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,130.00,61452.00
2026-03-04 23:31:00,,,,,,0.5700,0.00,61452.00
2026-03-04 23:32:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,30.00,61482.00
2026-03-04 23:33:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,85.00,61567.00
2026-03-04 23:34:00,0.5700,0.5500,0.5700,0.5500,0.5683,0.5700,382.00,61916.00
2026-03-04 23:35:00,0.5600,0.5500,0.5600,0.5600,0.5584,0.5500,259.00,62134.00
2026-03-04 23:37:00,0.5600,0.5600,0.5700,0.5600,0.5642,0.5600,1367.00,63501.00
2026-03-04 23:38:00,0.5600,0.5600,0.5800,0.5800,0.5746,0.5600,1854.00,65355.00
2026-03-04 23:39:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5800,37.00,65392.00
2026-03-04 23:40:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,384.00,65776.00
2026-03-04 23:41:00,0.5700,0.5700,0.5800,0.5800,0.5784,0.5700,2203.00,67979.00
2026-03-04 23:42:00,0.5800,0.5700,0.5800,0.5700,0.5800,0.5800,438.00,68417.00
2026-03-04 23:43:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5700,12.00,68417.00
2026-03-04 23:44:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5500,90.00,68507.00
2026-03-04 23:45:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1157.00,69664.00
2026-03-04 23:46:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,42.00,69706.00
2026-03-04 23:47:00,0.5700,0.5700,0.5800,0.5800,0.5756,0.5700,4285.00,73991.00
2026-03-04 23:48:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,1292.00,75283.00
2026-03-04 23:49:00,0.5800,0.5700,0.5800,0.5800,0.5785,0.5800,669.00,75850.00
2026-03-04 23:50:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5800,45.00,75895.00
2026-03-04 23:51:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,8.00,75903.00
2026-03-04 23:52:00,0.5700,0.5600,0.5700,0.5700,0.5679,0.5700,392.00,76213.00
2026-03-04 23:53:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,1497.00,77710.00
2026-03-04 23:54:00,0.5700,0.5700,0.5800,0.5800,0.5720,0.5700,1331.00,79041.00
2026-03-04 23:55:00,0.5800,0.5600,0.5800,0.5800,0.5794,0.5800,132.00,79165.00
2026-03-04 23:56:00,0.5800,0.5500,0.5800,0.5700,0.5563,0.5800,574.00,79333.00
2026-03-04 23:57:00,0.5700,0.5500,0.5800,0.5500,0.5591,0.5700,3084.00,78717.00
2026-03-04 23:58:00,0.5700,0.5600,0.5700,0.5600,0.5603,0.5500,196.00,78913.00
2026-03-04 23:59:00,0.5500,0.5400,0.5600,0.5400,0.5504,0.5600,1696.00,79569.00
2026-03-05 00:00:00,0.5400,0.5300,0.5500,0.5500,0.5468,0.5400,795.00,80364.00
2026-03-05 00:01:00,0.5200,0.5200,0.5500,0.5400,0.5325,0.5500,1900.00,81475.00
2026-03-05 00:02:00,0.5400,0.5400,0.5700,0.5500,0.5500,0.5400,2153.00,83628.00
2026-03-05 00:03:00,0.5500,0.5400,0.5500,0.5500,0.5449,0.5500,1949.00,85577.00
2026-03-05 00:04:00,0.5400,0.5400,0.5500,0.5400,0.5428,0.5500,831.00,86408.00
2026-03-05 00:05:00,0.5400,0.5300,0.6200,0.5600,0.5850,0.5400,10309.00,95974.00
2026-03-05 00:06:00,0.5600,0.5600,0.6400,0.5900,0.5829,0.5600,3154.00,99108.00
2026-03-05 00:07:00,0.5900,0.5600,0.6200,0.5800,0.5908,0.5900,6126.00,105173.00
2026-03-05 00:08:00,0.5900,0.5700,0.5900,0.5700,0.5824,0.5800,3024.00,108197.00
2026-03-05 00:09:00,0.5700,0.5700,0.6200,0.5900,0.5845,0.5700,3230.00,110677.00
2026-03-05 00:10:00,0.5900,0.5900,0.6500,0.6500,0.6214,0.5900,3690.00,114367.00
2026-03-05 00:11:00,0.6400,0.5800,0.6500,0.5800,0.6047,0.6500,8978.00,123182.00
2026-03-05 00:12:00,0.5800,0.5700,0.6300,0.5800,0.6196,0.5800,1320.00,124444.00
2026-03-05 00:13:00,0.5800,0.5300,0.5900,0.5800,0.5653,0.5800,5906.00,129135.00
2026-03-05 00:14:00,0.5800,0.5600,0.5900,0.5700,0.5614,0.5800,3023.00,132158.00
2026-03-05 00:15:00,0.5800,0.5200,0.5900,0.5300,0.5423,0.5700,2864.00,135004.00
2026-03-05 00:16:00,0.5000,0.3800,0.5200,0.3800,0.4661,0.5300,2823.00,135845.00
2026-03-05 00:17:00,0.3700,0.3700,0.4100,0.4100,0.4047,0.3800,8776.00,144313.00
2026-03-05 00:18:00,0.4100,0.3800,0.4200,0.3900,0.4017,0.4100,5212.00,149013.00
2026-03-05 00:19:00,0.3900,0.3500,0.4100,0.3500,0.3821,0.3900,6044.00,154209.00
2026-03-05 00:20:00,0.3600,0.2900,0.3600,0.2900,0.3388,0.3500,4295.00,157973.00
2026-03-05 00:21:00,0.2900,0.2700,0.3300,0.3200,0.3201,0.2900,12336.00,169321.00
2026-03-05 00:22:00,0.3100,0.2800,0.3200,0.3200,0.3067,0.3200,7591.00,171087.00
2026-03-05 00:23:00,0.3000,0.2800,0.3500,0.3100,0.3153,0.3200,12697.00,171093.00
2026-03-05 00:24:00,0.3200,0.3000,0.3400,0.3400,0.3273,0.3100,4624.00,174340.00
2026-03-05 00:25:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3400,3719.00,178059.00
2026-03-05 00:26:00,0.3300,0.3300,0.3500,0.3300,0.3379,0.3400,3237.00,181283.00
2026-03-05 00:27:00,0.3300,0.2900,0.3500,0.3000,0.3264,0.3300,2772.00,183775.00
2026-03-05 00:28:00,0.3000,0.2900,0.3100,0.3100,0.3002,0.3000,3188.00,186779.00
2026-03-05 00:29:00,0.2800,0.2300,0.2900,0.2400,0.2560,0.3100,17044.00,202178.00
2026-03-05 00:30:00,0.2700,0.2100,0.2800,0.2100,0.2499,0.2400,20269.00,197601.00
2026-03-05 00:31:00,0.2100,0.1900,0.2700,0.1900,0.2026,0.2100,26085.00,191114.00
2026-03-05 00:32:00,0.2000,0.1900,0.2200,0.2100,0.2098,0.1900,17654.00,205422.00
2026-03-05 00:33:00,0.2100,0.2000,0.2100,0.2000,0.2097,0.2100,2784.00,208060.00
2026-03-05 00:34:00,0.2200,0.1900,0.2400,0.2200,0.2287,0.2000,4866.00,212859.00
2026-03-05 00:35:00,0.2300,0.2000,0.2600,0.2500,0.2365,0.2200,7502.00,220277.00
2026-03-05 00:36:00,0.2500,0.2200,0.2800,0.2300,0.2439,0.2500,18087.00,237969.00
2026-03-05 00:37:00,0.2400,0.2200,0.2600,0.2300,0.2439,0.2300,10370.00,248168.00
2026-03-05 00:38:00,0.2300,0.2000,0.2400,0.2200,0.2197,0.2300,13064.00,257879.00
2026-03-05 00:39:00,0.2200,0.2000,0.2200,0.2200,0.2191,0.2200,12726.00,269692.00
2026-03-05 00:40:00,0.2200,0.2100,0.2300,0.2300,0.2176,0.2200,17090.00,284678.00
2026-03-05 00:41:00,0.2300,0.1400,0.2300,0.1600,0.1891,0.2300,17861.00,301722.00
2026-03-05 00:42:00,0.1500,0.0800,0.1700,0.1100,0.1213,0.1600,13987.00,308015.00
2026-03-05 00:43:00,0.1100,0.0700,0.1500,0.0800,0.0974,0.1100,17748.00,316602.00
2026-03-05 00:44:00,0.0800,0.0600,0.1000,0.1000,0.0884,0.0800,6474.00,319906.00
2026-03-05 00:45:00,0.1000,0.0700,0.1700,0.1700,0.1269,0.1000,20016.00,332629.00
2026-03-05 00:46:00,0.1700,0.1700,0.2300,0.2300,0.2045,0.1700,12115.00,343424.00
2026-03-05 00:47:00,0.2100,0.1900,0.2400,0.2100,0.2219,0.2300,19020.00,360617.00
2026-03-05 00:48:00,0.2200,0.1000,0.2200,0.1400,0.1677,0.2100,8516.00,367811.00
2026-03-05 00:49:00,0.1800,0.1600,0.2400,0.2400,0.2139,0.1400,6041.00,372675.00
2026-03-05 00:50:00,0.2300,0.2300,0.2900,0.2900,0.2748,0.2400,19360.00,387433.00
2026-03-05 00:51:00,0.2700,0.2600,0.2900,0.2700,0.2750,0.2900,23029.00,402218.00
2026-03-05 00:52:00,0.2700,0.2600,0.2900,0.2900,0.2744,0.2700,9028.00,410907.00
2026-03-05 00:53:00,0.2800,0.2400,0.2800,0.2400,0.2635,0.2900,8349.00,419148.00
2026-03-05 00:54:00,0.2600,0.2000,0.2600,0.2300,0.2352,0.2400,4066.00,422482.00
2026-03-05 00:55:00,0.2100,0.2100,0.2500,0.2500,0.2301,0.2300,13596.00,431664.00
2026-03-05 00:56:00,0.2600,0.2500,0.2800,0.2800,0.2736,0.2500,8687.00,440202.00
2026-03-05 00:57:00,0.2800,0.2400,0.2800,0.2800,0.2727,0.2800,6035.00,445240.00
2026-03-05 00:58:00,0.2800,0.2700,0.2800,0.2800,0.2800,0.2800,4230.00,449468.00
2026-03-05 00:59:00,0.2800,0.2700,0.2900,0.2900,0.2786,0.2800,5126.00,454572.00
2026-03-05 01:00:00,0.3000,0.3000,0.3800,0.3800,0.3501,0.2900,17211.00,467901.00
2026-03-05 01:01:00,0.3800,0.3800,0.5000,0.5000,0.4728,0.3800,57937.00,483517.00
2026-03-05 01:02:00,0.4900,0.4100,0.5300,0.4800,0.4807,0.5000,26519.00,506852.00
2026-03-05 01:03:00,0.4900,0.4700,0.5500,0.5500,0.5107,0.4800,22844.00,524105.00
2026-03-05 01:04:00,0.5500,0.4700,0.5500,0.4900,0.5227,0.5500,32421.00,554276.00
2026-03-05 01:05:00,0.4900,0.4300,0.5400,0.5400,0.5097,0.4900,25395.00,562750.00
2026-03-05 01:06:00,0.5300,0.5100,0.5500,0.5300,0.5329,0.5400,33896.00,566513.00
2026-03-05 01:07:00,0.5300,0.5200,0.5500,0.5200,0.5364,0.5300,16017.00,578501.00
2026-03-05 01:08:00,0.5400,0.4900,0.5400,0.5100,0.5267,0.5200,11802.00,587483.00
2026-03-05 01:09:00,0.5300,0.4800,0.5400,0.5100,0.5225,0.5100,26107.00,611849.00
2026-03-05 01:10:00,0.5100,0.5000,0.5200,0.5000,0.5122,0.5100,7397.00,618539.00
2026-03-05 01:11:00,0.5200,0.4100,0.5200,0.4100,0.4616,0.5000,19498.00,631056.00
2026-03-05 01:12:00,0.4100,0.3000,0.4600,0.3500,0.3745,0.4100,19135.00,633416.00
2026-03-05 01:13:00,0.3700,0.3500,0.4700,0.4700,0.4147,0.3500,14435.00,641198.00
2026-03-05 01:14:00,0.5000,0.4400,0.5200,0.5000,0.5018,0.4700,12579.00,647311.00
2026-03-05 01:15:00,0.5000,0.5000,0.5400,0.5100,0.5228,0.5000,31758.00,647514.00
2026-03-05 01:16:00,0.5300,0.5000,0.5400,0.5300,0.5231,0.5100,20252.00,645026.00
2026-03-05 01:17:00,0.5200,0.4500,0.5400,0.4500,0.5211,0.5300,12626.00,653199.00
2026-03-05 01:18:00,0.4700,0.4500,0.4900,0.4700,0.4703,0.4500,7857.00,657491.00
2026-03-05 01:19:00,0.4500,0.4500,0.4800,0.4700,0.4592,0.4700,9088.00,663191.00
2026-03-05 01:20:00,0.4400,0.3900,0.4600,0.4400,0.4355,0.4700,32243.00,677884.00
2026-03-05 01:21:00,0.4400,0.4100,0.5100,0.4900,0.4660,0.4400,17913.00,687802.00
2026-03-05 01:22:00,0.5100,0.4600,0.5300,0.5000,0.4927,0.4900,9386.00,696665.00
2026-03-05 01:23:00,0.5000,0.4900,0.5700,0.5300,0.5260,0.5000,42988.00,733511.00
2026-03-05 01:24:00,0.5200,0.4900,0.5300,0.4900,0.5066,0.5300,9761.00,742838.00
2026-03-05 01:25:00,0.4800,0.4400,0.4800,0.4400,0.4658,0.4900,12593.00,754182.00
2026-03-05 01:26:00,0.4500,0.4400,0.4600,0.4500,0.4553,0.4400,8604.00,761618.00
2026-03-05 01:27:00,0.4400,0.4000,0.4700,0.4700,0.4322,0.4500,36260.00,741982.00
2026-03-05 01:28:00,0.4700,0.4500,0.5200,0.5200,0.5152,0.4700,6300.00,743662.00
2026-03-05 01:29:00,0.5200,0.4600,0.5200,0.4900,0.4963,0.5200,3132.00,745462.00
2026-03-05 01:30:00,0.5000,0.4200,0.5400,0.4200,0.5052,0.4900,10182.00,751960.00
2026-03-05 01:31:00,0.5100,0.4600,0.5300,0.4700,0.4874,0.4200,7723.00,759645.00
2026-03-05 01:32:00,0.4700,0.4200,0.4900,0.4500,0.4540,0.4700,15647.00,772601.00
2026-03-05 01:33:00,0.4500,0.4400,0.4600,0.4600,0.4529,0.4500,13048.00,779014.00
2026-03-05 01:34:00,0.4600,0.4300,0.4800,0.4800,0.4542,0.4600,6810.00,779525.00
2026-03-05 01:35:00,0.4600,0.0100,0.5100,0.4700,0.3379,0.4800,56657.00,759276.00
2026-03-05 01:36:00,0.4500,0.4500,0.5200,0.5200,0.4722,0.4700,10999.00,754167.00
2026-03-05 01:37:00,0.5100,0.4700,0.5500,0.4800,0.5095,0.5200,26232.00,771215.00
2026-03-05 01:38:00,0.5000,0.4300,0.5000,0.4500,0.4721,0.4800,6405.00,775905.00
2026-03-05 01:39:00,0.4300,0.3400,0.4300,0.4300,0.4142,0.4500,18543.00,766445.00
2026-03-05 01:40:00,0.4100,0.4100,0.4300,0.4100,0.4125,0.4300,8328.00,765530.00
2026-03-05 01:41:00,0.4200,0.3900,0.4800,0.3900,0.4269,0.4100,5145.00,768844.00
2026-03-05 01:42:00,0.4000,0.2200,0.4000,0.3600,0.3123,0.3900,10253.00,771175.00
2026-03-05 01:43:00,0.3800,0.3600,0.4800,0.4800,0.4383,0.3600,16694.00,780293.00
2026-03-05 01:44:00,0.4800,0.4000,0.5400,0.5400,0.4557,0.4800,30076.00,754153.00
2026-03-05 01:45:00,0.5400,0.4500,0.5700,0.4500,0.4973,0.5400,7455.00,760502.00
2026-03-05 01:46:00,0.4500,0.3700,0.4500,0.4100,0.4036,0.4500,7732.00,759368.00
2026-03-05 01:47:00,0.4000,0.3600,0.4100,0.3900,0.3840,0.4100,9717.00,765651.00
2026-03-05 01:48:00,0.3900,0.3700,0.3900,0.3800,0.3834,0.3900,12688.00,764371.00
2026-03-05 01:49:00,0.3900,0.2000,0.3900,0.2300,0.2708,0.3800,40653.00,770195.00
2026-03-05 01:50:00,0.2200,0.1100,0.2900,0.2900,0.2525,0.2300,19422.00,774024.00
2026-03-05 01:51:00,0.3000,0.0100,0.3800,0.2000,0.2078,0.2900,39782.00,776887.00
2026-03-05 01:52:00,0.2200,0.0100,0.2400,0.0100,0.1301,0.2000,16631.00,774323.00
2026-03-05 01:53:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,4823.00,778866.00
2026-03-05 01:55:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,118.00,778915.00
2026-03-05 01:56:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,74.00,778989.00
2026-03-05 01:57:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,56.00,779045.00
2026-03-05 01:58:00,,,,,,0.0100,0.00,779045.00
2026-03-05 02:00:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,18.00,779045.00
2026-03-05 02:01:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,9.00,779054.00
