end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-06 12:15:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1.00,24807.00
2026-03-06 12:16:00,,,,,,0.5500,0.00,24807.00
2026-03-06 12:17:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,1567.00,26374.00
2026-03-06 12:18:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,119.00,26493.00
2026-03-06 12:19:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:20:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:21:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:22:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:24:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:25:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:26:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:27:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:28:00,,,,,,0.5600,0.00,26493.00
2026-03-06 12:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,43.00,26536.00
2026-03-06 12:30:00,,,,,,0.5600,0.00,26536.00
2026-03-06 12:31:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,812.00,27348.00
2026-03-06 12:32:00,,,,,,0.5600,0.00,27348.00
2026-03-06 12:33:00,,,,,,0.5600,0.00,27348.00
2026-03-06 12:34:00,,,,,,0.5600,0.00,27348.00
2026-03-06 12:35:00,,,,,,0.5600,0.00,27348.00
2026-03-06 12:36:00,,,,,,0.5600,0.00,27348.00
2026-03-06 12:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,240.00,27588.00
2026-03-06 12:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,43.00,27631.00
2026-03-06 12:39:00,,,,,,0.5600,0.00,27631.00
2026-03-06 12:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,27665.00
2026-03-06 12:43:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,120.00,27785.00
2026-03-06 12:44:00,,,,,,0.5600,0.00,27785.00
2026-03-06 12:45:00,,,,,,0.5600,0.00,27785.00
2026-03-06 12:46:00,,,,,,0.5600,0.00,27785.00
2026-03-06 12:47:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,12.00,27797.00
2026-03-06 12:48:00,,,,,,0.5600,0.00,27797.00
2026-03-06 12:49:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,2.00,27799.00
2026-03-06 12:50:00,,,,,,0.5500,0.00,27799.00
2026-03-06 12:51:00,,,,,,0.5500,0.00,27799.00
2026-03-06 12:52:00,,,,,,0.5500,0.00,27799.00
2026-03-06 12:53:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,8.00,27807.00
2026-03-06 12:54:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,261.00,28068.00
2026-03-06 12:59:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,70.00,28138.00
2026-03-06 13:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,12.00,28150.00
2026-03-06 13:01:00,,,,,,0.5600,0.00,28150.00
2026-03-06 13:03:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3.00,28153.00
2026-03-06 13:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,75.00,28228.00
2026-03-06 13:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,39.00,28267.00
2026-03-06 13:06:00,,,,,,0.5600,0.00,28267.00
2026-03-06 13:07:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,627.00,28894.00
2026-03-06 13:09:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1262.00,30156.00
2026-03-06 13:10:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,34.00,30190.00
2026-03-06 13:11:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,20.00,30210.00
2026-03-06 13:14:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,18.00,30228.00
2026-03-06 13:16:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,2598.00,32826.00
2026-03-06 13:19:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,173.00,32999.00
2026-03-06 13:21:00,,,,,,0.5600,0.00,32999.00
2026-03-06 13:22:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,10035.00,43033.00
2026-03-06 13:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,43050.00
2026-03-06 13:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,889.00,43939.00
2026-03-06 13:26:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,11.00,43950.00
2026-03-06 13:27:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,13.00,43963.00
2026-03-06 13:28:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,6512.00,50475.00
2026-03-06 13:29:00,0.5600,0.5600,0.5700,0.5700,0.5700,0.5600,5020.00,55495.00
2026-03-06 13:30:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,166.00,55661.00
2026-03-06 13:31:00,,,,,,0.5700,0.00,55661.00
2026-03-06 13:32:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,386.00,56047.00
2026-03-06 13:33:00,0.5600,0.5600,0.5700,0.5700,0.5610,0.5700,1667.00,57714.00
2026-03-06 13:34:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5700,10.00,57724.00
2026-03-06 13:35:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,21.00,57745.00
2026-03-06 13:36:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5600,9.00,57754.00
2026-03-06 13:37:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,49.00,57803.00
2026-03-06 13:38:00,,,,,,0.5700,0.00,57803.00
2026-03-06 13:39:00,,,,,,0.5700,0.00,57803.00
2026-03-06 13:40:00,,,,,,0.5700,0.00,57803.00
