end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-06 16:31:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,96.00,13307.00
2026-03-06 16:34:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,253.00,13560.00
2026-03-06 16:35:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,1.00,13561.00
2026-03-06 16:36:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,3.00,13564.00
2026-03-06 16:37:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:38:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:39:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:40:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:41:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:43:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:44:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:45:00,,,,,,0.2000,0.00,13564.00
2026-03-06 16:46:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.2000,95.00,13469.00
2026-03-06 16:47:00,,,,,,0.1800,0.00,13469.00
2026-03-06 16:48:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1800,194.00,13663.00
2026-03-06 16:49:00,,,,,,0.2000,0.00,13663.00
2026-03-06 16:50:00,,,,,,0.2000,0.00,13663.00
2026-03-06 16:51:00,,,,,,0.2000,0.00,13663.00
2026-03-06 16:52:00,,,,,,0.2000,0.00,13663.00
2026-03-06 16:53:00,,,,,,0.2000,0.00,13663.00
2026-03-06 16:54:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,136.00,13799.00
2026-03-06 16:55:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,23.00,13822.00
2026-03-06 16:56:00,,,,,,0.2000,0.00,13822.00
2026-03-06 16:57:00,,,,,,0.2000,0.00,13822.00
2026-03-06 16:58:00,,,,,,0.2000,0.00,13822.00
2026-03-06 16:59:00,,,,,,0.2000,0.00,13822.00
2026-03-06 17:00:00,,,,,,0.2000,0.00,13822.00
2026-03-06 17:01:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,1.00,13823.00
2026-03-06 17:02:00,,,,,,0.2000,0.00,13823.00
2026-03-06 17:03:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,123.00,13946.00
2026-03-06 17:05:00,,,,,,0.2000,0.00,13946.00
2026-03-06 17:06:00,,,,,,0.2000,0.00,13946.00
2026-03-06 17:07:00,0.2000,0.2000,0.2100,0.2000,0.2039,0.2000,23296.00,37221.00
2026-03-06 17:08:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:09:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:10:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:11:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:12:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:13:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:14:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:15:00,,,,,,0.2000,0.00,37221.00
2026-03-06 17:16:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,47.00,37268.00
2026-03-06 17:17:00,,,,,,0.2000,0.00,37268.00
2026-03-06 17:18:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,4.00,37272.00
2026-03-06 17:19:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:20:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:21:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:22:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:23:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:25:00,,,,,,0.2000,0.00,37272.00
2026-03-06 17:27:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,274.00,37546.00
2026-03-06 17:28:00,,,,,,0.1900,0.00,37546.00
2026-03-06 17:29:00,,,,,,0.1900,0.00,37546.00
2026-03-06 17:30:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.1900,8.00,37554.00
2026-03-06 17:31:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,185.00,37739.00
2026-03-06 17:32:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,47.00,37786.00
2026-03-06 17:33:00,,,,,,0.2000,0.00,37786.00
2026-03-06 17:35:00,,,,,,0.2000,0.00,37786.00
2026-03-06 17:36:00,,,,,,0.2000,0.00,37786.00
2026-03-06 17:37:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,47.00,37833.00
2026-03-06 17:38:00,,,,,,0.2000,0.00,37833.00
2026-03-06 17:39:00,,,,,,0.2000,0.00,37833.00
2026-03-06 17:40:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,118.00,37951.00
2026-03-06 17:41:00,,,,,,0.2000,0.00,37951.00
2026-03-06 17:42:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,30.00,37981.00
2026-03-06 17:43:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,38.00,38019.00
2026-03-06 17:44:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,601.00,38620.00
2026-03-06 17:45:00,0.2000,0.2000,0.2000,0.2000,0.2000,0.2000,274.00,38894.00
2026-03-06 17:46:00,,,,,,0.2000,0.00,38894.00
2026-03-06 17:47:00,0.1800,0.1700,0.1900,0.1900,0.1716,0.2000,326.00,38621.00
2026-03-06 17:48:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,5.00,38626.00
2026-03-06 17:49:00,0.1900,0.1800,0.1900,0.1800,0.1883,0.1900,286.00,38816.00
2026-03-06 17:50:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,19.00,38835.00
2026-03-06 17:51:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,2652.00,41480.00
2026-03-06 17:52:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,119.00,41599.00
2026-03-06 17:54:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,271.00,41870.00
2026-03-06 17:55:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,1162.00,43032.00
2026-03-06 17:56:00,,,,,,0.1900,0.00,43032.00
2026-03-06 17:57:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,2.00,43034.00
2026-03-06 17:58:00,,,,,,0.1900,0.00,43034.00
2026-03-06 17:59:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1900,41.00,43075.00
2026-03-06 18:00:00,,,,,,0.1800,0.00,43075.00
2026-03-06 18:01:00,,,,,,0.1800,0.00,43075.00
2026-03-06 18:02:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,78.00,43153.00
2026-03-06 18:03:00,,,,,,0.1800,0.00,43153.00
2026-03-06 18:04:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,298.00,43451.00
2026-03-06 18:05:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,244.00,43695.00
2026-03-06 18:06:00,0.1800,0.1800,0.1800,0.1800,0.1800,0.1800,471.00,44166.00
2026-03-06 18:07:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1800,1054.00,45220.00
2026-03-06 18:08:00,0.2000,0.1800,0.2000,0.1800,0.1873,0.1900,451.00,45409.00
2026-03-06 18:09:00,0.1700,0.1700,0.2000,0.1700,0.1748,0.1800,1911.00,47219.00
2026-03-06 18:10:00,0.2100,0.2100,0.2100,0.2100,0.2100,0.1700,967.00,48165.00
2026-03-06 18:11:00,0.1900,0.1900,0.2300,0.2200,0.1908,0.2100,20661.00,66307.00
2026-03-06 18:12:00,0.2300,0.2100,0.2400,0.2200,0.2144,0.2200,10648.00,67638.00
2026-03-06 18:13:00,0.2100,0.1900,0.2100,0.2000,0.1986,0.2200,2079.00,68588.00
2026-03-06 18:14:00,0.2200,0.2000,0.2300,0.2100,0.2116,0.2000,763.00,68675.00
2026-03-06 18:15:00,0.2200,0.2200,0.2400,0.2300,0.2300,0.2100,840.00,68987.00
2026-03-06 18:16:00,0.2700,0.2100,0.2700,0.2100,0.2372,0.2300,1206.00,69991.00
2026-03-06 18:17:00,0.2200,0.2000,0.2200,0.2200,0.2147,0.2100,2382.00,71681.00
2026-03-06 18:18:00,0.2200,0.2200,0.2500,0.2400,0.2409,0.2200,4141.00,74169.00
2026-03-06 18:19:00,0.2400,0.2300,0.2600,0.2400,0.2464,0.2400,1080.00,74581.00
2026-03-06 18:20:00,0.2400,0.2400,0.2600,0.2600,0.2481,0.2400,877.00,74598.00
2026-03-06 18:21:00,0.2600,0.2200,0.2600,0.2400,0.2532,0.2600,1558.00,75328.00
2026-03-06 18:22:00,0.2400,0.2200,0.2400,0.2300,0.2358,0.2400,385.00,75328.00
2026-03-06 18:23:00,0.2300,0.2200,0.2600,0.2600,0.2476,0.2300,3017.00,76294.00
2026-03-06 18:24:00,0.2500,0.2300,0.2700,0.2300,0.2331,0.2600,4334.00,80128.00
2026-03-06 18:25:00,0.2500,0.2500,0.2900,0.2900,0.2661,0.2300,2624.00,82743.00
2026-03-06 18:26:00,0.2800,0.2600,0.2900,0.2900,0.2800,0.2900,7291.00,88007.00
2026-03-06 18:27:00,0.2900,0.2600,0.2900,0.2800,0.2734,0.2900,35350.00,79224.00
2026-03-06 18:28:00,0.2900,0.2700,0.2900,0.2800,0.2801,0.2800,2782.00,79258.00
2026-03-06 18:29:00,0.2800,0.2600,0.2900,0.2700,0.2716,0.2800,737.00,79418.00
2026-03-06 18:30:00,0.2700,0.2700,0.2900,0.2800,0.2755,0.2700,1678.00,79599.00
2026-03-06 18:31:00,0.2600,0.2500,0.2900,0.2800,0.2629,0.2800,6765.00,80180.00
2026-03-06 18:32:00,0.2800,0.2800,0.2900,0.2800,0.2801,0.2800,824.00,80648.00
2026-03-06 18:33:00,0.2800,0.2800,0.3100,0.3000,0.2943,0.2800,2446.00,80944.00
2026-03-06 18:34:00,0.3000,0.2800,0.3000,0.3000,0.2985,0.3000,926.00,80882.00
2026-03-06 18:35:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,2408.00,82730.00
2026-03-06 18:36:00,0.3000,0.2800,0.3000,0.2900,0.2841,0.3000,2159.00,84889.00
2026-03-06 18:37:00,0.2900,0.2500,0.2900,0.2800,0.2690,0.2900,560.00,85287.00
2026-03-06 18:38:00,0.2700,0.2600,0.2900,0.2600,0.2876,0.2800,1218.00,86505.00
2026-03-06 18:39:00,0.2600,0.2500,0.2900,0.2900,0.2593,0.2600,579.00,87064.00
2026-03-06 18:40:00,0.2800,0.2500,0.2900,0.2900,0.2625,0.2900,1072.00,87695.00
2026-03-06 18:41:00,0.2800,0.2800,0.3100,0.3000,0.3000,0.2900,12143.00,99658.00
2026-03-06 18:42:00,0.2900,0.2900,0.3000,0.3000,0.2995,0.3000,1093.00,100640.00
2026-03-06 18:43:00,0.3000,0.2800,0.3100,0.2800,0.3018,0.3000,4122.00,104762.00
2026-03-06 18:44:00,0.2800,0.2800,0.3100,0.3100,0.3022,0.2800,635.00,105397.00
