end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-07 20:46:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,708.00,32849.00
2026-03-07 20:47:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,66.00,32915.00
2026-03-07 20:49:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,13.00,32928.00
2026-03-07 20:50:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,685.00,33613.00
2026-03-07 20:51:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,252.00,33865.00
2026-03-07 20:52:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,495.00,34360.00
2026-03-07 20:54:00,,,,,,0.7900,0.00,34360.00
2026-03-07 20:55:00,,,,,,0.7900,0.00,34360.00
2026-03-07 20:56:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,1.00,34361.00
2026-03-07 20:58:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,61.00,34422.00
2026-03-07 20:59:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,2364.00,36786.00
2026-03-07 21:00:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7900,610.00,37396.00
2026-03-07 21:03:00,,,,,,0.8000,0.00,37396.00
2026-03-07 21:05:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,75.00,37471.00
2026-03-07 21:06:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,615.00,38086.00
2026-03-07 21:07:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,637.00,38723.00
2026-03-07 21:08:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,58.00,38781.00
2026-03-07 21:10:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,151.00,38932.00
2026-03-07 21:11:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1240.00,40172.00
2026-03-07 21:12:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,188.00,40360.00
2026-03-07 21:13:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,18.00,40378.00
2026-03-07 21:14:00,0.8000,0.7900,0.8000,0.8000,0.7996,0.8000,24.00,40402.00
2026-03-07 21:15:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,10.00,40412.00
2026-03-07 21:16:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,365.00,40777.00
2026-03-07 21:17:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,1928.00,42705.00
2026-03-07 21:18:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,2.00,42707.00
2026-03-07 21:19:00,,,,,,0.8000,0.00,42707.00
2026-03-07 21:20:00,0.7900,0.7800,0.8000,0.8000,0.7925,0.8000,334.00,42854.00
2026-03-07 21:21:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,636.00,43490.00
2026-03-07 21:22:00,,,,,,0.8000,0.00,43490.00
2026-03-07 21:23:00,,,,,,0.8000,0.00,43490.00
2026-03-07 21:24:00,,,,,,0.8000,0.00,43490.00
2026-03-07 21:25:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,100.00,43590.00
2026-03-07 21:26:00,0.8000,0.8000,0.8100,0.8000,0.8059,0.8000,2414.00,46004.00
2026-03-07 21:27:00,0.8000,0.8000,0.8100,0.8100,0.8093,0.8000,1246.00,47250.00
2026-03-07 21:28:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,100.00,47350.00
2026-03-07 21:31:00,,,,,,0.8100,0.00,47350.00
2026-03-07 21:35:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8100,1232.00,48582.00
2026-03-07 21:36:00,,,,,,0.8000,0.00,48582.00
2026-03-07 21:37:00,0.8000,0.7800,0.8000,0.7800,0.7914,0.8000,35.00,48617.00
2026-03-07 21:38:00,0.8000,0.7800,0.8000,0.7800,0.7802,0.7800,177.00,48619.00
2026-03-07 21:39:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7800,1117.00,49736.00
2026-03-07 21:40:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,12.00,49748.00
2026-03-07 21:41:00,,,,,,0.8000,0.00,49748.00
2026-03-07 21:42:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8000,191.00,49939.00
2026-03-07 21:43:00,,,,,,0.8100,0.00,49939.00
2026-03-07 21:44:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,303.00,50242.00
2026-03-07 21:45:00,0.8100,0.8000,0.8100,0.8000,0.8039,0.8100,13305.00,63547.00
2026-03-07 21:46:00,0.8000,0.7900,0.8000,0.7900,0.7900,0.8000,613.00,62940.00
2026-03-07 21:47:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.7900,140.00,63080.00
