end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-09 13:51:00,,,,,,0.3900,0.00,42127.00
2026-03-09 13:52:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,248.00,42375.00
2026-03-09 13:54:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,57.00,42432.00
2026-03-09 13:56:00,,,,,,0.3900,0.00,42432.00
2026-03-09 13:57:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,24.00,42456.00
2026-03-09 13:58:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,10.00,42466.00
2026-03-09 13:59:00,,,,,,0.3900,0.00,42466.00
2026-03-09 14:00:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,196.00,42662.00
2026-03-09 14:01:00,,,,,,0.3900,0.00,42662.00
2026-03-09 14:02:00,0.3900,0.3800,0.3900,0.3900,0.3873,0.3900,171.00,42793.00
2026-03-09 14:03:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,397.00,43190.00
2026-03-09 14:04:00,,,,,,0.3900,0.00,43190.00
2026-03-09 14:05:00,,,,,,0.3900,0.00,43190.00
2026-03-09 14:06:00,,,,,,0.3900,0.00,43190.00
2026-03-09 14:07:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,170.00,43360.00
2026-03-09 14:08:00,,,,,,0.3900,0.00,43360.00
2026-03-09 14:09:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,35.00,43395.00
2026-03-09 14:10:00,,,,,,0.3900,0.00,43395.00
2026-03-09 14:11:00,,,,,,0.3900,0.00,43395.00
2026-03-09 14:12:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,123.00,43518.00
2026-03-09 14:13:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,36.00,43554.00
2026-03-09 14:14:00,,,,,,0.3900,0.00,43554.00
2026-03-09 14:15:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,25.00,43579.00
2026-03-09 14:16:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,24.00,43603.00
2026-03-09 14:20:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,145.00,43748.00
2026-03-09 14:21:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,12.00,43760.00
2026-03-09 14:22:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,125.00,43885.00
2026-03-09 14:25:00,0.3800,0.3800,0.3900,0.3900,0.3881,0.3800,5312.00,49197.00
2026-03-09 14:26:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3900,5664.00,45336.00
2026-03-09 14:27:00,,,,,,0.3700,0.00,45336.00
2026-03-09 14:28:00,,,,,,0.3700,0.00,45336.00
2026-03-09 14:29:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3700,70.00,45406.00
2026-03-09 14:30:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,50.00,45456.00
2026-03-09 14:31:00,,,,,,0.3900,0.00,45456.00
2026-03-09 14:34:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,1100.00,46556.00
2026-03-09 14:35:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,9.00,46565.00
2026-03-09 14:39:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,20.00,46585.00
2026-03-09 14:40:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,45.00,46630.00
2026-03-09 14:41:00,,,,,,0.3800,0.00,46630.00
2026-03-09 14:42:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,57.00,46687.00
2026-03-09 14:43:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,75.00,46762.00
2026-03-09 14:48:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,30.00,46792.00
2026-03-09 14:50:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,25.00,46817.00
2026-03-09 14:51:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,42.00,46859.00
2026-03-09 14:54:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,976.00,47835.00
2026-03-09 14:55:00,,,,,,0.3800,0.00,47835.00
2026-03-09 14:58:00,,,,,,0.3800,0.00,47835.00
2026-03-09 15:00:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,20.00,47855.00
2026-03-09 15:01:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,125.00,47980.00
2026-03-09 15:04:00,,,,,,0.3800,0.00,47980.00
2026-03-09 15:05:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,50.00,48030.00
2026-03-09 15:06:00,,,,,,0.3800,0.00,48030.00
2026-03-09 15:07:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,54.00,48084.00
2026-03-09 15:08:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,19.00,48103.00
2026-03-09 15:09:00,,,,,,0.3800,0.00,48103.00
2026-03-09 15:10:00,,,,,,0.3800,0.00,48103.00
2026-03-09 15:11:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,375.00,48478.00
2026-03-09 15:12:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,75.00,48553.00
2026-03-09 15:13:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,5.00,48558.00
2026-03-09 15:14:00,,,,,,0.3800,0.00,48558.00
2026-03-09 15:15:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,12.00,48570.00
2026-03-09 15:17:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,12.00,48582.00
2026-03-09 15:18:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,319.00,48901.00
2026-03-09 15:19:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,5.00,48906.00
2026-03-09 15:20:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,295.00,49201.00
2026-03-09 15:21:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,125.00,49326.00
2026-03-09 15:22:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,75.00,49401.00
2026-03-09 15:23:00,,,,,,0.3800,0.00,49401.00
2026-03-09 15:24:00,,,,,,0.3800,0.00,49401.00
2026-03-09 15:25:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,52.00,49453.00
2026-03-09 15:26:00,,,,,,0.3800,0.00,49453.00
2026-03-09 15:27:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,225.00,49678.00
2026-03-09 15:28:00,,,,,,0.3800,0.00,49678.00
2026-03-09 15:29:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,105.00,49783.00
2026-03-09 15:30:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,5.00,49788.00
2026-03-09 15:31:00,0.3800,0.3800,0.3900,0.3800,0.3825,0.3800,2123.00,51911.00
2026-03-09 15:32:00,,,,,,0.3800,0.00,51911.00
2026-03-09 15:33:00,,,,,,0.3800,0.00,51911.00
2026-03-09 15:34:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,57.00,51968.00
2026-03-09 15:35:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,1.00,51969.00
2026-03-09 15:36:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3800,702.00,52671.00
2026-03-09 15:37:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3800,36.00,52707.00
