end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-08 12:52:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,434.00,110028.00
2026-03-08 12:53:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,625.00,110653.00
2026-03-08 12:54:00,,,,,,0.7800,0.00,110653.00
2026-03-08 12:55:00,0.7700,0.7700,0.7800,0.7800,0.7800,0.7800,1264.00,111917.00
2026-03-08 12:56:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,30.00,111947.00
2026-03-08 12:57:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,150.00,112097.00
2026-03-08 12:58:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,375.00,112472.00
2026-03-08 12:59:00,,,,,,0.7800,0.00,112472.00
2026-03-08 13:00:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7800,4.00,112476.00
2026-03-08 13:01:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7700,1312.00,113788.00
2026-03-08 13:02:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,26.00,113814.00
2026-03-08 13:03:00,,,,,,0.7800,0.00,113814.00
2026-03-08 13:04:00,,,,,,0.7800,0.00,113814.00
2026-03-08 13:05:00,,,,,,0.7800,0.00,113814.00
2026-03-08 13:06:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,74.00,113888.00
2026-03-08 13:08:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,40.00,113928.00
2026-03-08 13:09:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1250.00,115078.00
2026-03-08 13:10:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,625.00,115703.00
2026-03-08 13:11:00,,,,,,0.7800,0.00,115703.00
2026-03-08 13:12:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,466.00,116169.00
2026-03-08 13:13:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,7.00,116176.00
2026-03-08 13:14:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,6.00,116182.00
2026-03-08 13:15:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,247.00,116429.00
2026-03-08 13:16:00,,,,,,0.7800,0.00,116429.00
2026-03-08 13:17:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,12.00,116441.00
2026-03-08 13:18:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,6.00,116447.00
2026-03-08 13:19:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,65.00,116512.00
2026-03-08 13:20:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1606.00,118118.00
2026-03-08 13:21:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1051.00,119169.00
2026-03-08 13:22:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,4011.00,123180.00
2026-03-08 13:23:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,632.00,123812.00
