end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-10 19:21:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,42.00,141689.00
2026-03-10 19:22:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,26.00,141715.00
2026-03-10 19:23:00,0.1100,0.1000,0.1100,0.1000,0.1092,0.1100,197.00,141896.00
2026-03-10 19:24:00,,,,,,0.1000,0.00,141896.00
2026-03-10 19:25:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1000,4527.00,146423.00
2026-03-10 19:26:00,,,,,,0.1100,0.00,146423.00
2026-03-10 19:27:00,0.1000,0.1000,0.1100,0.1100,0.1095,0.1100,449.00,146872.00
2026-03-10 19:28:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,610.00,147482.00
2026-03-10 19:29:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,85.00,147567.00
2026-03-10 19:30:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,85.00,147652.00
2026-03-10 19:32:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,139.00,147791.00
2026-03-10 19:33:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,234.00,148025.00
2026-03-10 19:34:00,,,,,,0.1100,0.00,148025.00
2026-03-10 19:36:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,1.00,148026.00
2026-03-10 19:37:00,0.1100,0.1100,0.1100,0.1100,0.1100,0.1100,91.00,148117.00
2026-03-10 19:38:00,,,,,,0.1100,0.00,148117.00
2026-03-10 19:39:00,,,,,,0.1100,0.00,148117.00
2026-03-10 19:40:00,,,,,,0.1100,0.00,148117.00
2026-03-10 19:41:00,0.1000,0.1000,0.1100,0.1100,0.1023,0.1100,285.00,148402.00
2026-03-10 19:42:00,,,,,,0.1100,0.00,148402.00
2026-03-10 19:43:00,,,,,,0.1100,0.00,148402.00
