end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-13 07:11:00,,,,,,0.4100,0.00,1499.00
2026-02-13 07:12:00,0.4000,0.4000,0.4100,0.4100,0.4076,0.4100,21.00,1520.00
2026-02-13 07:13:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:14:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:15:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:16:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:17:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:18:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:19:00,,,,,,0.4100,0.00,1520.00
2026-02-13 07:20:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,585.00,2105.00
2026-02-13 07:21:00,,,,,,0.4100,0.00,2105.00
2026-02-13 07:22:00,0.4100,0.4100,0.7600,0.4200,0.4781,0.4100,2490.00,4364.00
2026-02-13 07:23:00,,,,,,0.4200,0.00,4364.00
2026-02-13 07:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,652.00,5011.00
2026-02-13 07:25:00,,,,,,0.4200,0.00,5011.00
2026-02-13 07:26:00,,,,,,0.4200,0.00,5011.00
2026-02-13 07:27:00,,,,,,0.4200,0.00,5011.00
2026-02-13 07:28:00,,,,,,0.4200,0.00,5011.00
2026-02-13 07:29:00,,,,,,0.4200,0.00,5011.00
2026-02-13 07:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,568.00,5365.00
2026-02-13 07:31:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:32:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:33:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:34:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:37:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:38:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:39:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:40:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:41:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:42:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:43:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:44:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:45:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:46:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:47:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:48:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:49:00,,,,,,0.4200,0.00,5365.00
2026-02-13 07:50:00,,,,,,0.4200,0.00,5365.00
