end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 11:47:00,,,,,,0.2500,0.00,680.00
2026-02-05 11:48:00,,,,,,0.2500,0.00,680.00
2026-02-05 11:49:00,,,,,,0.2500,0.00,680.00
2026-02-05 11:50:00,,,,,,0.2500,0.00,680.00
2026-02-05 11:51:00,0.2500,0.2500,0.2600,0.2600,0.2596,0.2500,73.00,730.00
2026-02-05 11:52:00,,,,,,0.2600,0.00,730.00
2026-02-05 11:53:00,,,,,,0.2600,0.00,730.00
2026-02-05 11:54:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,1.00,731.00
2026-02-05 11:55:00,,,,,,0.2600,0.00,731.00
2026-02-05 11:56:00,,,,,,0.2600,0.00,731.00
2026-02-05 11:57:00,,,,,,0.2600,0.00,731.00
2026-02-05 11:58:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,365.00,1096.00
2026-02-05 11:59:00,,,,,,0.2600,0.00,1096.00
2026-02-05 12:00:00,,,,,,0.2600,0.00,1096.00
2026-02-05 12:01:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,2.00,1098.00
2026-02-05 12:02:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:03:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:04:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:05:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:06:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:07:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:08:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:09:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:10:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:11:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:12:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:13:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:14:00,,,,,,0.2600,0.00,1098.00
2026-02-05 12:15:00,,,,,,0.2600,0.00,1098.00
