end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-06 09:13:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,11.00,16191.00
2026-02-06 09:15:00,0.8400,0.8300,0.8400,0.8300,0.8386,0.8500,292.00,16191.00
2026-02-06 09:16:00,,,,,,0.8300,0.00,16191.00
2026-02-06 09:18:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8300,327.00,16518.00
2026-02-06 09:20:00,,,,,,0.8500,0.00,16518.00
2026-02-06 09:22:00,,,,,,0.8500,0.00,16518.00
2026-02-06 09:23:00,,,,,,0.8500,0.00,16518.00
2026-02-06 09:24:00,,,,,,0.8500,0.00,16518.00
2026-02-06 09:27:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,22.00,16540.00
2026-02-06 09:28:00,,,,,,0.8500,0.00,16540.00
2026-02-06 09:30:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,114.00,16654.00
2026-02-06 09:31:00,,,,,,0.8500,0.00,16654.00
2026-02-06 09:32:00,0.8300,0.8200,0.8300,0.8200,0.8206,0.8500,3301.00,17575.00
2026-02-06 09:33:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:34:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:35:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:36:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:38:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:39:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:41:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:42:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:43:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:44:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:45:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:46:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:47:00,,,,,,0.8200,0.00,17575.00
2026-02-06 09:48:00,0.8400,0.8400,0.8500,0.8500,0.8483,0.8200,601.00,18075.00
2026-02-06 09:49:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,586.00,18661.00
2026-02-06 09:50:00,,,,,,0.8500,0.00,18661.00
2026-02-06 09:51:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,3.00,18664.00
2026-02-06 09:52:00,0.8500,0.8500,0.8500,0.8500,0.8500,0.8500,1.00,18665.00
