end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 07:08:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:09:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:10:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:11:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:12:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:13:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:14:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:15:00,,,,,,0.4200,0.00,5576.00
2026-02-09 07:16:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,16.00,5592.00
2026-02-09 07:18:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:19:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:21:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:22:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:24:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:25:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:26:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:27:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:28:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:30:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:31:00,,,,,,0.4200,0.00,5592.00
2026-02-09 07:33:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,34.00,5626.00
2026-02-09 07:34:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:35:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:36:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:37:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:38:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:39:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:40:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:41:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:44:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:45:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:46:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:47:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:49:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:50:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:51:00,,,,,,0.4200,0.00,5626.00
2026-02-09 07:52:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4200,534.00,6160.00
2026-02-09 07:53:00,,,,,,0.4500,0.00,6160.00
2026-02-09 07:54:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,17.00,6177.00
2026-02-09 07:55:00,,,,,,0.4500,0.00,6177.00
2026-02-09 07:56:00,,,,,,0.4500,0.00,6177.00
2026-02-09 07:57:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,108.00,6285.00
2026-02-09 07:58:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,17.00,6302.00
2026-02-09 07:59:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,539.00,6841.00
2026-02-09 08:00:00,,,,,,0.4500,0.00,6841.00
2026-02-09 08:01:00,,,,,,0.4500,0.00,6841.00
2026-02-09 08:02:00,,,,,,0.4500,0.00,6841.00
