end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-09 09:24:00,,,,,,0.1400,0.00,9381.00
2026-02-09 09:25:00,,,,,,0.1400,0.00,9381.00
2026-02-09 09:26:00,,,,,,0.1400,0.00,9381.00
2026-02-09 09:27:00,,,,,,0.1400,0.00,9381.00
2026-02-09 09:28:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,67.00,9448.00
2026-02-09 09:29:00,,,,,,0.1400,0.00,9448.00
2026-02-09 09:30:00,,,,,,0.1400,0.00,9448.00
2026-02-09 09:31:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,33.00,9481.00
2026-02-09 09:32:00,,,,,,0.1400,0.00,9481.00
2026-02-09 09:33:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,6.00,9487.00
2026-02-09 09:34:00,,,,,,0.1400,0.00,9487.00
2026-02-09 09:35:00,,,,,,0.1400,0.00,9487.00
2026-02-09 09:36:00,,,,,,0.1400,0.00,9487.00
2026-02-09 09:37:00,,,,,,0.1400,0.00,9487.00
2026-02-09 09:38:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,20.00,9507.00
2026-02-09 09:39:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:40:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:41:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:42:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:43:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:44:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:45:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:46:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:47:00,,,,,,0.1400,0.00,9507.00
2026-02-09 09:48:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,26.00,9533.00
2026-02-09 09:49:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,6.00,9539.00
2026-02-09 09:50:00,,,,,,0.1400,0.00,9539.00
2026-02-09 09:51:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,33.00,9572.00
2026-02-09 09:52:00,,,,,,0.1400,0.00,9572.00
2026-02-09 09:53:00,,,,,,0.1400,0.00,9572.00
2026-02-09 09:54:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1400,62.00,9572.00
2026-02-09 09:55:00,,,,,,0.1500,0.00,9572.00
2026-02-09 09:57:00,,,,,,0.1500,0.00,9572.00
2026-02-09 09:58:00,,,,,,0.1500,0.00,9572.00
2026-02-09 09:59:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,31.00,9572.00
2026-02-09 10:00:00,,,,,,0.1500,0.00,9572.00
2026-02-09 10:01:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,94.00,9572.00
2026-02-09 10:02:00,,,,,,0.1500,0.00,9572.00
2026-02-09 10:03:00,0.1500,0.1500,0.1500,0.1500,0.1500,0.1500,94.00,9572.00
2026-02-09 10:04:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1500,53.00,9572.00
2026-02-09 10:05:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,32.00,9604.00
2026-02-09 10:06:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,25.00,9604.00
2026-02-09 10:08:00,,,,,,0.1400,0.00,9604.00
2026-02-09 10:09:00,,,,,,0.1400,0.00,9604.00
2026-02-09 10:10:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1400,303.00,9604.00
2026-02-09 10:11:00,0.1300,0.1300,0.1400,0.1400,0.1325,0.1400,134.00,9705.00
2026-02-09 10:13:00,,,,,,0.1400,0.00,9705.00
2026-02-09 10:14:00,,,,,,0.1400,0.00,9705.00
2026-02-09 10:15:00,,,,,,0.1400,0.00,9705.00
2026-02-09 10:16:00,0.1300,0.1300,0.1300,0.1300,0.1300,0.1400,17.00,9722.00
2026-02-09 10:17:00,,,,,,0.1300,0.00,9722.00
2026-02-09 10:18:00,,,,,,0.1300,0.00,9722.00
2026-02-09 10:19:00,0.1400,0.1400,0.1400,0.1400,0.1400,0.1300,16.00,9738.00
2026-02-09 10:20:00,,,,,,0.1400,0.00,9738.00
