end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 04:50:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,8.00,39678.00
2026-02-11 04:56:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,4119.00,43797.00
2026-02-11 04:58:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1488.00,45285.00
2026-02-11 05:03:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,45301.00
2026-02-11 05:08:00,0.5800,0.5800,0.5900,0.5900,0.5834,0.5900,212.00,45513.00
2026-02-11 05:09:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,27.00,45540.00
2026-02-11 05:10:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,181.00,45721.00
2026-02-11 05:12:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,45737.00
2026-02-11 05:18:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,45819.00
2026-02-11 05:19:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,164.00,45983.00
2026-02-11 05:23:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,11.00,45994.00
2026-02-11 05:26:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,90.00,46084.00
2026-02-11 05:29:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,32.00,46116.00
2026-02-11 05:32:00,0.5900,0.5800,0.6100,0.6000,0.5800,0.5900,18012.00,64128.00
2026-02-11 05:33:00,0.6000,0.6000,0.6100,0.6100,0.6051,0.6000,80.00,64208.00
2026-02-11 05:34:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,45.00,64253.00
2026-02-11 05:35:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,208.00,64461.00
2026-02-11 05:36:00,0.6000,0.6000,0.6100,0.6100,0.6043,0.6000,80.00,64541.00
2026-02-11 05:37:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.6100,56.00,64597.00
2026-02-11 05:38:00,0.6000,0.5800,0.6000,0.6000,0.5926,0.5800,308.00,64905.00
2026-02-11 05:39:00,0.5800,0.5800,0.6000,0.6000,0.5808,0.6000,416.00,65321.00
