end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 04:42:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,10.00,18150.00
2026-02-11 04:47:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,43.00,18193.00
2026-02-11 04:50:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,21.00,18214.00
2026-02-11 04:59:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,20.00,18234.00
2026-02-11 05:02:00,0.4300,0.4300,0.4500,0.4500,0.4487,0.4500,122.00,18348.00
2026-02-11 05:04:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,10.00,18358.00
2026-02-11 05:05:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4500,524.00,18671.00
2026-02-11 05:06:00,0.4300,0.4300,0.4500,0.4500,0.4345,0.4300,182.00,18758.00
2026-02-11 05:07:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,326.00,19078.00
2026-02-11 05:08:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4500,208.00,19164.00
2026-02-11 05:09:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4300,74.00,19238.00
2026-02-11 05:13:00,0.4500,0.4400,0.4500,0.4400,0.4436,0.4500,197.00,19358.00
2026-02-11 05:15:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4400,41.00,19399.00
2026-02-11 05:17:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,42.00,19441.00
2026-02-11 05:20:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,117.00,19558.00
2026-02-11 05:22:00,0.4500,0.4500,0.4600,0.4600,0.4548,0.4500,5294.00,24852.00
2026-02-11 05:24:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,10.00,24862.00
2026-02-11 05:25:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,230.00,25092.00
2026-02-11 05:26:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,418.00,25510.00
2026-02-11 05:28:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4600,50.00,25560.00
2026-02-11 05:29:00,0.4400,0.4300,0.4400,0.4300,0.4327,0.4400,79.00,25604.00
2026-02-11 05:30:00,0.4400,0.4400,0.4500,0.4500,0.4491,0.4300,409.00,26013.00
2026-02-11 05:31:00,0.4400,0.4400,0.4800,0.4600,0.4581,0.4500,2217.00,28230.00
2026-02-11 05:32:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,5.00,28235.00
2026-02-11 05:33:00,0.4400,0.4400,0.4700,0.4600,0.4529,0.4600,201.00,28436.00
2026-02-11 05:34:00,0.4500,0.4500,0.4600,0.4600,0.4560,0.4600,219.00,28655.00
2026-02-11 05:35:00,0.4500,0.4500,0.4600,0.4600,0.4519,0.4600,52.00,28707.00
2026-02-11 05:36:00,0.4500,0.4500,0.4800,0.4600,0.4716,0.4600,2206.00,30913.00
2026-02-11 05:37:00,0.4500,0.4500,0.4600,0.4600,0.4579,0.4600,135.00,31048.00
2026-02-11 05:38:00,0.4500,0.4500,0.4700,0.4700,0.4675,0.4600,332.00,31380.00
2026-02-11 05:40:00,0.4200,0.4100,0.4700,0.4700,0.4597,0.4700,409.00,31789.00
2026-02-11 05:41:00,0.4600,0.4500,0.4800,0.4800,0.4564,0.4700,514.00,32303.00
2026-02-11 05:42:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4800,47.00,32350.00
2026-02-11 05:43:00,0.4200,0.4000,0.4300,0.4000,0.4202,0.4200,139.00,32484.00
2026-02-11 05:44:00,0.4200,0.4200,0.4300,0.4300,0.4211,0.4000,35.00,32519.00
2026-02-11 05:45:00,0.4400,0.4400,0.4800,0.4800,0.4516,0.4300,359.00,32442.00
2026-02-11 05:46:00,0.4800,0.4600,0.4800,0.4600,0.4665,0.4800,1569.00,34011.00
2026-02-11 05:47:00,0.4300,0.4300,0.4400,0.4400,0.4304,0.4600,230.00,34241.00
2026-02-11 05:48:00,0.4400,0.4400,0.4600,0.4600,0.4422,0.4400,9.00,34250.00
2026-02-11 05:49:00,0.3900,0.3800,0.3900,0.3800,0.3898,0.4600,46.00,34275.00
2026-02-11 05:50:00,0.4000,0.4000,0.4600,0.4600,0.4260,0.3800,148.00,34305.00
2026-02-11 05:51:00,0.4600,0.4600,0.4800,0.4800,0.4774,0.4600,1438.00,34559.00
2026-02-11 05:52:00,0.5000,0.4800,0.5000,0.4800,0.4875,0.4800,770.00,35329.00
2026-02-11 05:53:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4800,4.00,35333.00
2026-02-11 05:54:00,0.4300,0.4200,0.4300,0.4200,0.4205,0.4500,57.00,35390.00
2026-02-11 05:55:00,0.4000,0.4000,0.4300,0.4200,0.4209,0.4200,260.00,35632.00
2026-02-11 05:56:00,0.4400,0.4200,0.4500,0.4200,0.4345,0.4200,318.00,35950.00
2026-02-11 05:57:00,0.4200,0.4200,0.4500,0.4200,0.4324,0.4200,513.00,36463.00
2026-02-11 05:58:00,0.4100,0.3600,0.4100,0.3600,0.3989,0.4200,282.00,36650.00
2026-02-11 05:59:00,0.3600,0.3000,0.4000,0.3100,0.3482,0.3600,314.00,36880.00
2026-02-11 06:00:00,0.2800,0.2600,0.3500,0.2900,0.2870,0.3100,107.00,36879.00
2026-02-11 06:01:00,0.2600,0.2600,0.3400,0.3400,0.3100,0.2900,864.00,36581.00
2026-02-11 06:02:00,0.3300,0.3300,0.3800,0.3600,0.3533,0.3400,238.00,36783.00
2026-02-11 06:03:00,0.3100,0.2900,0.3100,0.2900,0.2915,0.3600,53.00,36836.00
2026-02-11 06:04:00,0.2900,0.2900,0.3300,0.3300,0.3154,0.2900,189.00,37025.00
2026-02-11 06:05:00,0.2600,0.2500,0.2600,0.2600,0.2582,0.3300,61.00,37064.00
2026-02-11 06:06:00,0.2600,0.2600,0.2600,0.2600,0.2600,0.2600,22.00,37086.00
2026-02-11 06:07:00,0.2700,0.2700,0.2800,0.2800,0.2789,0.2600,38.00,37124.00
2026-02-11 06:08:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.2800,39.00,37163.00
2026-02-11 06:09:00,0.2600,0.2600,0.2800,0.2800,0.2782,0.2900,554.00,37717.00
2026-02-11 06:10:00,0.2700,0.2700,0.2800,0.2800,0.2799,0.2800,1887.00,39604.00
2026-02-11 06:11:00,0.2700,0.2500,0.2700,0.2500,0.2699,0.2800,403.00,40007.00
2026-02-11 06:12:00,0.2200,0.2200,0.2200,0.2200,0.2200,0.2500,86.00,40093.00
2026-02-11 06:15:00,0.1700,0.1700,0.1700,0.1700,0.1700,0.2200,104.00,39989.00
2026-02-11 06:16:00,0.2000,0.2000,0.2300,0.2300,0.2028,0.1700,257.00,40046.00
2026-02-11 06:17:00,0.2100,0.2000,0.2100,0.2000,0.2001,0.2300,5075.00,45112.00
2026-02-11 06:18:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.2000,45.00,45132.00
2026-02-11 06:19:00,0.1900,0.1900,0.2100,0.1900,0.1951,0.1900,359.00,45491.00
2026-02-11 06:21:00,0.1900,0.1900,0.2200,0.2200,0.2144,0.1900,230.00,45713.00
2026-02-11 06:22:00,0.2200,0.2200,0.2400,0.2400,0.2323,0.2200,13.00,45726.00
2026-02-11 06:23:00,0.2000,0.2000,0.3000,0.2900,0.2715,0.2400,250.00,45900.00
2026-02-11 06:24:00,0.2900,0.2900,0.3400,0.3100,0.3242,0.2900,2327.00,48227.00
2026-02-11 06:25:00,0.2800,0.2800,0.3600,0.3600,0.3372,0.3100,416.00,48635.00
2026-02-11 06:26:00,0.3500,0.3200,0.3600,0.3500,0.3493,0.3600,3139.00,51262.00
2026-02-11 06:27:00,0.3600,0.3300,0.4000,0.3900,0.3854,0.3500,924.00,52141.00
2026-02-11 06:28:00,0.3900,0.3900,0.5000,0.4500,0.4073,0.3900,6035.00,53075.00
2026-02-11 06:29:00,0.4500,0.4300,0.5100,0.4300,0.4487,0.4500,2945.00,56020.00
2026-02-11 06:30:00,0.4800,0.4400,0.4900,0.4800,0.4763,0.4300,8054.00,60664.00
2026-02-11 06:31:00,0.4400,0.3900,0.4400,0.3900,0.4221,0.4800,382.00,61046.00
2026-02-11 06:32:00,0.3600,0.3200,0.3800,0.3800,0.3613,0.3900,2270.00,60542.00
2026-02-11 06:33:00,0.3500,0.3500,0.3600,0.3500,0.3571,0.3800,850.00,61392.00
2026-02-11 06:34:00,0.3500,0.3500,0.3500,0.3500,0.3500,0.3500,196.00,61588.00
2026-02-11 06:35:00,0.3200,0.3100,0.3200,0.3200,0.3104,0.3500,3516.00,62341.00
2026-02-11 06:36:00,0.3500,0.3500,0.4100,0.3500,0.3702,0.3200,170.00,62509.00
2026-02-11 06:37:00,0.3500,0.3500,0.4000,0.4000,0.3537,0.3500,728.00,63237.00
2026-02-11 06:38:00,0.4000,0.3900,0.5000,0.4200,0.4138,0.4000,4518.00,67232.00
2026-02-11 06:39:00,0.4000,0.4000,0.4400,0.4400,0.4003,0.4200,1432.00,67556.00
2026-02-11 06:40:00,0.4400,0.4300,0.4900,0.4600,0.4843,0.4400,8510.00,75550.00
2026-02-11 06:41:00,0.4600,0.4300,0.4900,0.4900,0.4404,0.4600,914.00,76358.00
2026-02-11 06:42:00,0.5000,0.4800,0.5800,0.5800,0.5703,0.4900,4586.00,80171.00
2026-02-11 06:43:00,0.5800,0.5500,0.6500,0.6100,0.6223,0.5800,1443.00,81051.00
2026-02-11 06:44:00,0.6300,0.5800,0.6700,0.6400,0.5938,0.6100,846.00,81249.00
2026-02-11 06:45:00,0.6000,0.4700,0.6300,0.4700,0.5203,0.6400,1217.00,81649.00
2026-02-11 06:46:00,0.4500,0.4300,0.5300,0.5300,0.4755,0.4700,516.00,82024.00
2026-02-11 06:47:00,0.5600,0.5500,0.6800,0.6700,0.6488,0.5300,3135.00,82582.00
2026-02-11 06:48:00,0.6300,0.6300,0.6800,0.6700,0.6671,0.6700,4458.00,84153.00
2026-02-11 06:49:00,0.6600,0.6400,0.6700,0.6600,0.6551,0.6700,3591.00,82603.00
2026-02-11 06:50:00,0.6600,0.6600,0.6700,0.6700,0.6617,0.6600,646.00,82711.00
2026-02-11 06:51:00,0.6700,0.6500,0.6700,0.6500,0.6686,0.6700,109.00,82805.00
2026-02-11 06:52:00,0.6700,0.6400,0.6800,0.6700,0.6650,0.6500,803.00,83296.00
2026-02-11 06:53:00,0.6700,0.6300,0.6700,0.6500,0.6564,0.6700,722.00,83930.00
2026-02-11 06:54:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,141.00,84046.00
2026-02-11 06:55:00,0.6600,0.6600,0.7500,0.7500,0.6911,0.6500,4785.00,88788.00
2026-02-11 06:56:00,0.7500,0.6700,0.7600,0.7200,0.7100,0.7500,2658.00,91200.00
2026-02-11 06:57:00,0.7200,0.7000,0.7300,0.7100,0.7131,0.7200,3430.00,93292.00
2026-02-11 06:58:00,0.7100,0.6500,0.7200,0.6600,0.6886,0.7100,2887.00,96139.00
2026-02-11 06:59:00,0.6600,0.5800,0.6600,0.6300,0.6326,0.6600,1185.00,97080.00
2026-02-11 07:00:00,0.6200,0.6200,0.6700,0.6400,0.6525,0.6300,3071.00,100052.00
2026-02-11 07:01:00,0.6400,0.5700,0.6400,0.6100,0.6168,0.6400,3929.00,103276.00
2026-02-11 07:02:00,0.5600,0.5400,0.6400,0.5800,0.6044,0.6100,4126.00,106904.00
2026-02-11 07:03:00,0.5700,0.4700,0.6000,0.5100,0.5023,0.5800,8201.00,110610.00
2026-02-11 07:04:00,0.4800,0.4800,0.5100,0.4800,0.4988,0.5100,10507.00,108812.00
2026-02-11 07:05:00,0.5000,0.4800,0.5500,0.4900,0.5106,0.4800,5671.00,111428.00
2026-02-11 07:06:00,0.5100,0.4600,0.5200,0.4800,0.5067,0.4900,3894.00,114674.00
2026-02-11 07:07:00,0.5100,0.4600,0.5300,0.5100,0.4787,0.4800,1843.00,115935.00
2026-02-11 07:08:00,0.4900,0.4400,0.5000,0.4900,0.4805,0.5100,2244.00,117968.00
2026-02-11 07:09:00,0.4600,0.4500,0.5700,0.5700,0.5282,0.4900,466.00,118250.00
2026-02-11 07:10:00,0.5600,0.5600,0.6700,0.6700,0.6274,0.5700,6180.00,122061.00
2026-02-11 07:11:00,0.6700,0.6400,0.7300,0.7200,0.6895,0.6700,4164.00,124783.00
2026-02-11 07:12:00,0.7100,0.6500,0.7100,0.6900,0.6587,0.7200,1538.00,124880.00
2026-02-11 07:13:00,0.6800,0.6700,0.7400,0.7400,0.7193,0.6900,5049.00,129862.00
2026-02-11 07:14:00,0.7100,0.7100,0.7600,0.7200,0.7409,0.7400,1110.00,130720.00
2026-02-11 07:15:00,0.7200,0.7200,0.7600,0.7500,0.7464,0.7200,30943.00,160492.00
2026-02-11 07:16:00,0.7500,0.7100,0.7700,0.7100,0.7329,0.7500,14762.00,174538.00
