end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-11 12:26:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,1.00,15851.00
2026-02-11 12:29:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,46.00,15897.00
2026-02-11 12:33:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3000,37.00,15897.00
2026-02-11 12:34:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,6.00,15903.00
2026-02-11 13:00:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,104.00,15967.00
2026-02-11 13:06:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,6.00,15973.00
2026-02-11 13:10:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,272.00,16215.00
2026-02-11 13:12:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,117.00,16332.00
2026-02-11 13:21:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,46.00,16378.00
2026-02-11 13:27:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,54.00,16432.00
2026-02-11 13:29:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,3.00,16435.00
2026-02-11 13:33:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,15.00,16450.00
2026-02-11 13:40:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,62.00,16512.00
2026-02-11 13:43:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,69.00,16581.00
2026-02-11 13:47:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,78.00,16659.00
2026-02-11 13:48:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,10.00,16669.00
2026-02-11 13:51:00,0.3000,0.3000,0.3100,0.3100,0.3011,0.3000,3022.00,19691.00
2026-02-11 13:57:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3100,78.00,19691.00
2026-02-11 14:01:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,9.00,19700.00
2026-02-11 14:02:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,634.00,20334.00
2026-02-11 14:04:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,13.00,20347.00
2026-02-11 14:12:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,1368.00,21715.00
2026-02-11 14:16:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,60.00,21775.00
