end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-13 22:54:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,8.00,8191.00
2026-02-13 22:58:00,,,,,,0.6800,0.00,8191.00
2026-02-13 23:01:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,70.00,8261.00
2026-02-13 23:02:00,,,,,,0.6800,0.00,8261.00
2026-02-13 23:04:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,8282.00
2026-02-13 23:05:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,21.00,8303.00
2026-02-13 23:07:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,8317.00
2026-02-13 23:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,36.00,8353.00
2026-02-13 23:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,90.00,8443.00
2026-02-13 23:11:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6800,7.00,8436.00
2026-02-13 23:15:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,190.00,8626.00
2026-02-13 23:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,8654.00
2026-02-13 23:27:00,,,,,,0.6800,0.00,8654.00
2026-02-13 23:28:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,8725.00
2026-02-13 23:33:00,,,,,,0.6800,0.00,8725.00
2026-02-13 23:34:00,,,,,,0.6800,0.00,8725.00
2026-02-13 23:35:00,,,,,,0.6800,0.00,8725.00
2026-02-13 23:38:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1000.00,9725.00
2026-02-13 23:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,31.00,9756.00
2026-02-13 23:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,704.00,10460.00
2026-02-13 23:45:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,185.00,10645.00
2026-02-13 23:49:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,27.00,10672.00
2026-02-13 23:50:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,79.00,10751.00
2026-02-13 23:52:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,14.00,10765.00
2026-02-13 23:56:00,,,,,,0.6800,0.00,10765.00
2026-02-13 23:58:00,,,,,,0.6800,0.00,10765.00
2026-02-13 23:59:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6800,4.00,10769.00
2026-02-14 00:00:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,14.00,10783.00
2026-02-14 00:02:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,8.00,10791.00
2026-02-14 00:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,143.00,10934.00
2026-02-14 00:11:00,,,,,,0.6800,0.00,10934.00
2026-02-14 00:16:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2.00,10936.00
2026-02-14 00:17:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,110.00,11046.00
2026-02-14 00:19:00,,,,,,0.6800,0.00,11046.00
2026-02-14 00:20:00,,,,,,0.6800,0.00,11046.00
2026-02-14 00:21:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,11053.00
2026-02-14 00:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2876.00,13929.00
2026-02-14 00:23:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,282.00,14211.00
2026-02-14 00:25:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,157.00,14368.00
2026-02-14 00:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,35.00,14403.00
2026-02-14 00:27:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,200.00,14603.00
2026-02-14 00:28:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,102.00,14705.00
2026-02-14 00:29:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,29.00,14734.00
2026-02-14 00:30:00,,,,,,0.6800,0.00,14734.00
2026-02-14 00:31:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,100.00,14834.00
2026-02-14 00:32:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5.00,14839.00
2026-02-14 00:33:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,32.00,14871.00
2026-02-14 00:35:00,,,,,,0.6800,0.00,14871.00
2026-02-14 00:36:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,70.00,14941.00
2026-02-14 00:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,154.00,15095.00
2026-02-14 00:38:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,388.00,15483.00
2026-02-14 00:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,286.00,15769.00
2026-02-14 00:41:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,8.00,15777.00
2026-02-14 00:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1438.00,17215.00
2026-02-14 00:43:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,50.00,17265.00
2026-02-14 00:44:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,345.00,17610.00
2026-02-14 00:45:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,17638.00
2026-02-14 00:46:00,,,,,,0.6800,0.00,17638.00
2026-02-14 00:47:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1600.00,19238.00
2026-02-14 00:48:00,,,,,,0.6800,0.00,19238.00
2026-02-14 00:49:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,5334.00,24572.00
2026-02-14 00:50:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,308.00,24880.00
