end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-15 09:04:00,,,,,,0.6600,0.00,10555.00
2026-02-15 09:05:00,,,,,,0.6600,0.00,10555.00
2026-02-15 09:06:00,,,,,,0.6600,0.00,10555.00
2026-02-15 09:07:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,4.00,10559.00
2026-02-15 09:08:00,,,,,,0.6600,0.00,10559.00
2026-02-15 09:09:00,,,,,,0.6600,0.00,10559.00
2026-02-15 09:10:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,7404.00,17963.00
2026-02-15 09:11:00,,,,,,0.6600,0.00,17963.00
2026-02-15 09:12:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6600,36.00,17999.00
2026-02-15 09:13:00,,,,,,0.6700,0.00,17999.00
2026-02-15 09:14:00,,,,,,0.6700,0.00,17999.00
2026-02-15 09:15:00,,,,,,0.6700,0.00,17999.00
2026-02-15 09:16:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6700,477.00,18476.00
2026-02-15 09:17:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,465.00,18941.00
2026-02-15 09:18:00,,,,,,0.6500,0.00,18941.00
2026-02-15 09:19:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6500,36.00,18977.00
2026-02-15 09:20:00,,,,,,0.6600,0.00,18977.00
2026-02-15 09:21:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,100.00,19077.00
2026-02-15 09:22:00,,,,,,0.6600,0.00,19077.00
2026-02-15 09:23:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,147.00,19224.00
2026-02-15 09:24:00,,,,,,0.6600,0.00,19224.00
2026-02-15 09:25:00,,,,,,0.6600,0.00,19224.00
2026-02-15 09:26:00,,,,,,0.6600,0.00,19224.00
2026-02-15 09:27:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,14.00,19238.00
2026-02-15 09:28:00,,,,,,0.6600,0.00,19238.00
2026-02-15 09:29:00,,,,,,0.6600,0.00,19238.00
2026-02-15 09:30:00,,,,,,0.6600,0.00,19238.00
2026-02-15 09:31:00,,,,,,0.6600,0.00,19238.00
2026-02-15 09:32:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,7.00,19245.00
2026-02-15 09:33:00,,,,,,0.6600,0.00,19245.00
2026-02-15 09:34:00,,,,,,0.6600,0.00,19245.00
2026-02-15 09:35:00,,,,,,0.6600,0.00,19245.00
2026-02-15 09:36:00,,,,,,0.6600,0.00,19245.00
2026-02-15 09:37:00,,,,,,0.6600,0.00,19245.00
2026-02-15 09:38:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,116.00,19361.00
2026-02-15 09:39:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:40:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:41:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:44:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:45:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:46:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:47:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:48:00,,,,,,0.6600,0.00,19361.00
2026-02-15 09:49:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,367.00,19728.00
2026-02-15 09:50:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,13.00,19741.00
2026-02-15 09:51:00,,,,,,0.6600,0.00,19741.00
2026-02-15 09:52:00,,,,,,0.6600,0.00,19741.00
2026-02-15 09:53:00,,,,,,0.6600,0.00,19741.00
2026-02-15 09:54:00,,,,,,0.6600,0.00,19741.00
2026-02-15 09:55:00,0.6500,0.6400,0.6500,0.6400,0.6409,0.6600,23.00,19755.00
2026-02-15 09:56:00,,,,,,0.6400,0.00,19755.00
2026-02-15 09:57:00,,,,,,0.6400,0.00,19755.00
2026-02-15 09:58:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,13.00,19742.00
2026-02-15 09:59:00,,,,,,0.6400,0.00,19742.00
2026-02-15 10:00:00,,,,,,0.6400,0.00,19742.00
2026-02-15 10:01:00,,,,,,0.6400,0.00,19742.00
2026-02-15 10:02:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,9.00,19751.00
2026-02-15 10:03:00,,,,,,0.6500,0.00,19751.00
2026-02-15 10:04:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,14.00,19765.00
