end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-16 06:56:00,,,,,,0.7800,0.00,2895.00
2026-02-16 06:58:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,156.00,3051.00
2026-02-16 07:01:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,2.00,3053.00
2026-02-16 07:05:00,,,,,,0.7800,0.00,3053.00
2026-02-16 07:06:00,,,,,,0.7800,0.00,3053.00
2026-02-16 07:07:00,,,,,,0.7800,0.00,3053.00
2026-02-16 07:08:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,44.00,3097.00
2026-02-16 07:09:00,,,,,,0.7800,0.00,3097.00
2026-02-16 07:11:00,,,,,,0.7800,0.00,3097.00
2026-02-16 07:12:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,4.00,3101.00
2026-02-16 07:15:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,2.00,3103.00
2026-02-16 07:17:00,,,,,,0.7800,0.00,3103.00
2026-02-16 07:18:00,0.7800,0.7800,0.7900,0.7900,0.7856,0.7800,3545.00,6648.00
2026-02-16 07:19:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7900,404.00,7052.00
2026-02-16 07:20:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7800,124.00,7176.00
2026-02-16 07:21:00,,,,,,0.7900,0.00,7176.00
2026-02-16 07:22:00,,,,,,0.7900,0.00,7176.00
2026-02-16 07:24:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.7900,246.00,7422.00
2026-02-16 07:25:00,,,,,,0.7900,0.00,7422.00
2026-02-16 07:26:00,,,,,,0.7900,0.00,7422.00
2026-02-16 07:27:00,0.7900,0.7900,0.8000,0.8000,0.7907,0.7900,997.00,8419.00
2026-02-16 07:30:00,,,,,,0.8000,0.00,8419.00
2026-02-16 07:31:00,,,,,,0.8000,0.00,8419.00
2026-02-16 07:32:00,,,,,,0.8000,0.00,8419.00
2026-02-16 07:33:00,,,,,,0.8000,0.00,8419.00
2026-02-16 07:36:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8000,457.00,8876.00
2026-02-16 07:37:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7900,126.00,9002.00
2026-02-16 07:38:00,0.7800,0.7800,0.8000,0.8000,0.7951,0.7800,2479.00,11481.00
2026-02-16 07:39:00,,,,,,0.8000,0.00,11481.00
2026-02-16 07:40:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8000,6.00,11487.00
