end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-17 01:32:00,,,,,,0.5800,0.00,34318.00
2026-02-17 01:35:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,163.00,34481.00
2026-02-17 01:41:00,,,,,,0.5800,0.00,34481.00
2026-02-17 01:42:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,45.00,34526.00
2026-02-17 01:43:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,166.00,34692.00
2026-02-17 01:44:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,8.00,34700.00
2026-02-17 01:50:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,33.00,34733.00
2026-02-17 01:51:00,0.5800,0.5800,0.5900,0.5900,0.5890,0.5800,2554.00,37287.00
2026-02-17 01:52:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,10.00,37297.00
2026-02-17 01:54:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,16.00,37313.00
2026-02-17 02:00:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,84.00,37397.00
2026-02-17 02:03:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1183.00,38580.00
2026-02-17 02:04:00,,,,,,0.5900,0.00,38580.00
2026-02-17 02:05:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,818.00,39398.00
2026-02-17 02:06:00,,,,,,0.5900,0.00,39398.00
2026-02-17 02:07:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,38.00,39436.00
2026-02-17 02:08:00,,,,,,0.5900,0.00,39436.00
2026-02-17 02:09:00,,,,,,0.5900,0.00,39436.00
2026-02-17 02:10:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,41.00,39477.00
2026-02-17 02:11:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5800,167.00,39644.00
2026-02-17 02:12:00,,,,,,0.5800,0.00,39644.00
2026-02-17 02:13:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,67.00,39711.00
2026-02-17 02:15:00,,,,,,0.5900,0.00,39711.00
2026-02-17 02:16:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,50.00,39761.00
2026-02-17 02:17:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,1639.00,41400.00
2026-02-17 02:18:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,41482.00
2026-02-17 02:19:00,,,,,,0.5900,0.00,41482.00
2026-02-17 02:21:00,,,,,,0.5900,0.00,41482.00
2026-02-17 02:22:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,216.00,41698.00
2026-02-17 02:25:00,,,,,,0.5900,0.00,41698.00
2026-02-17 02:26:00,,,,,,0.5900,0.00,41698.00
