end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 11:24:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:25:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:26:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:27:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:29:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:30:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:31:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:32:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:33:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:34:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:35:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:36:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:37:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:41:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:46:00,,,,,,0.3900,0.00,7548.00
2026-02-24 11:47:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3900,389.00,7937.00
2026-02-24 11:52:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,920.00,8778.00
2026-02-24 11:55:00,,,,,,0.4000,0.00,8778.00
2026-02-24 11:56:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,8778.00
2026-02-24 11:58:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,23.00,8778.00
2026-02-24 11:59:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:04:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:07:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,8778.00
2026-02-24 12:08:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,9.00,8778.00
2026-02-24 12:09:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.4000,11.00,8778.00
2026-02-24 12:11:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3800,1.00,8778.00
2026-02-24 12:20:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:26:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,7.00,8778.00
2026-02-24 12:27:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:29:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:30:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:31:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:33:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:34:00,,,,,,0.4000,0.00,8778.00
2026-02-24 12:37:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,11.00,8789.00
2026-02-24 12:40:00,,,,,,0.3900,0.00,8789.00
2026-02-24 12:42:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,24.00,8813.00
2026-02-24 12:43:00,,,,,,0.3900,0.00,8813.00
2026-02-24 12:44:00,,,,,,0.3900,0.00,8813.00
2026-02-24 12:48:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,61.00,8874.00
2026-02-24 12:51:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,51.00,8925.00
2026-02-24 12:53:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,132.00,9057.00
2026-02-24 12:54:00,,,,,,0.3900,0.00,9057.00
2026-02-24 12:55:00,,,,,,0.3900,0.00,9057.00
2026-02-24 12:57:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,63.00,9120.00
2026-02-24 12:59:00,,,,,,0.3900,0.00,9120.00
2026-02-24 13:00:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,37.00,9157.00
2026-02-24 13:01:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,73.00,9230.00
2026-02-24 13:02:00,,,,,,0.3900,0.00,9230.00
2026-02-24 13:03:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,60.00,9290.00
2026-02-24 13:04:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,9.00,9299.00
2026-02-24 13:05:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,14.00,9313.00
2026-02-24 13:06:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,30.00,9343.00
2026-02-24 13:07:00,,,,,,0.3900,0.00,9343.00
2026-02-24 13:08:00,0.3800,0.3800,0.3800,0.3800,0.3800,0.3900,55.00,9348.00
2026-02-24 13:09:00,0.3600,0.3600,0.3900,0.3900,0.3713,0.3800,548.00,9896.00
2026-02-24 13:10:00,0.3600,0.3600,0.3900,0.3900,0.3695,0.3900,19.00,9902.00
2026-02-24 13:11:00,0.3900,0.3900,0.4100,0.4100,0.3959,0.3900,463.00,10228.00
2026-02-24 13:12:00,0.3200,0.3000,0.4100,0.3800,0.3454,0.4100,6057.00,16233.00
2026-02-24 13:13:00,0.3900,0.3900,0.4000,0.4000,0.3916,0.3800,308.00,16541.00
2026-02-24 13:14:00,0.4000,0.4000,0.4300,0.4300,0.4110,0.4000,3373.00,19446.00
2026-02-24 13:15:00,0.4100,0.4000,0.4400,0.4100,0.4056,0.4300,547.00,19501.00
