end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-24 13:24:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,20.00,5429.00
2026-02-24 13:28:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,634.00,6063.00
2026-02-24 13:29:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,9.00,6072.00
2026-02-24 13:30:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,15.00,6087.00
2026-02-24 13:31:00,,,,,,0.6100,0.00,6087.00
2026-02-24 13:32:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,39.00,6126.00
2026-02-24 13:33:00,,,,,,0.6100,0.00,6126.00
2026-02-24 13:35:00,,,,,,0.6100,0.00,6126.00
2026-02-24 13:36:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,2042.00,8168.00
2026-02-24 13:37:00,,,,,,0.6100,0.00,8168.00
2026-02-24 13:38:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,15.00,8183.00
2026-02-24 13:40:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,209.00,8392.00
2026-02-24 13:42:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,317.00,8709.00
2026-02-24 13:43:00,,,,,,0.6100,0.00,8709.00
2026-02-24 13:45:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,435.00,9144.00
2026-02-24 13:46:00,,,,,,0.6100,0.00,9144.00
2026-02-24 13:48:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,20.00,9164.00
2026-02-24 13:49:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6100,468.00,9632.00
2026-02-24 13:50:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6100,2030.00,11662.00
2026-02-24 13:51:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6200,97.00,11759.00
2026-02-24 13:52:00,,,,,,0.6200,0.00,11759.00
2026-02-24 13:54:00,,,,,,0.6200,0.00,11759.00
2026-02-24 13:55:00,,,,,,0.6200,0.00,11759.00
