end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-26 09:50:00,,,,,,0.6300,0.00,2350.00
2026-02-26 09:52:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6300,10.00,2360.00
2026-02-26 09:53:00,,,,,,0.6400,0.00,2360.00
2026-02-26 10:00:00,,,,,,0.6400,0.00,2360.00
2026-02-26 10:01:00,,,,,,0.6400,0.00,2360.00
2026-02-26 10:07:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,42.00,2402.00
2026-02-26 10:08:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,38.00,2440.00
2026-02-26 10:10:00,,,,,,0.6400,0.00,2440.00
2026-02-26 10:11:00,,,,,,0.6400,0.00,2440.00
2026-02-26 10:13:00,,,,,,0.6400,0.00,2440.00
2026-02-26 10:16:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,5187.00,7627.00
2026-02-26 10:17:00,,,,,,0.6400,0.00,7627.00
2026-02-26 10:18:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,22.00,7649.00
2026-02-26 10:19:00,,,,,,0.6500,0.00,7649.00
2026-02-26 10:20:00,,,,,,0.6500,0.00,7649.00
2026-02-26 10:21:00,,,,,,0.6500,0.00,7649.00
2026-02-26 10:22:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,15.00,7664.00
2026-02-26 10:23:00,,,,,,0.6500,0.00,7664.00
2026-02-26 10:24:00,,,,,,0.6500,0.00,7664.00
2026-02-26 10:25:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,24.00,7688.00
2026-02-26 10:29:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,74.00,7762.00
2026-02-26 10:30:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,44.00,7806.00
2026-02-26 10:32:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,120.00,7926.00
2026-02-26 10:34:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,15.00,7941.00
2026-02-26 10:38:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,80.00,8021.00
2026-02-26 10:39:00,0.6200,0.6200,0.6200,0.6200,0.6200,0.6400,252.00,8021.00
