end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-27 11:43:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,50.00,6151.00
2026-02-27 11:45:00,,,,,,0.5700,0.00,6151.00
2026-02-27 11:46:00,,,,,,0.5700,0.00,6151.00
2026-02-27 11:47:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,12.00,6163.00
2026-02-27 11:48:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,6166.00
2026-02-27 11:50:00,,,,,,0.5700,0.00,6166.00
2026-02-27 11:52:00,,,,,,0.5700,0.00,6166.00
2026-02-27 11:53:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,146.00,6312.00
2026-02-27 11:58:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,170.00,6482.00
2026-02-27 11:59:00,,,,,,0.5700,0.00,6482.00
2026-02-27 12:00:00,,,,,,0.5700,0.00,6482.00
2026-02-27 12:01:00,,,,,,0.5700,0.00,6482.00
2026-02-27 12:03:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,3.00,6485.00
2026-02-27 12:04:00,,,,,,0.5700,0.00,6485.00
2026-02-27 12:05:00,,,,,,0.5700,0.00,6485.00
2026-02-27 12:06:00,,,,,,0.5700,0.00,6485.00
2026-02-27 12:07:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,25.00,6510.00
2026-02-27 12:08:00,,,,,,0.5700,0.00,6510.00
2026-02-27 12:09:00,,,,,,0.5700,0.00,6510.00
2026-02-27 12:10:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,35.00,6545.00
2026-02-27 12:11:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,11.00,6556.00
2026-02-27 12:12:00,,,,,,0.5700,0.00,6556.00
2026-02-27 12:14:00,0.5700,0.5700,0.5700,0.5700,0.5700,0.5700,5391.00,11947.00
2026-02-27 12:15:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5700,15503.00,27450.00
2026-02-27 12:16:00,,,,,,0.5800,0.00,27450.00
2026-02-27 12:17:00,,,,,,0.5800,0.00,27450.00
2026-02-27 12:18:00,,,,,,0.5800,0.00,27450.00
2026-02-27 12:19:00,,,,,,0.5800,0.00,27450.00
2026-02-27 12:20:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,375.00,27825.00
2026-02-27 12:21:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,656.00,28481.00
2026-02-27 12:22:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,32.00,28513.00
2026-02-27 12:23:00,,,,,,0.5900,0.00,28513.00
2026-02-27 12:24:00,,,,,,0.5900,0.00,28513.00
2026-02-27 12:25:00,,,,,,0.5900,0.00,28513.00
2026-02-27 12:26:00,,,,,,0.5900,0.00,28513.00
2026-02-27 12:27:00,,,,,,0.5900,0.00,28513.00
2026-02-27 12:28:00,0.5800,0.5800,0.5800,0.5800,0.5800,0.5900,228.00,28741.00
2026-02-27 12:29:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5800,32.00,28773.00
2026-02-27 12:30:00,,,,,,0.5900,0.00,28773.00
2026-02-27 12:31:00,,,,,,0.5900,0.00,28773.00
2026-02-27 12:32:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,82.00,28855.00
2026-02-27 12:33:00,,,,,,0.5900,0.00,28855.00
2026-02-27 12:34:00,,,,,,0.5900,0.00,28855.00
2026-02-27 12:35:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.5900,136.00,28991.00
