end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 17:51:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,172.00,14299.00
2026-02-28 17:52:00,,,,,,0.5600,0.00,14299.00
2026-02-28 17:53:00,,,,,,0.5600,0.00,14299.00
2026-02-28 17:59:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5600,70.00,14369.00
2026-02-28 18:00:00,,,,,,0.5500,0.00,14369.00
2026-02-28 18:01:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,50.00,14419.00
2026-02-28 18:02:00,,,,,,0.5600,0.00,14419.00
2026-02-28 18:03:00,,,,,,0.5600,0.00,14419.00
2026-02-28 18:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,62.00,14481.00
2026-02-28 18:06:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5.00,14486.00
2026-02-28 18:07:00,,,,,,0.5600,0.00,14486.00
2026-02-28 18:08:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,5.00,14491.00
2026-02-28 18:12:00,,,,,,0.5600,0.00,14491.00
2026-02-28 18:13:00,,,,,,0.5600,0.00,14491.00
2026-02-28 18:15:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1406.00,15897.00
2026-02-28 18:17:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,51.00,15948.00
2026-02-28 18:18:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,86.00,16034.00
2026-02-28 18:19:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,204.00,16238.00
2026-02-28 18:20:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3.00,16241.00
2026-02-28 18:21:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,172.00,16413.00
2026-02-28 18:22:00,,,,,,0.5600,0.00,16413.00
2026-02-28 18:23:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,50.00,16463.00
2026-02-28 18:24:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,89.00,16552.00
2026-02-28 18:25:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,115.00,16667.00
2026-02-28 18:26:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,6.00,16673.00
2026-02-28 18:27:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,25.00,16698.00
2026-02-28 18:28:00,,,,,,0.5600,0.00,16698.00
2026-02-28 18:29:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,517.00,17215.00
2026-02-28 18:30:00,,,,,,0.5600,0.00,17215.00
2026-02-28 18:31:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1729.00,18944.00
2026-02-28 18:32:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,646.00,19590.00
2026-02-28 18:33:00,,,,,,0.5600,0.00,19590.00
2026-02-28 18:34:00,,,,,,0.5600,0.00,19590.00
2026-02-28 18:35:00,,,,,,0.5600,0.00,19590.00
2026-02-28 18:36:00,,,,,,0.5600,0.00,19590.00
2026-02-28 18:37:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,116.00,19706.00
2026-02-28 18:38:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,184.00,19890.00
2026-02-28 18:39:00,,,,,,0.5600,0.00,19890.00
2026-02-28 18:40:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,227.00,20117.00
2026-02-28 18:41:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,86.00,20203.00
2026-02-28 18:42:00,0.5600,0.5500,0.5600,0.5500,0.5547,0.5600,211.00,20303.00
2026-02-28 18:43:00,,,,,,0.5500,0.00,20303.00
2026-02-28 18:44:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5500,19.00,20322.00
2026-02-28 18:45:00,,,,,,0.5600,0.00,20322.00
2026-02-28 18:46:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,272.00,20594.00
2026-02-28 18:47:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,172.00,20766.00
2026-02-28 18:48:00,,,,,,0.5600,0.00,20766.00
2026-02-28 18:49:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,55.00,20821.00
2026-02-28 18:50:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,378.00,21199.00
2026-02-28 18:51:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,879.00,22078.00
2026-02-28 18:52:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,15277.00,37355.00
2026-02-28 18:53:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,275.00,37630.00
2026-02-28 18:54:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,17.00,37647.00
2026-02-28 18:55:00,0.5500,0.5500,0.5600,0.5600,0.5580,0.5600,217.00,37776.00
2026-02-28 18:56:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,129.00,37810.00
2026-02-28 18:57:00,,,,,,0.5600,0.00,37810.00
2026-02-28 18:58:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,41.00,37851.00
2026-02-28 18:59:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,265.00,38116.00
2026-02-28 19:00:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,300.00,38416.00
2026-02-28 19:01:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1087.00,39503.00
2026-02-28 19:02:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,3470.00,42973.00
2026-02-28 19:03:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,674.00,43647.00
2026-02-28 19:04:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,1213.00,44860.00
2026-02-28 19:05:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,202.00,45062.00
2026-02-28 19:06:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,922.00,45984.00
2026-02-28 19:07:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,356.00,46340.00
2026-02-28 19:08:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,210.00,46550.00
2026-02-28 19:09:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,2435.00,48985.00
2026-02-28 19:10:00,0.5600,0.5600,0.5600,0.5600,0.5600,0.5600,503.00,49488.00
2026-02-28 19:11:00,0.5600,0.5600,0.6100,0.5800,0.5646,0.5600,16444.00,63011.00
2026-02-28 19:12:00,0.5800,0.5800,0.6600,0.6600,0.6048,0.5800,3466.00,65981.00
2026-02-28 19:13:00,0.6600,0.6500,0.6700,0.6700,0.6627,0.6600,1215.00,66044.00
2026-02-28 19:14:00,0.6700,0.5800,0.6700,0.5800,0.6382,0.6700,2367.00,66021.00
2026-02-28 19:15:00,0.5900,0.5300,0.5900,0.5300,0.5469,0.5800,5753.00,66409.00
2026-02-28 19:16:00,0.5300,0.5100,0.5300,0.5100,0.5258,0.5300,1001.00,66409.00
2026-02-28 19:17:00,0.5100,0.4900,0.5100,0.5000,0.5000,0.5100,2099.00,68462.00
2026-02-28 19:18:00,0.5100,0.4700,0.5100,0.4700,0.4771,0.5000,1056.00,68649.00
2026-02-28 19:19:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,1712.00,69198.00
2026-02-28 19:20:00,0.4700,0.4600,0.4700,0.4600,0.4698,0.4700,284.00,69482.00
2026-02-28 19:21:00,0.4700,0.4700,0.5100,0.5100,0.4911,0.4600,1058.00,70518.00
2026-02-28 19:22:00,0.5000,0.4800,0.5000,0.4800,0.4983,0.5100,2300.00,72818.00
2026-02-28 19:23:00,0.4700,0.3900,0.4700,0.4000,0.4530,0.4800,2327.00,75131.00
