end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-28 12:21:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,9542.00
2026-02-28 12:22:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:23:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:25:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:26:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:29:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:31:00,,,,,,0.4000,0.00,9542.00
2026-02-28 12:33:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,11.00,9553.00
2026-02-28 12:34:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:35:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:36:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:37:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:38:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:39:00,,,,,,0.4000,0.00,9553.00
2026-02-28 12:40:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,123.00,9676.00
2026-02-28 12:41:00,,,,,,0.3900,0.00,9676.00
2026-02-28 12:42:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,860.00,10536.00
2026-02-28 12:43:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,131.00,10667.00
2026-02-28 12:44:00,,,,,,0.3900,0.00,10667.00
2026-02-28 12:45:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,300.00,10967.00
2026-02-28 12:46:00,,,,,,0.3900,0.00,10967.00
2026-02-28 12:49:00,,,,,,0.3900,0.00,10967.00
2026-02-28 12:50:00,,,,,,0.3900,0.00,10967.00
2026-02-28 12:52:00,,,,,,0.3900,0.00,10967.00
2026-02-28 12:53:00,,,,,,0.3900,0.00,10967.00
2026-02-28 12:54:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,7.00,10974.00
2026-02-28 12:55:00,,,,,,0.3900,0.00,10974.00
2026-02-28 12:56:00,,,,,,0.3900,0.00,10974.00
2026-02-28 12:57:00,,,,,,0.3900,0.00,10974.00
2026-02-28 12:59:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,25.00,10999.00
2026-02-28 13:00:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,7.00,11006.00
2026-02-28 13:01:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.3900,122.00,11128.00
2026-02-28 13:03:00,,,,,,0.3900,0.00,11128.00
