end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-06 05:32:00,,,,,,0.4900,0.00,7362.00
2026-01-06 05:33:00,,,,,,0.4900,0.00,7362.00
2026-01-06 05:34:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,95.00,7457.00
2026-01-06 05:35:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:36:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:37:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:38:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:39:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:40:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:41:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:42:00,,,,,,0.4900,0.00,7457.00
2026-01-06 05:43:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,20.00,7457.00
2026-01-06 05:44:00,0.4800,0.4800,0.4900,0.4900,0.4834,0.4800,199.00,7524.00
2026-01-06 05:45:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:46:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:47:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:48:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:49:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:50:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:51:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:52:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:53:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:54:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:55:00,,,,,,0.4900,0.00,7524.00
2026-01-06 05:56:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,24.00,7524.00
2026-01-06 05:57:00,,,,,,0.4800,0.00,7524.00
2026-01-06 05:58:00,,,,,,0.4800,0.00,7524.00
2026-01-06 05:59:00,,,,,,0.4800,0.00,7524.00
2026-01-06 06:00:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,11.00,7524.00
2026-01-06 06:01:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,5.00,7524.00
2026-01-06 06:02:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:03:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:04:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:05:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:06:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:07:00,,,,,,0.4700,0.00,7524.00
2026-01-06 06:08:00,0.4500,0.4500,0.4700,0.4700,0.4598,0.4700,47.00,7524.00
2026-01-06 06:09:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,260.00,7636.00
2026-01-06 06:10:00,,,,,,0.4700,0.00,7636.00
2026-01-06 06:11:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,19.00,7655.00
2026-01-06 06:12:00,,,,,,0.4700,0.00,7655.00
2026-01-06 06:13:00,,,,,,0.4700,0.00,7655.00
2026-01-06 06:14:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,24.00,7679.00
2026-01-06 06:15:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,41.00,7720.00
2026-01-06 06:16:00,,,,,,0.4700,0.00,7720.00
2026-01-06 06:17:00,,,,,,0.4700,0.00,7720.00
2026-01-06 06:18:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,656.00,8376.00
2026-01-06 06:19:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,3.00,8379.00
2026-01-06 06:20:00,0.4700,0.4600,0.4700,0.4600,0.4633,0.4700,389.00,8707.00
2026-01-06 06:21:00,0.4600,0.4600,0.4700,0.4700,0.4602,0.4600,904.00,9476.00
2026-01-06 06:22:00,0.4600,0.4500,0.4700,0.4600,0.4540,0.4700,335.00,9811.00
2026-01-06 06:23:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,31.00,9842.00
