end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-06 15:37:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,43.00,4953.00
2026-01-06 15:38:00,,,,,,0.6800,0.00,4953.00
2026-01-06 15:39:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,2.00,4955.00
2026-01-06 15:40:00,,,,,,0.6800,0.00,4955.00
2026-01-06 15:41:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,656.00,5611.00
2026-01-06 15:42:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,28.00,5639.00
2026-01-06 15:43:00,,,,,,0.6800,0.00,5639.00
2026-01-06 15:44:00,,,,,,0.6800,0.00,5639.00
2026-01-06 15:45:00,,,,,,0.6800,0.00,5639.00
2026-01-06 15:46:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,35.00,5674.00
2026-01-06 15:47:00,,,,,,0.6800,0.00,5674.00
2026-01-06 15:49:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,5684.00
2026-01-06 15:50:00,,,,,,0.6800,0.00,5684.00
2026-01-06 15:51:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,1.00,5685.00
2026-01-06 15:53:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,20.00,5705.00
2026-01-06 15:54:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,121.00,5826.00
2026-01-06 15:55:00,,,,,,0.6800,0.00,5826.00
2026-01-06 15:56:00,,,,,,0.6800,0.00,5826.00
2026-01-06 15:58:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,373.00,6199.00
2026-01-06 15:59:00,,,,,,0.6800,0.00,6199.00
2026-01-06 16:00:00,,,,,,0.6800,0.00,6199.00
2026-01-06 16:01:00,,,,,,0.6800,0.00,6199.00
2026-01-06 16:02:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,6270.00
2026-01-06 16:03:00,,,,,,0.6800,0.00,6270.00
2026-01-06 16:04:00,,,,,,0.6800,0.00,6270.00
2026-01-06 16:05:00,,,,,,0.6800,0.00,6270.00
2026-01-06 16:06:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,35.00,6305.00
2026-01-06 16:08:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,71.00,6376.00
2026-01-06 16:09:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,8.00,6384.00
2026-01-06 16:10:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,32.00,6416.00
2026-01-06 16:11:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,10.00,6426.00
2026-01-06 16:12:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,104.00,6530.00
2026-01-06 16:13:00,,,,,,0.6800,0.00,6530.00
2026-01-06 16:14:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,135.00,6665.00
2026-01-06 16:15:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,174.00,6839.00
2026-01-06 16:16:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,7.00,6846.00
2026-01-06 16:17:00,,,,,,0.6800,0.00,6846.00
2026-01-06 16:18:00,,,,,,0.6800,0.00,6846.00
2026-01-06 16:20:00,,,,,,0.6800,0.00,6846.00
2026-01-06 16:21:00,,,,,,0.6800,0.00,6846.00
2026-01-06 16:22:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,711.00,7557.00
2026-01-06 16:23:00,,,,,,0.6800,0.00,7557.00
2026-01-06 16:25:00,,,,,,0.6800,0.00,7557.00
2026-01-06 16:26:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,59.00,7616.00
2026-01-06 16:27:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,35.00,7651.00
