end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-09 22:32:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:33:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:34:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:35:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:36:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:37:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:38:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:39:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:40:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:41:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:42:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:43:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:44:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:45:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:46:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:47:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:48:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:49:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:50:00,,,,,,0.6500,0.00,11285.00
2026-01-09 22:51:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6500,352.00,11637.00
2026-01-09 22:52:00,,,,,,0.6400,0.00,11637.00
2026-01-09 22:53:00,,,,,,0.6400,0.00,11637.00
2026-01-09 22:54:00,,,,,,0.6400,0.00,11637.00
2026-01-09 22:55:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6400,7.00,11644.00
2026-01-09 22:56:00,,,,,,0.6400,0.00,11644.00
2026-01-09 22:57:00,,,,,,0.6400,0.00,11644.00
2026-01-09 22:58:00,,,,,,0.6400,0.00,11644.00
2026-01-09 22:59:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6400,3.00,11647.00
2026-01-09 23:00:00,,,,,,0.6500,0.00,11647.00
2026-01-09 23:01:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,3.00,11650.00
2026-01-09 23:02:00,0.6500,0.6500,0.6600,0.6600,0.6524,0.6500,2243.00,13893.00
2026-01-09 23:03:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:04:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:05:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:06:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:07:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:08:00,,,,,,0.6600,0.00,13893.00
2026-01-09 23:09:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,5.00,13898.00
2026-01-09 23:10:00,,,,,,0.6600,0.00,13898.00
2026-01-09 23:11:00,,,,,,0.6600,0.00,13898.00
2026-01-09 23:12:00,0.6500,0.6300,0.6500,0.6300,0.6321,0.6600,711.00,13973.00
2026-01-09 23:13:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6300,14.00,13987.00
2026-01-09 23:14:00,,,,,,0.6500,0.00,13987.00
2026-01-09 23:15:00,0.6500,0.6500,0.6600,0.6600,0.6540,0.6500,3503.00,17490.00
2026-01-09 23:16:00,,,,,,0.6600,0.00,17490.00
2026-01-09 23:17:00,,,,,,0.6600,0.00,17490.00
2026-01-09 23:18:00,,,,,,0.6600,0.00,17490.00
2026-01-09 23:19:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,38.00,17528.00
2026-01-09 23:20:00,,,,,,0.6600,0.00,17528.00
2026-01-09 23:21:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,740.00,18268.00
2026-01-09 23:22:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:23:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:24:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:25:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:26:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:27:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:28:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:29:00,,,,,,0.6600,0.00,18268.00
2026-01-09 23:30:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6600,75.00,18343.00
2026-01-09 23:31:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,34.00,18377.00
2026-01-09 23:32:00,,,,,,0.6500,0.00,18377.00
2026-01-09 23:33:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,75.00,18452.00
2026-01-09 23:34:00,,,,,,0.6500,0.00,18452.00
2026-01-09 23:35:00,,,,,,0.6500,0.00,18452.00
2026-01-09 23:36:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,377.00,18829.00
2026-01-09 23:37:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,17.00,18846.00
2026-01-09 23:38:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,67.00,18913.00
2026-01-09 23:39:00,,,,,,0.6500,0.00,18913.00
2026-01-09 23:40:00,0.6500,0.6500,0.7600,0.7300,0.6919,0.6500,1161.00,20074.00
2026-01-09 23:41:00,0.6800,0.6400,0.6900,0.6900,0.6766,0.7300,145.00,20219.00
2026-01-09 23:42:00,0.6600,0.6600,0.7400,0.7200,0.6805,0.6900,239.00,20457.00
2026-01-09 23:43:00,,,,,,0.7200,0.00,20457.00
2026-01-09 23:44:00,,,,,,0.7200,0.00,20457.00
2026-01-09 23:45:00,0.6500,0.6100,0.6500,0.6100,0.6379,0.7200,367.00,20824.00
2026-01-09 23:46:00,0.5300,0.5300,0.5500,0.5500,0.5471,0.6100,643.00,21417.00
2026-01-09 23:47:00,0.5400,0.5200,0.5600,0.5200,0.5415,0.5500,1215.00,22632.00
2026-01-09 23:48:00,0.5000,0.5000,0.5000,0.5000,0.5000,0.5200,430.00,23062.00
2026-01-09 23:49:00,0.4700,0.4300,0.4800,0.4600,0.4614,0.5000,1265.00,23740.00
2026-01-09 23:50:00,0.4900,0.4200,0.6600,0.5000,0.4635,0.4600,3929.00,25621.00
2026-01-09 23:51:00,0.4400,0.4300,0.4400,0.4300,0.4326,0.5000,192.00,25813.00
2026-01-09 23:52:00,0.4300,0.4100,0.4800,0.4200,0.4244,0.4300,4121.00,29892.00
2026-01-09 23:53:00,0.4500,0.4200,0.5300,0.4200,0.4554,0.4200,1117.00,30795.00
2026-01-09 23:54:00,0.4500,0.3500,0.5100,0.3500,0.4214,0.4200,2352.00,33095.00
2026-01-09 23:55:00,0.3700,0.3600,0.3800,0.3600,0.3733,0.3500,4296.00,37391.00
2026-01-09 23:56:00,0.3500,0.3500,0.3700,0.3600,0.3561,0.3600,444.00,37314.00
2026-01-09 23:57:00,0.3600,0.3200,0.3600,0.3400,0.3485,0.3600,453.00,37724.00
2026-01-09 23:58:00,0.3500,0.3000,0.3900,0.3200,0.3168,0.3400,720.00,37885.00
2026-01-09 23:59:00,0.3000,0.2800,0.3200,0.2900,0.2979,0.3200,401.00,37887.00
2026-01-10 00:00:00,0.3000,0.3000,0.3200,0.3200,0.3180,0.2900,674.00,38561.00
2026-01-10 00:01:00,0.3200,0.3100,0.3400,0.3100,0.3204,0.3200,764.00,39157.00
2026-01-10 00:02:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3100,702.00,39727.00
