end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-25 17:11:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3900,603.00,79402.00
2026-01-25 17:12:00,,,,,,0.4000,0.00,79402.00
2026-01-25 17:13:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,400.00,79402.00
2026-01-25 17:16:00,,,,,,0.3900,0.00,79402.00
2026-01-25 17:19:00,,,,,,0.3900,0.00,79402.00
2026-01-25 17:20:00,,,,,,0.3900,0.00,79402.00
2026-01-25 17:21:00,,,,,,0.3900,0.00,79402.00
2026-01-25 17:22:00,,,,,,0.3900,0.00,79402.00
2026-01-25 17:23:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.3900,11.00,79413.00
2026-01-25 17:24:00,,,,,,0.4000,0.00,79413.00
2026-01-25 17:25:00,,,,,,0.4000,0.00,79413.00
2026-01-25 17:26:00,,,,,,0.4000,0.00,79413.00
2026-01-25 17:27:00,,,,,,0.4000,0.00,79413.00
2026-01-25 17:28:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,239.00,79652.00
2026-01-25 17:29:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,599.00,80251.00
2026-01-25 17:30:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,23.00,80274.00
2026-01-25 17:31:00,,,,,,0.4000,0.00,80274.00
2026-01-25 17:32:00,,,,,,0.4000,0.00,80274.00
2026-01-25 17:33:00,,,,,,0.4000,0.00,80274.00
2026-01-25 17:34:00,,,,,,0.4000,0.00,80274.00
2026-01-25 17:35:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,501.00,80775.00
2026-01-25 17:36:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,10.00,80785.00
2026-01-25 17:37:00,,,,,,0.4000,0.00,80785.00
2026-01-25 17:38:00,,,,,,0.4000,0.00,80785.00
2026-01-25 17:40:00,,,,,,0.4000,0.00,80785.00
2026-01-25 17:41:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,10.00,80795.00
2026-01-25 17:43:00,,,,,,0.4000,0.00,80795.00
2026-01-25 17:44:00,,,,,,0.4000,0.00,80795.00
2026-01-25 17:45:00,0.4000,0.4000,0.4000,0.4000,0.4000,0.4000,7.00,80802.00
2026-01-25 17:46:00,,,,,,0.4000,0.00,80802.00
2026-01-25 17:47:00,,,,,,0.4000,0.00,80802.00
2026-01-25 17:48:00,0.3900,0.3900,0.3900,0.3900,0.3900,0.4000,215.00,80802.00
2026-01-25 17:49:00,,,,,,0.3900,0.00,80802.00
2026-01-25 17:50:00,,,,,,0.3900,0.00,80802.00
2026-01-25 17:51:00,,,,,,0.3900,0.00,80802.00
2026-01-25 17:52:00,,,,,,0.3900,0.00,80802.00
