end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-01-27 19:21:00,,,,,,0.4600,0.00,140402.00
2026-01-27 19:22:00,,,,,,0.4600,0.00,140402.00
2026-01-27 19:23:00,0.4700,0.4600,0.4700,0.4700,0.4694,0.4600,239.00,140626.00
2026-01-27 19:24:00,,,,,,0.4700,0.00,140626.00
2026-01-27 19:25:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,153.00,140779.00
2026-01-27 19:26:00,,,,,,0.4700,0.00,140779.00
2026-01-27 19:27:00,,,,,,0.4700,0.00,140779.00
2026-01-27 19:28:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,962.00,141741.00
2026-01-27 19:30:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,2.00,141743.00
2026-01-27 19:31:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,642.00,142385.00
2026-01-27 19:32:00,,,,,,0.4600,0.00,142385.00
2026-01-27 19:33:00,,,,,,0.4600,0.00,142385.00
2026-01-27 19:35:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,38.00,142423.00
2026-01-27 19:36:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,20.00,142443.00
2026-01-27 19:37:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1260.00,143703.00
2026-01-27 19:39:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,6.00,143709.00
2026-01-27 19:40:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,7.00,143716.00
2026-01-27 19:41:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,104.00,143820.00
2026-01-27 19:42:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,214.00,144034.00
2026-01-27 19:43:00,,,,,,0.4600,0.00,144034.00
2026-01-27 19:44:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,108.00,144142.00
2026-01-27 19:45:00,0.4600,0.4500,0.4600,0.4500,0.4576,0.4600,41.00,144163.00
2026-01-27 19:46:00,,,,,,0.4500,0.00,144163.00
2026-01-27 19:47:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,208.00,144371.00
2026-01-27 19:48:00,,,,,,0.4600,0.00,144371.00
2026-01-27 19:49:00,0.4600,0.4500,0.4600,0.4500,0.4546,0.4600,152.00,144359.00
2026-01-27 19:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,104.00,144463.00
2026-01-27 19:51:00,,,,,,0.4600,0.00,144463.00
2026-01-27 19:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,400.00,144863.00
2026-01-27 19:53:00,,,,,,0.4600,0.00,144863.00
2026-01-27 19:54:00,,,,,,0.4600,0.00,144863.00
2026-01-27 19:55:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,51.00,144914.00
2026-01-27 19:56:00,,,,,,0.4600,0.00,144914.00
2026-01-27 19:57:00,,,,,,0.4600,0.00,144914.00
2026-01-27 19:58:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,52.00,144966.00
2026-01-27 19:59:00,,,,,,0.4600,0.00,144966.00
2026-01-27 20:00:00,,,,,,0.4600,0.00,144966.00
2026-01-27 20:01:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,34.00,145000.00
2026-01-27 20:03:00,,,,,,0.4600,0.00,145000.00
2026-01-27 20:04:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,35.00,145035.00
2026-01-27 20:05:00,,,,,,0.4600,0.00,145035.00
2026-01-27 20:06:00,,,,,,0.4600,0.00,145035.00
2026-01-27 20:07:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,62.00,145097.00
2026-01-27 20:08:00,,,,,,0.4600,0.00,145097.00
2026-01-27 20:09:00,,,,,,0.4600,0.00,145097.00
2026-01-27 20:11:00,,,,,,0.4600,0.00,145097.00
2026-01-27 20:12:00,,,,,,0.4600,0.00,145097.00
2026-01-27 20:13:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,390.00,145487.00
2026-01-27 20:14:00,,,,,,0.4600,0.00,145487.00
2026-01-27 20:15:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,563.00,146050.00
2026-01-27 20:16:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,50.00,146100.00
