end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-02 15:57:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,8.00,2524.00
2026-03-02 15:59:00,,,,,,0.6000,0.00,2524.00
2026-03-02 16:09:00,,,,,,0.6000,0.00,2524.00
2026-03-02 16:10:00,,,,,,0.6000,0.00,2524.00
2026-03-02 16:19:00,,,,,,0.6000,0.00,2524.00
2026-03-02 16:20:00,,,,,,0.6000,0.00,2524.00
2026-03-02 16:21:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,343.00,2867.00
2026-03-02 16:22:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,161.00,3028.00
2026-03-02 16:23:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,6.00,3034.00
2026-03-02 16:24:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,16.00,3050.00
2026-03-02 16:27:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:28:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:29:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:31:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:39:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:41:00,,,,,,0.6000,0.00,3050.00
2026-03-02 16:48:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,95.00,3145.00
2026-03-02 16:49:00,,,,,,0.6100,0.00,3145.00
2026-03-02 16:50:00,,,,,,0.6100,0.00,3145.00
2026-03-02 16:51:00,,,,,,0.6100,0.00,3145.00
2026-03-02 16:53:00,,,,,,0.6100,0.00,3145.00
2026-03-02 16:54:00,,,,,,0.6100,0.00,3145.00
2026-03-02 16:56:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6100,32.00,3177.00
2026-03-02 17:00:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,80.00,3257.00
2026-03-02 17:01:00,,,,,,0.6000,0.00,3257.00
2026-03-02 17:02:00,,,,,,0.6000,0.00,3257.00
2026-03-02 17:04:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,378.00,3635.00
2026-03-02 17:06:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,8.00,3643.00
2026-03-02 17:07:00,0.5900,0.5900,0.6000,0.6000,0.5929,0.6000,1013.00,4656.00
2026-03-02 17:08:00,,,,,,0.6000,0.00,4656.00
2026-03-02 17:10:00,,,,,,0.6000,0.00,4656.00
2026-03-02 17:11:00,,,,,,0.6000,0.00,4656.00
2026-03-02 17:12:00,,,,,,0.6000,0.00,4656.00
2026-03-02 17:14:00,0.5900,0.5900,0.5900,0.5900,0.5900,0.6000,24.00,4680.00
2026-03-02 17:19:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.5900,20.00,4700.00
2026-03-02 17:20:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,158.00,4858.00
2026-03-02 17:21:00,,,,,,0.6000,0.00,4858.00
2026-03-02 17:22:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,4859.00
2026-03-02 17:23:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,12.00,4871.00
2026-03-02 17:24:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,1.00,4872.00
2026-03-02 17:25:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,12.00,4884.00
2026-03-02 17:27:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,129.00,5013.00
2026-03-02 17:28:00,,,,,,0.6000,0.00,5013.00
2026-03-02 17:31:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,32.00,5045.00
2026-03-02 17:32:00,0.6000,0.6000,0.6000,0.6000,0.6000,0.6000,58.00,5103.00
2026-03-02 17:33:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:34:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:35:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:36:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:37:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:38:00,,,,,,0.6000,0.00,5103.00
2026-03-02 17:39:00,0.6100,0.6100,0.6100,0.6100,0.6100,0.6000,10.00,5113.00
2026-03-02 17:40:00,0.6000,0.6000,0.6100,0.6100,0.6090,0.6100,479.00,5159.00
2026-03-02 17:41:00,0.6600,0.6600,0.6700,0.6700,0.6668,0.6100,74.00,5233.00
2026-03-02 17:42:00,,,,,,0.6700,0.00,5233.00
2026-03-02 17:43:00,0.6500,0.6500,0.6700,0.6500,0.6523,0.6700,432.00,5665.00
2026-03-02 17:44:00,0.6700,0.6100,0.6700,0.6300,0.6295,0.6500,42.00,5687.00
2026-03-02 17:45:00,0.6400,0.6400,0.6800,0.6800,0.6743,0.6300,49.00,5736.00
2026-03-02 17:46:00,0.7000,0.6400,0.7000,0.7000,0.6921,0.6800,2579.00,8315.00
2026-03-02 17:47:00,0.7100,0.7000,0.7400,0.7300,0.7282,0.7000,398.00,8688.00
2026-03-02 17:48:00,0.6800,0.6500,0.6900,0.6500,0.6804,0.7300,95.00,8783.00
2026-03-02 17:49:00,0.6700,0.6700,0.7000,0.7000,0.6734,0.6500,950.00,9613.00
2026-03-02 17:50:00,0.6900,0.6200,0.6900,0.6200,0.6380,0.7000,408.00,10021.00
2026-03-02 17:51:00,0.6300,0.6300,0.6700,0.6700,0.6411,0.6200,2954.00,11496.00
2026-03-02 17:52:00,0.6700,0.6500,0.6700,0.6600,0.6606,0.6700,133.00,11629.00
2026-03-02 17:53:00,0.6600,0.6600,0.6800,0.6800,0.6602,0.6600,1493.00,13122.00
2026-03-02 17:54:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,64.00,13186.00
2026-03-02 17:55:00,0.6900,0.6900,0.7200,0.7200,0.7081,0.6800,209.00,13302.00
2026-03-02 17:56:00,0.7300,0.7100,0.7500,0.7100,0.7311,0.7200,2010.00,14018.00
2026-03-02 17:57:00,0.6900,0.6900,0.7700,0.7700,0.7411,0.7100,8352.00,21245.00
2026-03-02 17:58:00,0.7700,0.7700,0.8100,0.8100,0.7812,0.7700,706.00,21942.00
2026-03-02 17:59:00,0.8100,0.7600,0.8200,0.7700,0.7904,0.8100,5378.00,26282.00
2026-03-02 18:00:00,0.7400,0.7400,0.7800,0.7400,0.7401,0.7700,5362.00,28241.00
2026-03-02 18:01:00,0.7200,0.7200,0.7700,0.7600,0.7532,0.7400,562.00,28524.00
2026-03-02 18:02:00,0.7800,0.7200,0.7800,0.7600,0.7514,0.7600,221.00,28708.00
2026-03-02 18:03:00,0.7500,0.7100,0.7500,0.7500,0.7121,0.7600,548.00,28723.00
2026-03-02 18:04:00,0.6800,0.6500,0.6800,0.6600,0.6573,0.7500,672.00,28633.00
2026-03-02 18:05:00,0.6700,0.6600,0.6800,0.6800,0.6633,0.6600,250.00,28638.00
2026-03-02 18:06:00,0.6400,0.6400,0.6400,0.6400,0.6400,0.6800,205.00,28801.00
2026-03-02 18:07:00,0.5900,0.5800,0.6100,0.6100,0.5883,0.6400,69.00,28811.00
2026-03-02 18:08:00,0.6100,0.6100,0.6400,0.6400,0.6144,0.6100,308.00,29118.00
2026-03-02 18:09:00,0.6700,0.6700,0.7000,0.7000,0.6704,0.6400,1511.00,30564.00
2026-03-02 18:10:00,0.6900,0.6800,0.7200,0.6800,0.6863,0.7000,207.00,30671.00
2026-03-02 18:11:00,0.6400,0.5800,0.6700,0.5800,0.6341,0.6800,66.00,30725.00
2026-03-02 18:12:00,0.6200,0.5600,0.6300,0.6100,0.5857,0.5800,981.00,31606.00
2026-03-02 18:13:00,0.6100,0.6000,0.6500,0.6500,0.6106,0.6100,438.00,32026.00
2026-03-02 18:14:00,0.6600,0.6600,0.6800,0.6800,0.6798,0.6500,1476.00,33470.00
2026-03-02 18:15:00,0.6900,0.6800,0.6900,0.6800,0.6893,0.6800,623.00,34093.00
2026-03-02 18:16:00,0.6700,0.6600,0.6700,0.6600,0.6653,0.6800,108.00,34201.00
2026-03-02 18:17:00,0.6900,0.6900,0.7500,0.7500,0.7179,0.6600,190.00,34391.00
2026-03-02 18:18:00,0.7700,0.6500,0.7700,0.6500,0.6757,0.7500,336.00,34727.00
2026-03-02 18:19:00,0.6500,0.6500,0.7400,0.7200,0.6934,0.6500,253.00,34980.00
2026-03-02 18:20:00,0.7200,0.6200,0.7400,0.6700,0.6539,0.7200,1175.00,36093.00
2026-03-02 18:21:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.6700,33.00,36060.00
2026-03-02 18:22:00,0.5700,0.5100,0.5900,0.5900,0.5743,0.5500,2107.00,37716.00
2026-03-02 18:23:00,0.5300,0.5300,0.6200,0.6200,0.6078,0.5900,843.00,38557.00
2026-03-02 18:24:00,0.6500,0.6500,0.7200,0.6500,0.6620,0.6200,697.00,38729.00
2026-03-02 18:25:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6500,4.00,38728.00
2026-03-02 18:26:00,0.7500,0.6900,0.8600,0.8600,0.7824,0.6900,1290.00,40016.00
2026-03-02 18:27:00,0.7200,0.6100,0.7200,0.6100,0.6317,0.8600,118.00,39910.00
2026-03-02 18:28:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.6100,200.00,40110.00
2026-03-02 18:29:00,0.7000,0.6400,0.7400,0.7400,0.6796,0.7000,674.00,40574.00
2026-03-02 18:30:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.7400,28.00,40596.00
2026-03-02 18:31:00,0.6200,0.6000,0.6500,0.6200,0.6186,0.6500,1643.00,40432.00
2026-03-02 18:32:00,0.6300,0.5400,0.6600,0.5500,0.5568,0.6200,804.00,41234.00
2026-03-02 18:33:00,0.5500,0.4900,0.5500,0.5000,0.5034,0.5500,5760.00,43430.00
2026-03-02 18:34:00,0.4800,0.4000,0.4800,0.4800,0.4212,0.5000,1840.00,42571.00
2026-03-02 18:35:00,0.4700,0.3700,0.4700,0.3900,0.3862,0.4800,910.00,43099.00
2026-03-02 18:36:00,0.3800,0.3500,0.4400,0.3500,0.3826,0.3900,1485.00,43145.00
2026-03-02 18:37:00,0.3700,0.3200,0.3900,0.3400,0.3444,0.3500,1035.00,44124.00
2026-03-02 18:38:00,0.3200,0.2100,0.3200,0.2800,0.2766,0.3400,6806.00,43086.00
2026-03-02 18:39:00,0.2800,0.2700,0.3000,0.2700,0.2784,0.2800,2793.00,43799.00
2026-03-02 18:40:00,0.2800,0.2600,0.2800,0.2800,0.2731,0.2700,8344.00,51254.00
2026-03-02 18:41:00,0.2800,0.2800,0.3000,0.3000,0.2901,0.2800,10569.00,61823.00
2026-03-02 18:42:00,0.3000,0.2900,0.3100,0.3100,0.3064,0.3000,8468.00,70241.00
2026-03-02 18:43:00,0.3000,0.2800,0.3100,0.3100,0.3082,0.3100,3330.00,73429.00
2026-03-02 18:44:00,0.3100,0.2900,0.3300,0.3200,0.3179,0.3100,16609.00,89981.00
2026-03-02 18:45:00,0.3200,0.3000,0.3300,0.3000,0.3233,0.3200,2053.00,91878.00
2026-03-02 18:46:00,0.3000,0.2900,0.3100,0.3000,0.2944,0.3000,2287.00,94165.00
2026-03-02 18:47:00,0.3000,0.2800,0.3300,0.3300,0.3257,0.3000,4443.00,98571.00
2026-03-02 18:48:00,0.3300,0.3000,0.4100,0.3300,0.3657,0.3300,16758.00,112675.00
2026-03-02 18:49:00,0.3200,0.3200,0.3700,0.3400,0.3515,0.3300,2608.00,115280.00
2026-03-02 18:50:00,0.3500,0.2000,0.3500,0.2500,0.2950,0.3400,4140.00,116659.00
2026-03-02 18:51:00,0.2300,0.1600,0.2500,0.1900,0.1787,0.2500,7000.00,116775.00
2026-03-02 18:52:00,0.1800,0.1200,0.2000,0.2000,0.1770,0.1900,11898.00,122217.00
2026-03-02 18:53:00,0.2000,0.1300,0.2600,0.1300,0.1844,0.2000,4941.00,123723.00
2026-03-02 18:54:00,0.1300,0.1100,0.1600,0.1200,0.1324,0.1300,4367.00,124128.00
2026-03-02 18:55:00,0.1200,0.0900,0.1300,0.0900,0.1168,0.1200,9082.00,126183.00
2026-03-02 18:56:00,0.1100,0.0500,0.1100,0.0800,0.0834,0.0900,28525.00,144726.00
2026-03-02 18:57:00,0.0800,0.0700,0.1200,0.1200,0.0857,0.0800,5114.00,144003.00
2026-03-02 18:58:00,0.1100,0.0700,0.1400,0.0700,0.1051,0.1200,3613.00,145069.00
2026-03-02 18:59:00,0.0700,0.0400,0.0700,0.0400,0.0507,0.0700,18372.00,145766.00
2026-03-02 19:00:00,0.0500,0.0300,0.0600,0.0400,0.0440,0.0400,13808.00,149805.00
2026-03-02 19:01:00,0.0400,0.0200,0.0500,0.0300,0.0268,0.0400,12379.00,160663.00
2026-03-02 19:02:00,0.0200,0.0200,0.0300,0.0300,0.0296,0.0300,13327.00,171099.00
2026-03-02 19:03:00,0.0200,0.0200,0.0400,0.0400,0.0391,0.0300,10958.00,181225.00
2026-03-02 19:04:00,0.0400,0.0200,0.0800,0.0800,0.0598,0.0400,6813.00,185203.00
2026-03-02 19:05:00,0.0800,0.0700,0.1400,0.1200,0.1117,0.0800,20301.00,197126.00
2026-03-02 19:06:00,0.1200,0.1100,0.1500,0.1400,0.1243,0.1200,2722.00,198768.00
2026-03-02 19:07:00,0.1300,0.1300,0.1800,0.1800,0.1690,0.1400,4732.00,200407.00
2026-03-02 19:08:00,0.1800,0.1700,0.1900,0.1800,0.1832,0.1800,4876.00,199275.00
2026-03-02 19:09:00,0.1800,0.1400,0.1900,0.1400,0.1543,0.1800,1734.00,198861.00
2026-03-02 19:10:00,0.1700,0.1300,0.1700,0.1500,0.1371,0.1400,25835.00,224351.00
