end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 15:41:00,,,,,,0.3100,0.00,2526.00
2026-03-03 15:55:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3100,73.00,2599.00
2026-03-03 16:05:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,5.00,2604.00
2026-03-03 16:20:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,23.00,2627.00
2026-03-03 16:21:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:30:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:31:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:32:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:33:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:38:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:39:00,,,,,,0.3200,0.00,2627.00
2026-03-03 16:44:00,0.3100,0.3100,0.3100,0.3100,0.3100,0.3200,640.00,3267.00
2026-03-03 16:45:00,0.2900,0.2900,0.2900,0.2900,0.2900,0.3100,2443.00,5645.00
2026-03-03 16:46:00,,,,,,0.2900,0.00,5645.00
2026-03-03 16:47:00,,,,,,0.2900,0.00,5645.00
2026-03-03 16:48:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2900,10.00,5655.00
2026-03-03 16:49:00,,,,,,0.3000,0.00,5655.00
2026-03-03 16:50:00,,,,,,0.3000,0.00,5655.00
2026-03-03 16:51:00,,,,,,0.3000,0.00,5655.00
2026-03-03 16:52:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3000,5.00,5660.00
2026-03-03 16:53:00,0.3000,0.2800,0.3000,0.2800,0.2864,0.3000,503.00,6163.00
2026-03-03 16:54:00,,,,,,0.2800,0.00,6163.00
2026-03-03 16:55:00,,,,,,0.2800,0.00,6163.00
2026-03-03 16:56:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.2800,15.00,6178.00
2026-03-03 16:57:00,,,,,,0.3000,0.00,6178.00
2026-03-03 16:58:00,,,,,,0.3000,0.00,6178.00
2026-03-03 16:59:00,0.3000,0.3000,0.3100,0.3100,0.3095,0.3000,442.00,6580.00
2026-03-03 17:00:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:01:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:02:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:04:00,0.3000,0.3000,0.3000,0.3000,0.3000,0.3100,276.00,6580.00
2026-03-03 17:05:00,0.3100,0.3100,0.3200,0.3200,0.3121,0.3000,380.00,6580.00
2026-03-03 17:07:00,,,,,,0.3200,0.00,6580.00
2026-03-03 17:10:00,,,,,,0.3200,0.00,6580.00
2026-03-03 17:12:00,0.3200,0.3100,0.3200,0.3100,0.3150,0.3200,8.00,6580.00
2026-03-03 17:13:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:14:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:15:00,,,,,,0.3100,0.00,6580.00
2026-03-03 17:16:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3100,367.00,6599.00
2026-03-03 17:17:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,1555.00,7667.00
2026-03-03 17:18:00,0.3200,0.3200,0.3300,0.3200,0.3202,0.3200,13647.00,20419.00
2026-03-03 17:19:00,0.3200,0.3200,0.3300,0.3200,0.3200,0.3200,34607.00,55016.00
2026-03-03 17:20:00,0.3200,0.3200,0.3200,0.3200,0.3200,0.3200,125.00,55141.00
2026-03-03 17:21:00,0.3000,0.3000,0.3200,0.3100,0.3117,0.3200,583.00,55583.00
2026-03-03 17:22:00,0.3200,0.2900,0.3200,0.2900,0.3184,0.3100,1551.00,57114.00
2026-03-03 17:23:00,0.3000,0.2800,0.3300,0.3300,0.3119,0.2900,257.00,57316.00
2026-03-03 17:24:00,0.3300,0.3300,0.3700,0.3700,0.3485,0.3300,2899.00,58988.00
2026-03-03 17:25:00,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,1.00,58988.00
2026-03-03 17:26:00,0.3800,0.3400,0.3800,0.3700,0.3748,0.3700,1026.00,60014.00
2026-03-03 17:27:00,0.3600,0.2600,0.3700,0.3000,0.3459,0.3700,4469.00,63604.00
2026-03-03 17:28:00,0.2800,0.2500,0.2800,0.2500,0.2518,0.3000,374.00,63973.00
2026-03-03 17:29:00,0.2500,0.2500,0.2600,0.2600,0.2575,0.2500,2214.00,66099.00
2026-03-03 17:30:00,0.2600,0.1900,0.2600,0.1900,0.2046,0.2600,1464.00,67526.00
2026-03-03 17:31:00,0.1800,0.1800,0.1900,0.1900,0.1807,0.1900,54.00,67480.00
2026-03-03 17:32:00,0.1800,0.1800,0.1900,0.1900,0.1819,0.1900,5528.00,67459.00
2026-03-03 17:33:00,0.1900,0.1900,0.1900,0.1900,0.1900,0.1900,2126.00,69585.00
2026-03-03 17:34:00,0.1800,0.1800,0.2300,0.2300,0.1991,0.1900,1352.00,70266.00
2026-03-03 17:35:00,0.2300,0.2200,0.2800,0.2800,0.2696,0.2300,869.00,70990.00
2026-03-03 17:36:00,0.2600,0.2500,0.2800,0.2800,0.2538,0.2800,545.00,71535.00
2026-03-03 17:37:00,0.2800,0.2800,0.3500,0.3500,0.2990,0.2800,1203.00,72681.00
2026-03-03 17:38:00,0.3500,0.3400,0.3500,0.3500,0.3488,0.3500,407.00,72994.00
2026-03-03 17:39:00,0.3500,0.3500,0.3600,0.3600,0.3518,0.3500,642.00,73636.00
2026-03-03 17:40:00,0.3200,0.3100,0.3200,0.3100,0.3102,0.3600,628.00,74238.00
2026-03-03 17:41:00,0.3100,0.3100,0.3200,0.3100,0.3114,0.3100,69.00,74307.00
2026-03-03 17:42:00,0.3100,0.3100,0.3400,0.3100,0.3105,0.3100,4728.00,79002.00
2026-03-03 17:43:00,0.3100,0.3100,0.3400,0.3400,0.3149,0.3100,257.00,79253.00
2026-03-03 17:44:00,0.3400,0.3400,0.3700,0.3700,0.3454,0.3400,106.00,79272.00
2026-03-03 17:45:00,0.3700,0.3200,0.3700,0.3200,0.3461,0.3700,814.00,80066.00
2026-03-03 17:46:00,0.3300,0.3100,0.3700,0.3600,0.3503,0.3200,152.00,80154.00
2026-03-03 17:47:00,0.3600,0.3400,0.3600,0.3600,0.3523,0.3600,4228.00,81128.00
2026-03-03 17:48:00,0.3700,0.3700,0.4200,0.4200,0.3984,0.3600,477.00,81605.00
2026-03-03 17:49:00,0.3700,0.3400,0.3900,0.3400,0.3667,0.4200,2158.00,83718.00
2026-03-03 17:50:00,0.3200,0.2900,0.3200,0.3000,0.3084,0.3400,275.00,83974.00
2026-03-03 17:51:00,0.3000,0.2900,0.3400,0.3000,0.3082,0.3000,1489.00,85463.00
2026-03-03 17:52:00,0.2900,0.2800,0.3300,0.3300,0.3212,0.3000,916.00,85820.00
2026-03-03 17:53:00,0.3600,0.3600,0.3800,0.3800,0.3733,0.3300,515.00,86335.00
2026-03-03 17:54:00,0.3900,0.3800,0.3900,0.3900,0.3899,0.3800,11440.00,97563.00
2026-03-03 17:55:00,0.3900,0.3500,0.4000,0.4000,0.3683,0.3900,3011.00,100574.00
2026-03-03 17:56:00,0.4000,0.3900,0.4500,0.3900,0.4405,0.4000,1208.00,101782.00
2026-03-03 17:57:00,0.3600,0.3300,0.3600,0.3300,0.3576,0.3900,173.00,101955.00
2026-03-03 17:58:00,0.3000,0.3000,0.3100,0.3000,0.3027,0.3300,3059.00,105014.00
