end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-03 11:07:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,43.00,6109.00
2026-03-03 11:23:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,30.00,6139.00
2026-03-03 11:24:00,,,,,,0.5500,0.00,6139.00
2026-03-03 11:31:00,,,,,,0.5500,0.00,6139.00
2026-03-03 11:34:00,0.5400,0.5400,0.5400,0.5400,0.5400,0.5500,20.00,6159.00
2026-03-03 11:35:00,,,,,,0.5400,0.00,6159.00
2026-03-03 11:36:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5400,51.00,6210.00
2026-03-03 11:38:00,,,,,,0.5500,0.00,6210.00
2026-03-03 11:45:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,366.00,6576.00
2026-03-03 11:47:00,,,,,,0.5500,0.00,6576.00
2026-03-03 11:48:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,6593.00
2026-03-03 11:51:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,50.00,6643.00
2026-03-03 11:56:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,17.00,6660.00
2026-03-03 11:57:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,13.00,6673.00
2026-03-03 12:05:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,176.00,6849.00
2026-03-03 12:08:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,100.00,6949.00
2026-03-03 12:13:00,,,,,,0.5500,0.00,6949.00
2026-03-03 12:17:00,,,,,,0.5500,0.00,6949.00
2026-03-03 12:19:00,,,,,,0.5500,0.00,6949.00
2026-03-03 12:21:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,100.00,7049.00
2026-03-03 12:22:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,621.00,7670.00
2026-03-03 12:23:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:24:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:25:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:26:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:27:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:28:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:29:00,,,,,,0.5500,0.00,7670.00
2026-03-03 12:31:00,0.5500,0.5500,0.5500,0.5500,0.5500,0.5500,119.00,7789.00
2026-03-03 12:32:00,,,,,,0.5500,0.00,7789.00
2026-03-03 12:33:00,,,,,,0.5500,0.00,7789.00
2026-03-03 12:34:00,,,,,,0.5500,0.00,7789.00
