end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-04 13:39:00,,,,,,0.5200,0.00,1292.00
2026-03-04 13:41:00,,,,,,0.5200,0.00,1292.00
2026-03-04 13:47:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,15.00,1307.00
2026-03-04 13:56:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,462.00,1769.00
2026-03-04 14:00:00,,,,,,0.5200,0.00,1769.00
2026-03-04 14:01:00,,,,,,0.5200,0.00,1769.00
2026-03-04 14:02:00,,,,,,0.5200,0.00,1769.00
2026-03-04 14:08:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,3.00,1772.00
2026-03-04 14:13:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,10.00,1782.00
2026-03-04 14:16:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,31.00,1813.00
2026-03-04 14:25:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,465.00,2278.00
2026-03-04 14:26:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,930.00,3208.00
2026-03-04 14:40:00,,,,,,0.5200,0.00,3208.00
2026-03-04 14:43:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,25.00,3233.00
2026-03-04 14:46:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,14.00,3247.00
2026-03-04 14:48:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,27.00,3274.00
2026-03-04 14:49:00,,,,,,0.5200,0.00,3274.00
2026-03-04 14:54:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,36.00,3310.00
2026-03-04 14:55:00,,,,,,0.5200,0.00,3310.00
2026-03-04 14:59:00,0.5100,0.5100,0.5100,0.5100,0.5100,0.5200,1000.00,4310.00
2026-03-04 15:00:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5100,28.00,4338.00
2026-03-04 15:01:00,,,,,,0.5200,0.00,4338.00
2026-03-04 15:02:00,,,,,,0.5200,0.00,4338.00
2026-03-04 15:03:00,,,,,,0.5200,0.00,4338.00
2026-03-04 15:05:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,30.00,4368.00
2026-03-04 15:06:00,,,,,,0.5200,0.00,4368.00
2026-03-04 15:07:00,0.5200,0.5200,0.5200,0.5200,0.5200,0.5200,2.00,4370.00
2026-03-04 15:08:00,,,,,,0.5200,0.00,4370.00
2026-03-04 15:09:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.5200,150.00,4520.00
2026-03-04 15:10:00,,,,,,0.4800,0.00,4520.00
2026-03-04 15:11:00,,,,,,0.4800,0.00,4520.00
2026-03-04 15:12:00,0.5500,0.5500,0.5700,0.5700,0.5624,0.4800,740.00,5260.00
2026-03-04 15:13:00,0.5700,0.5700,0.6100,0.6100,0.5706,0.5700,1476.00,6736.00
2026-03-04 15:14:00,0.6200,0.6200,0.6400,0.6400,0.6219,0.6100,560.00,7264.00
2026-03-04 15:15:00,0.6400,0.6400,0.7200,0.6600,0.6964,0.6400,8827.00,15731.00
2026-03-04 15:16:00,0.7200,0.7200,0.7500,0.7400,0.7400,0.6600,5800.00,15878.00
2026-03-04 15:17:00,0.7400,0.7100,0.7400,0.7400,0.7385,0.7400,1289.00,16538.00
2026-03-04 15:18:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.7400,16.00,16554.00
2026-03-04 15:19:00,0.7600,0.7600,0.7800,0.7800,0.7781,0.7600,293.00,16817.00
2026-03-04 15:20:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,12.00,16829.00
2026-03-04 15:21:00,,,,,,0.7800,0.00,16829.00
2026-03-04 15:22:00,,,,,,0.7800,0.00,16829.00
2026-03-04 15:23:00,0.7900,0.7900,0.8100,0.8100,0.7908,0.7800,318.00,17135.00
2026-03-04 15:24:00,,,,,,0.8100,0.00,17135.00
2026-03-04 15:25:00,0.7900,0.7900,0.7900,0.7900,0.7900,0.8100,12.00,17147.00
2026-03-04 15:26:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7900,100.00,17247.00
2026-03-04 15:27:00,0.7300,0.7300,0.7400,0.7400,0.7398,0.7700,50.00,17295.00
2026-03-04 15:28:00,,,,,,0.7400,0.00,17295.00
2026-03-04 15:29:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.7400,24.00,17319.00
2026-03-04 15:30:00,,,,,,0.8000,0.00,17319.00
2026-03-04 15:31:00,0.8000,0.8000,0.8000,0.8000,0.8000,0.8000,27.00,17292.00
2026-03-04 15:32:00,0.8100,0.8100,0.8300,0.8300,0.8184,0.8000,82.00,17374.00
2026-03-04 15:33:00,0.8300,0.8100,0.8300,0.8100,0.8152,0.8300,883.00,18016.00
2026-03-04 15:34:00,,,,,,0.8100,0.00,18016.00
2026-03-04 15:35:00,,,,,,0.8100,0.00,18016.00
2026-03-04 15:36:00,,,,,,0.8100,0.00,18016.00
2026-03-04 15:37:00,0.8300,0.8300,0.8300,0.8300,0.8300,0.8100,35.00,18051.00
2026-03-04 15:38:00,0.8100,0.7900,0.8100,0.7900,0.7908,0.8300,348.00,18399.00
2026-03-04 15:39:00,0.8200,0.8200,0.8200,0.8200,0.8200,0.7900,288.00,18657.00
2026-03-04 15:40:00,,,,,,0.8200,0.00,18657.00
2026-03-04 15:41:00,,,,,,0.8200,0.00,18657.00
2026-03-04 15:42:00,0.8500,0.8500,0.8600,0.8600,0.8534,0.8200,324.00,18942.00
2026-03-04 15:43:00,0.8600,0.8300,0.8600,0.8300,0.8599,0.8600,1005.00,19942.00
2026-03-04 15:44:00,0.8100,0.8100,0.8400,0.8400,0.8375,0.8300,93.00,20009.00
2026-03-04 15:45:00,0.8200,0.8100,0.8200,0.8100,0.8186,0.8400,86.00,20095.00
2026-03-04 15:46:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,188.00,20283.00
2026-03-04 15:47:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8100,6.00,20289.00
2026-03-04 15:48:00,0.8200,0.7900,0.8200,0.7900,0.7919,0.8100,32.00,20321.00
2026-03-04 15:49:00,0.7700,0.7600,0.7700,0.7600,0.7627,0.7900,44.00,20361.00
2026-03-04 15:50:00,0.7300,0.6900,0.7300,0.7000,0.7141,0.7600,2940.00,23172.00
2026-03-04 15:51:00,0.7100,0.7100,0.7600,0.7600,0.7197,0.7000,5246.00,26090.00
2026-03-04 15:52:00,0.7700,0.6500,0.7700,0.6500,0.7182,0.7600,479.00,26537.00
2026-03-04 15:53:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,909.00,26687.00
2026-03-04 15:54:00,0.6400,0.6400,0.6700,0.6700,0.6666,0.6500,1760.00,27144.00
2026-03-04 15:55:00,0.7000,0.7000,0.7500,0.7500,0.7250,0.6700,1090.00,28234.00
2026-03-04 15:56:00,0.7900,0.7900,0.8000,0.8000,0.7901,0.7500,973.00,29201.00
2026-03-04 15:57:00,0.8200,0.8000,0.8300,0.8300,0.8186,0.8000,184.00,29347.00
2026-03-04 15:58:00,0.8200,0.8200,0.8300,0.8300,0.8273,0.8300,108.00,29318.00
2026-03-04 15:59:00,0.8400,0.8200,0.8600,0.8200,0.8317,0.8300,1535.00,29681.00
2026-03-04 16:00:00,0.8300,0.7900,0.8300,0.7900,0.7952,0.8200,77.00,29758.00
2026-03-04 16:01:00,0.8000,0.7800,0.8000,0.7800,0.7815,0.7900,3034.00,32767.00
2026-03-04 16:02:00,0.8100,0.8100,0.8500,0.8500,0.8101,0.7800,803.00,33570.00
2026-03-04 16:03:00,0.8100,0.8100,0.8100,0.8100,0.8100,0.8500,74.00,33644.00
2026-03-04 16:04:00,0.7800,0.7400,0.7800,0.7400,0.7719,0.8100,427.00,33844.00
2026-03-04 16:05:00,0.7900,0.7700,0.8500,0.8400,0.8258,0.7400,357.00,34092.00
2026-03-04 16:06:00,,,,,,0.8400,0.00,34092.00
2026-03-04 16:07:00,0.7600,0.7600,0.7600,0.7600,0.7600,0.8400,277.00,34369.00
2026-03-04 16:08:00,,,,,,0.7600,0.00,34369.00
2026-03-04 16:09:00,0.7200,0.6900,0.7200,0.7200,0.7104,0.7600,28.00,34378.00
2026-03-04 16:10:00,0.7200,0.7000,0.7200,0.7000,0.7200,0.7200,510.00,34638.00
2026-03-04 16:11:00,0.6900,0.6600,0.6900,0.6600,0.6711,0.7000,959.00,35597.00
2026-03-04 16:12:00,0.6600,0.6600,0.6900,0.6900,0.6613,0.6600,401.00,35998.00
2026-03-04 16:13:00,0.6400,0.6100,0.6800,0.6600,0.6670,0.6900,1931.00,37413.00
2026-03-04 16:14:00,0.6300,0.5900,0.6300,0.5900,0.6243,0.6600,70.00,37474.00
2026-03-04 16:15:00,0.6100,0.5700,0.6400,0.5900,0.6118,0.5900,16991.00,49730.00
2026-03-04 16:16:00,0.5900,0.5200,0.6400,0.5900,0.5748,0.5900,1831.00,50649.00
2026-03-04 16:17:00,0.5800,0.5800,0.6900,0.6700,0.6379,0.5900,8320.00,57104.00
2026-03-04 16:18:00,0.6600,0.6500,0.6800,0.6600,0.6594,0.6700,4336.00,58182.00
2026-03-04 16:19:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6600,71.00,58253.00
2026-03-04 16:20:00,0.6400,0.6400,0.6800,0.6800,0.6700,0.6800,8.00,58259.00
2026-03-04 16:21:00,0.6700,0.5600,0.6700,0.5700,0.5717,0.6800,339.00,58424.00
2026-03-04 16:22:00,0.6000,0.5600,0.6000,0.6000,0.5810,0.5700,113.00,58537.00
2026-03-04 16:23:00,0.6000,0.5700,0.6000,0.5700,0.5843,0.6000,21.00,58558.00
2026-03-04 16:24:00,0.6000,0.6000,0.6400,0.6400,0.6052,0.5700,115.00,58673.00
2026-03-04 16:25:00,0.5600,0.5400,0.5700,0.5400,0.5555,0.6400,825.00,59080.00
2026-03-04 16:26:00,0.5300,0.5300,0.5900,0.5900,0.5704,0.5400,1300.00,58930.00
2026-03-04 16:27:00,0.5900,0.5300,0.5900,0.5300,0.5461,0.5900,218.00,59038.00
2026-03-04 16:28:00,0.5300,0.4200,0.5300,0.4200,0.4378,0.5300,2582.00,61004.00
2026-03-04 16:29:00,0.4000,0.3300,0.4400,0.4300,0.4002,0.4200,2356.00,63224.00
2026-03-04 16:30:00,0.3300,0.3100,0.4000,0.3800,0.3701,0.4300,385.00,63436.00
2026-03-04 16:31:00,0.3800,0.3500,0.3800,0.3500,0.3648,0.3800,2490.00,65152.00
2026-03-04 16:32:00,0.3600,0.2600,0.3600,0.3400,0.3320,0.3500,6278.00,66857.00
2026-03-04 16:33:00,0.3500,0.2900,0.3600,0.3600,0.3475,0.3400,1619.00,68148.00
2026-03-04 16:34:00,0.3500,0.2900,0.3500,0.2900,0.3154,0.3600,965.00,68380.00
2026-03-04 16:35:00,0.3300,0.2700,0.3300,0.3100,0.3078,0.2900,5194.00,73134.00
2026-03-04 16:36:00,0.3400,0.2700,0.3700,0.2700,0.3439,0.3100,2133.00,74485.00
2026-03-04 16:37:00,0.3300,0.2800,0.5000,0.2800,0.3624,0.2700,4874.00,78779.00
2026-03-04 16:38:00,0.3200,0.3100,0.3900,0.3300,0.3352,0.2800,4286.00,81076.00
2026-03-04 16:39:00,0.3300,0.3300,0.3900,0.3600,0.3668,0.3300,4839.00,85056.00
2026-03-04 16:40:00,0.3400,0.2800,0.3700,0.2800,0.3329,0.3600,10342.00,88720.00
2026-03-04 16:41:00,0.3000,0.2200,0.3000,0.2300,0.2464,0.2800,3141.00,90960.00
2026-03-04 16:42:00,0.2300,0.1900,0.2400,0.2100,0.2205,0.2300,2856.00,93741.00
2026-03-04 16:43:00,0.2100,0.1200,0.2100,0.1200,0.1583,0.2100,4236.00,95782.00
2026-03-04 16:44:00,0.1200,0.0800,0.1200,0.1100,0.1145,0.1200,5911.00,99723.00
2026-03-04 16:45:00,0.1100,0.0600,0.1200,0.0600,0.0988,0.1100,2743.00,101730.00
2026-03-04 16:46:00,0.0800,0.0800,0.1400,0.1400,0.1205,0.0600,12921.00,112735.00
2026-03-04 16:47:00,0.1900,0.1500,0.2500,0.1700,0.1798,0.1400,12735.00,120245.00
2026-03-04 16:48:00,0.1700,0.1100,0.2100,0.1100,0.1342,0.1700,6545.00,122531.00
2026-03-04 16:49:00,0.1000,0.0600,0.1100,0.0800,0.0818,0.1100,7089.00,121527.00
2026-03-04 16:50:00,0.0700,0.0600,0.0800,0.0700,0.0699,0.0800,14623.00,110618.00
2026-03-04 16:51:00,0.0800,0.0700,0.0900,0.0800,0.0762,0.0700,3129.00,110985.00
2026-03-04 16:52:00,0.1000,0.0900,0.1300,0.1200,0.1038,0.0800,12309.00,116427.00
2026-03-04 16:53:00,0.1300,0.0900,0.1300,0.1300,0.1086,0.1200,4664.00,120511.00
2026-03-04 16:54:00,0.1400,0.1100,0.1400,0.1400,0.1189,0.1300,4583.00,125094.00
2026-03-04 16:55:00,0.1400,0.1200,0.2100,0.2100,0.1540,0.1400,8618.00,133520.00
2026-03-04 16:56:00,0.2200,0.1700,0.3000,0.2500,0.2352,0.2100,4528.00,137007.00
2026-03-04 16:57:00,0.2700,0.2700,0.3200,0.3000,0.2935,0.2500,12430.00,147522.00
2026-03-04 16:58:00,0.3000,0.2700,0.3200,0.3200,0.2977,0.3000,6578.00,150805.00
2026-03-04 16:59:00,0.3100,0.2500,0.4300,0.2500,0.3048,0.3200,3193.00,152565.00
2026-03-04 17:00:00,0.2600,0.1500,0.2800,0.1500,0.2259,0.2500,2216.00,153704.00
2026-03-04 17:01:00,0.1400,0.1100,0.1700,0.1500,0.1522,0.1500,1848.00,154426.00
2026-03-04 17:02:00,0.1300,0.0100,0.2200,0.1100,0.0738,0.1500,13291.00,161666.00
2026-03-04 17:03:00,0.1300,0.0300,0.1600,0.1600,0.1166,0.1100,11703.00,169473.00
2026-03-04 17:04:00,0.1700,0.1500,0.2300,0.2000,0.1875,0.1600,16904.00,184451.00
2026-03-04 17:05:00,0.2100,0.2100,0.2800,0.2600,0.2449,0.2000,10563.00,192549.00
2026-03-04 17:06:00,0.2600,0.2600,0.2800,0.2800,0.2764,0.2600,3290.00,195145.00
2026-03-04 17:07:00,0.2800,0.2700,0.2800,0.2800,0.2791,0.2800,4308.00,197154.00
2026-03-04 17:08:00,0.2600,0.1900,0.2900,0.2900,0.2365,0.2800,5648.00,195995.00
2026-03-04 17:09:00,0.2800,0.2700,0.3500,0.3200,0.3216,0.2900,2000.00,197874.00
2026-03-04 17:10:00,0.3400,0.2600,0.3700,0.3300,0.3135,0.3200,2778.00,199451.00
2026-03-04 17:11:00,0.3500,0.3500,0.4700,0.4700,0.4081,0.3300,9514.00,203306.00
2026-03-04 17:12:00,0.4700,0.4100,0.5700,0.5000,0.5002,0.4700,15650.00,207686.00
2026-03-04 17:13:00,0.4900,0.2700,0.7600,0.7100,0.5677,0.5000,11696.00,211729.00
2026-03-04 17:14:00,0.7100,0.6000,0.8200,0.8000,0.7239,0.7100,17044.00,214060.00
2026-03-04 17:15:00,0.8100,0.7800,0.8100,0.8000,0.7998,0.8000,17752.00,222217.00
2026-03-04 17:16:00,0.7900,0.7400,0.7900,0.7400,0.7779,0.8000,10947.00,221000.00
2026-03-04 17:17:00,0.7700,0.5700,0.8000,0.5800,0.6418,0.7400,13407.00,215671.00
2026-03-04 17:18:00,0.5800,0.5000,0.7100,0.5100,0.5886,0.5800,7476.00,217574.00
2026-03-04 17:19:00,0.5200,0.4000,0.8100,0.7400,0.6008,0.5100,17078.00,218490.00
2026-03-04 17:20:00,0.7400,0.5900,0.7700,0.6100,0.7297,0.7400,14414.00,226706.00
2026-03-04 17:21:00,0.6100,0.6000,0.9100,0.8600,0.8311,0.6100,27307.00,234039.00
2026-03-04 17:22:00,0.8700,0.7400,0.9000,0.8900,0.8060,0.8600,22177.00,242378.00
2026-03-04 17:23:00,0.8900,0.7400,0.8900,0.8900,0.8017,0.8900,13050.00,248867.00
2026-03-04 17:24:00,0.8700,0.5700,0.9000,0.6400,0.7456,0.8900,16431.00,250356.00
2026-03-04 17:25:00,0.6400,0.5300,0.7900,0.5800,0.6573,0.6400,13157.00,252600.00
2026-03-04 17:26:00,0.5800,0.3900,0.6700,0.4900,0.5132,0.5800,4957.00,252736.00
2026-03-04 17:27:00,0.5100,0.2500,0.5100,0.2700,0.3728,0.4900,5776.00,253911.00
2026-03-04 17:28:00,0.3000,0.2300,0.3000,0.2700,0.2712,0.2700,11214.00,256838.00
2026-03-04 17:29:00,0.2700,0.2500,0.2800,0.2800,0.2779,0.2700,22128.00,269114.00
2026-03-04 17:30:00,0.2800,0.1600,0.3100,0.1900,0.2616,0.2800,5260.00,271188.00
2026-03-04 17:31:00,0.1900,0.0900,0.1900,0.1500,0.1129,0.1900,15371.00,270552.00
2026-03-04 17:32:00,0.1500,0.0400,0.2000,0.1300,0.1004,0.1500,18347.00,273721.00
2026-03-04 17:33:00,0.1300,0.0300,0.1500,0.0300,0.1250,0.1300,6426.00,272964.00
2026-03-04 17:34:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0300,219.00,272964.00
2026-03-04 17:35:00,0.0100,0.0100,0.0100,0.0100,0.0100,0.0100,467.00,272964.00
