end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-05 13:22:00,,,,,,0.4800,0.00,2318.00
2026-03-05 13:23:00,,,,,,0.4800,0.00,2318.00
2026-03-05 13:29:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,44.00,2362.00
2026-03-05 13:31:00,,,,,,0.4800,0.00,2362.00
2026-03-05 13:34:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,60.00,2422.00
2026-03-05 13:36:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,10.00,2432.00
2026-03-05 13:38:00,,,,,,0.4800,0.00,2432.00
2026-03-05 13:40:00,,,,,,0.4800,0.00,2432.00
2026-03-05 13:42:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,200.00,2632.00
2026-03-05 13:44:00,,,,,,0.4800,0.00,2632.00
2026-03-05 13:46:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,20.00,2652.00
2026-03-05 13:48:00,,,,,,0.4800,0.00,2652.00
2026-03-05 13:49:00,,,,,,0.4800,0.00,2652.00
2026-03-05 13:50:00,,,,,,0.4800,0.00,2652.00
2026-03-05 13:51:00,,,,,,0.4800,0.00,2652.00
2026-03-05 13:55:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,4.00,2656.00
2026-03-05 13:58:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4800,1061.00,3717.00
2026-03-05 14:00:00,,,,,,0.4800,0.00,3717.00
2026-03-05 14:01:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4800,9.00,3726.00
2026-03-05 14:02:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,68.00,3794.00
2026-03-05 14:03:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,102.00,3896.00
2026-03-05 14:04:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,1055.00,4951.00
2026-03-05 14:05:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,857.00,5808.00
2026-03-05 14:06:00,0.4800,0.4800,0.4900,0.4900,0.4807,0.4900,286.00,6094.00
2026-03-05 14:07:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,503.00,6597.00
2026-03-05 14:08:00,,,,,,0.4800,0.00,6597.00
2026-03-05 14:09:00,,,,,,0.4800,0.00,6597.00
