end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-06 21:01:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,1020.00,9870.00
2026-03-06 21:02:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0800,181.00,10051.00
2026-03-06 21:04:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,250.00,10301.00
2026-03-06 21:05:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,522.00,10823.00
2026-03-06 21:06:00,,,,,,0.0900,0.00,10823.00
2026-03-06 21:09:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0900,81.00,10904.00
2026-03-06 21:11:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,19.00,10923.00
2026-03-06 21:15:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,352.00,11275.00
2026-03-06 21:19:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,328.00,11603.00
2026-03-06 21:22:00,,,,,,0.0800,0.00,11603.00
2026-03-06 21:23:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,55.00,11658.00
2026-03-06 21:28:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,11.00,11669.00
2026-03-06 21:30:00,0.0800,0.0800,0.0900,0.0900,0.0851,0.0800,110.00,11779.00
2026-03-06 21:31:00,,,,,,0.0900,0.00,11779.00
2026-03-06 21:34:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0900,485.00,12264.00
2026-03-06 21:37:00,,,,,,0.0800,0.00,12264.00
2026-03-06 21:38:00,0.0800,0.0700,0.0800,0.0700,0.0798,0.0800,1016.00,13240.00
2026-03-06 21:39:00,,,,,,0.0700,0.00,13240.00
2026-03-06 21:44:00,,,,,,0.0700,0.00,13240.00
2026-03-06 21:45:00,,,,,,0.0700,0.00,13240.00
2026-03-06 21:53:00,,,,,,0.0700,0.00,13240.00
2026-03-06 22:01:00,,,,,,0.0700,0.00,13240.00
2026-03-06 22:02:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,70.00,13310.00
2026-03-06 22:03:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,30.00,13340.00
2026-03-06 22:04:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,131.00,13471.00
2026-03-06 22:05:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,80.00,13551.00
2026-03-06 22:06:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,20.00,13571.00
2026-03-06 22:08:00,,,,,,0.0800,0.00,13571.00
2026-03-06 22:13:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,30.00,13601.00
2026-03-06 22:14:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,216.00,13817.00
2026-03-06 22:15:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,40.00,13857.00
2026-03-06 22:16:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,40.00,13897.00
2026-03-06 22:17:00,,,,,,0.0800,0.00,13897.00
2026-03-06 22:18:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,162.00,14059.00
2026-03-06 22:19:00,,,,,,0.0800,0.00,14059.00
2026-03-06 22:20:00,,,,,,0.0800,0.00,14059.00
2026-03-06 22:21:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,1023.00,15082.00
2026-03-06 22:22:00,,,,,,0.0800,0.00,15082.00
2026-03-06 22:23:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,11.00,15093.00
2026-03-06 22:25:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,575.00,15668.00
2026-03-06 22:28:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,20.00,15668.00
2026-03-06 22:29:00,,,,,,0.0700,0.00,15668.00
2026-03-06 22:31:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,200.00,15868.00
2026-03-06 22:32:00,,,,,,0.0800,0.00,15868.00
2026-03-06 22:33:00,,,,,,0.0800,0.00,15868.00
2026-03-06 22:34:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,588.00,16456.00
2026-03-06 22:35:00,0.0700,0.0700,0.0700,0.0700,0.0700,0.0800,150.00,16401.00
2026-03-06 22:39:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0700,22.00,16423.00
2026-03-06 22:40:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,41.00,16464.00
2026-03-06 22:41:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,29.00,16493.00
2026-03-06 22:42:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,11.00,16504.00
2026-03-06 22:43:00,,,,,,0.0800,0.00,16504.00
2026-03-06 22:44:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,1000.00,17489.00
2026-03-06 22:45:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,324.00,17813.00
2026-03-06 22:46:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,88.00,17901.00
2026-03-06 22:47:00,,,,,,0.0800,0.00,17901.00
2026-03-06 22:48:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,29.00,17930.00
2026-03-06 22:49:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,234.00,18164.00
2026-03-06 22:50:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,2.00,18166.00
2026-03-06 22:51:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,143.00,18309.00
2026-03-06 22:54:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,117.00,18426.00
2026-03-06 22:55:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,316.00,18742.00
2026-03-06 22:56:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,193.00,18859.00
2026-03-06 22:57:00,,,,,,0.0800,0.00,18859.00
2026-03-06 22:58:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,234.00,19093.00
2026-03-06 22:59:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,5013.00,24106.00
2026-03-06 23:00:00,0.0800,0.0800,0.0800,0.0800,0.0800,0.0800,32.00,24138.00
2026-03-06 23:01:00,,,,,,0.0800,0.00,24138.00
2026-03-06 23:02:00,,,,,,0.0800,0.00,24138.00
2026-03-06 23:03:00,0.0800,0.0800,0.0900,0.0900,0.0898,0.0800,529.00,24667.00
2026-03-06 23:04:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,135.00,24802.00
2026-03-06 23:05:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,51.00,24802.00
2026-03-06 23:06:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.1000,261.00,25063.00
2026-03-06 23:07:00,0.0900,0.0700,0.0900,0.0700,0.0882,0.0900,871.00,25803.00
2026-03-06 23:08:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0700,10.00,25813.00
2026-03-06 23:09:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,154.00,25967.00
2026-03-06 23:10:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,52.00,26019.00
2026-03-06 23:11:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,8200.00,34177.00
2026-03-06 23:12:00,0.0800,0.0600,0.0800,0.0600,0.0682,0.1000,1339.00,35516.00
2026-03-06 23:13:00,0.0700,0.0700,0.0800,0.0800,0.0723,0.0600,649.00,36165.00
2026-03-06 23:14:00,0.0900,0.0900,0.1100,0.1100,0.1093,0.0800,771.00,36913.00
2026-03-06 23:15:00,0.1100,0.1100,0.1400,0.1400,0.1392,0.1100,5418.00,42306.00
2026-03-06 23:16:00,0.1400,0.1100,0.1500,0.1300,0.1407,0.1400,5797.00,47892.00
2026-03-06 23:17:00,0.1100,0.1100,0.1400,0.1400,0.1295,0.1300,4742.00,52634.00
2026-03-06 23:18:00,0.1400,0.1200,0.1400,0.1400,0.1341,0.1400,4121.00,56755.00
2026-03-06 23:19:00,0.1400,0.1400,0.1700,0.1700,0.1482,0.1400,684.00,57194.00
2026-03-06 23:20:00,0.1900,0.1800,0.2100,0.1800,0.1817,0.1700,14274.00,70704.00
2026-03-06 23:21:00,0.1700,0.1600,0.1700,0.1600,0.1642,0.1800,3643.00,74345.00
2026-03-06 23:22:00,0.1600,0.1300,0.1700,0.1500,0.1528,0.1600,3289.00,73679.00
2026-03-06 23:23:00,0.1500,0.1500,0.1600,0.1600,0.1504,0.1500,2672.00,76351.00
2026-03-06 23:24:00,0.1600,0.1600,0.2000,0.2000,0.1777,0.1600,1870.00,78221.00
2026-03-06 23:25:00,0.2000,0.1900,0.2300,0.2200,0.2116,0.2000,6581.00,84113.00
2026-03-06 23:26:00,0.2200,0.2100,0.2300,0.2300,0.2145,0.2200,4991.00,88955.00
2026-03-06 23:27:00,0.2300,0.2000,0.2300,0.2200,0.2183,0.2300,5198.00,93177.00
2026-03-06 23:28:00,0.2300,0.2200,0.3000,0.2500,0.2425,0.2200,3137.00,95189.00
2026-03-06 23:29:00,0.2800,0.2500,0.3000,0.2800,0.2639,0.2500,17856.00,110457.00
2026-03-06 23:30:00,0.3000,0.2100,0.3300,0.2300,0.2667,0.2800,9793.00,118680.00
