end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-06 15:59:00,,,,,,0.0900,0.00,3550.00
2026-03-06 16:03:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,454.00,4004.00
2026-03-06 16:05:00,,,,,,0.0900,0.00,4004.00
2026-03-06 16:09:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,261.00,4265.00
2026-03-06 16:20:00,,,,,,0.0900,0.00,4265.00
2026-03-06 16:21:00,,,,,,0.0900,0.00,4265.00
2026-03-06 16:22:00,,,,,,0.0900,0.00,4265.00
2026-03-06 16:27:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,10.00,4275.00
2026-03-06 16:31:00,,,,,,0.0900,0.00,4275.00
2026-03-06 16:32:00,,,,,,0.0900,0.00,4275.00
2026-03-06 16:34:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,3062.00,6997.00
2026-03-06 16:35:00,,,,,,0.0900,0.00,6997.00
2026-03-06 16:39:00,,,,,,0.0900,0.00,6997.00
2026-03-06 16:40:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,7.00,7004.00
2026-03-06 16:41:00,,,,,,0.0900,0.00,7004.00
2026-03-06 16:42:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,14.00,7018.00
2026-03-06 16:47:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,20.00,7038.00
2026-03-06 16:51:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,10.00,7048.00
2026-03-06 16:53:00,,,,,,0.0900,0.00,7048.00
2026-03-06 16:54:00,0.0900,0.0900,0.0900,0.0900,0.0900,0.0900,454.00,7318.00
2026-03-06 16:57:00,,,,,,0.0900,0.00,7318.00
2026-03-06 17:01:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.0900,9.00,7327.00
2026-03-06 17:03:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,470.00,7797.00
2026-03-06 17:06:00,0.1000,0.1000,0.1000,0.1000,0.1000,0.1000,212.00,7938.00
2026-03-06 17:08:00,,,,,,0.1000,0.00,7938.00
