end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-09 19:18:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,15.00,25255.00
2026-03-09 19:22:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,150.00,25405.00
2026-03-09 19:23:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,521.00,25926.00
2026-03-09 19:24:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,452.00,26378.00
2026-03-09 19:25:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,535.00,26913.00
2026-03-09 19:26:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,3453.00,30366.00
2026-03-09 19:30:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,680.00,31046.00
2026-03-09 19:32:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,195.00,31241.00
2026-03-09 19:33:00,,,,,,0.6500,0.00,31241.00
2026-03-09 19:34:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,1501.00,32742.00
2026-03-09 19:36:00,0.6500,0.6500,0.6500,0.6500,0.6500,0.6500,213.00,32955.00
2026-03-09 19:38:00,0.6500,0.6500,0.6600,0.6600,0.6548,0.6500,1479.00,34432.00
2026-03-09 19:41:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,7.00,34439.00
2026-03-09 19:42:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,2145.00,36584.00
2026-03-09 19:44:00,,,,,,0.6600,0.00,36584.00
2026-03-09 19:45:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1313.00,37897.00
2026-03-09 19:47:00,,,,,,0.6600,0.00,37897.00
2026-03-09 19:48:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,25.00,37922.00
2026-03-09 19:50:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,14.00,37936.00
2026-03-09 19:51:00,,,,,,0.6600,0.00,37936.00
2026-03-09 19:52:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,19.00,37955.00
2026-03-09 19:54:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,960.00,38915.00
2026-03-09 19:57:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,955.00,39870.00
2026-03-09 19:58:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,55.00,39925.00
2026-03-09 20:01:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,21.00,39946.00
2026-03-09 20:02:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,147.00,40093.00
2026-03-09 20:03:00,,,,,,0.6600,0.00,40093.00
2026-03-09 20:04:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,15.00,40108.00
2026-03-09 20:05:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,44.00,40152.00
2026-03-09 20:08:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,22.00,40174.00
2026-03-09 20:09:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,38.00,40212.00
2026-03-09 20:10:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,30.00,40242.00
2026-03-09 20:11:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,750.00,40992.00
2026-03-09 20:14:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,73.00,41065.00
2026-03-09 20:15:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,296.00,41361.00
2026-03-09 20:16:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,110.00,41471.00
2026-03-09 20:17:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,153.00,41624.00
2026-03-09 20:18:00,,,,,,0.6600,0.00,41624.00
2026-03-09 20:19:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,739.00,42363.00
2026-03-09 20:20:00,0.6600,0.6400,0.6600,0.6600,0.6597,0.6600,491.00,42854.00
2026-03-09 20:21:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,205.00,43059.00
2026-03-09 20:22:00,,,,,,0.6600,0.00,43059.00
2026-03-09 20:23:00,,,,,,0.6600,0.00,43059.00
2026-03-09 20:24:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1626.00,44685.00
2026-03-09 20:25:00,,,,,,0.6600,0.00,44685.00
2026-03-09 20:26:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,46.00,44731.00
2026-03-09 20:27:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,150.00,44881.00
2026-03-09 20:28:00,,,,,,0.6600,0.00,44881.00
2026-03-09 20:29:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,503.00,45384.00
2026-03-09 20:30:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,176.00,45560.00
2026-03-09 20:31:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,147.00,45707.00
2026-03-09 20:32:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,463.00,46170.00
2026-03-09 20:33:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,29.00,46199.00
2026-03-09 20:34:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,10.00,46209.00
2026-03-09 20:35:00,,,,,,0.6600,0.00,46209.00
2026-03-09 20:36:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1.00,46210.00
2026-03-09 20:37:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,34.00,46244.00
2026-03-09 20:38:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,53.00,46297.00
2026-03-09 20:39:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,904.00,47201.00
2026-03-09 20:40:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,89.00,47290.00
2026-03-09 20:41:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,1135.00,48425.00
2026-03-09 20:42:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,180.00,48605.00
2026-03-09 20:43:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,361.00,48966.00
2026-03-09 20:44:00,,,,,,0.6600,0.00,48966.00
2026-03-09 20:45:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,184.00,49150.00
2026-03-09 20:46:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,5007.00,54157.00
2026-03-09 20:47:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,494.00,54651.00
2026-03-09 20:48:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,244.00,54895.00
2026-03-09 20:49:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,4014.00,58909.00
2026-03-09 20:50:00,0.6600,0.6600,0.6700,0.6700,0.6627,0.6600,1077.00,59986.00
2026-03-09 20:51:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,5236.00,65222.00
2026-03-09 20:52:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,60.00,65282.00
2026-03-09 20:53:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,10.00,65292.00
2026-03-09 20:54:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6600,50.00,65342.00
2026-03-09 20:55:00,0.6600,0.6600,0.6700,0.6700,0.6698,0.6600,2004.00,67346.00
2026-03-09 20:56:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,684.00,68030.00
2026-03-09 20:57:00,0.6700,0.6400,0.6700,0.6400,0.6584,0.6700,163.00,68193.00
2026-03-09 20:58:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6400,11.00,68204.00
2026-03-09 20:59:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,461.00,68665.00
2026-03-09 21:00:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,363.00,69028.00
2026-03-09 21:01:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,235.00,69263.00
2026-03-09 21:02:00,0.6600,0.6600,0.6700,0.6700,0.6615,0.6600,1662.00,70925.00
2026-03-09 21:03:00,0.6600,0.6400,0.6700,0.6700,0.6672,0.6700,4519.00,75444.00
2026-03-09 21:04:00,0.6700,0.6500,0.6700,0.6500,0.6552,0.6700,493.00,75937.00
2026-03-09 21:05:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6500,1203.00,77140.00
2026-03-09 21:06:00,0.6600,0.6600,0.6700,0.6600,0.6693,0.6600,1739.00,78879.00
2026-03-09 21:07:00,0.6600,0.6600,0.6700,0.6600,0.6643,0.6600,1415.00,80294.00
2026-03-09 21:08:00,0.6600,0.6600,0.6800,0.6700,0.6693,0.6600,3422.00,83716.00
2026-03-09 21:09:00,0.6700,0.6500,0.6700,0.6700,0.6615,0.6700,804.00,84520.00
2026-03-09 21:10:00,0.6600,0.6600,0.6700,0.6700,0.6607,0.6700,607.00,85127.00
2026-03-09 21:11:00,0.6600,0.6600,0.6800,0.6800,0.6742,0.6700,2724.00,87851.00
2026-03-09 21:12:00,0.6800,0.6800,0.7100,0.6900,0.6956,0.6800,16678.00,104529.00
2026-03-09 21:13:00,0.6800,0.6500,0.7000,0.6600,0.6858,0.6900,19205.00,123734.00
2026-03-09 21:14:00,0.6500,0.6200,0.6700,0.6200,0.6476,0.6600,15933.00,136217.00
2026-03-09 21:15:00,0.6500,0.6200,0.6800,0.6300,0.6373,0.6200,9534.00,145738.00
2026-03-09 21:16:00,0.6300,0.6300,0.6600,0.6300,0.6461,0.6300,4142.00,149880.00
2026-03-09 21:17:00,0.6300,0.6000,0.6500,0.6000,0.6252,0.6300,18992.00,168392.00
2026-03-09 21:18:00,0.6100,0.5700,0.6200,0.5900,0.5983,0.6000,8872.00,176824.00
2026-03-09 21:19:00,0.5900,0.5500,0.6300,0.5700,0.5877,0.5900,4697.00,181402.00
2026-03-09 21:20:00,0.5900,0.5900,0.6300,0.6300,0.6170,0.5700,5103.00,186430.00
2026-03-09 21:21:00,0.6300,0.6300,0.6800,0.6800,0.6499,0.6300,7318.00,190693.00
2026-03-09 21:22:00,0.6800,0.6500,0.6900,0.6900,0.6704,0.6800,5248.00,195807.00
2026-03-09 21:23:00,0.6900,0.6200,0.7000,0.6300,0.6658,0.6900,6739.00,202184.00
2026-03-09 21:24:00,0.6300,0.6300,0.6800,0.6800,0.6555,0.6300,2683.00,204200.00
2026-03-09 21:25:00,0.6800,0.6800,0.7800,0.7700,0.7465,0.6800,5769.00,209708.00
2026-03-09 21:26:00,0.7700,0.7600,0.7800,0.7700,0.7733,0.7700,18896.00,228534.00
2026-03-09 21:27:00,0.7700,0.7600,0.7900,0.7700,0.7793,0.7700,2192.00,230575.00
2026-03-09 21:28:00,0.7900,0.7300,0.7900,0.7400,0.7655,0.7700,4355.00,234707.00
2026-03-09 21:29:00,0.7400,0.7400,0.7900,0.7500,0.7518,0.7400,4289.00,236141.00
2026-03-09 21:30:00,0.7500,0.7300,0.8000,0.7400,0.7843,0.7500,7832.00,243432.00
2026-03-09 21:31:00,0.7400,0.6900,0.7400,0.7100,0.7093,0.7400,13951.00,249246.00
2026-03-09 21:32:00,0.7100,0.6800,0.7400,0.6800,0.7209,0.7100,10446.00,251044.00
2026-03-09 21:33:00,0.7000,0.6700,0.7300,0.6900,0.7108,0.6800,2987.00,253712.00
2026-03-09 21:34:00,0.6900,0.6200,0.6900,0.6300,0.6552,0.6900,5255.00,258765.00
2026-03-09 21:35:00,0.6600,0.6600,0.7300,0.7300,0.6876,0.6300,2593.00,260173.00
2026-03-09 21:36:00,0.7300,0.6800,0.7400,0.7300,0.6994,0.7300,11007.00,271035.00
2026-03-09 21:37:00,0.7300,0.7300,0.7700,0.7600,0.7627,0.7300,10230.00,275109.00
2026-03-09 21:38:00,0.7600,0.7500,0.7700,0.7500,0.7684,0.7600,2467.00,277576.00
2026-03-09 21:39:00,0.7600,0.7300,0.8000,0.8000,0.7566,0.7500,3179.00,279295.00
2026-03-09 21:40:00,0.7800,0.7700,0.8100,0.8100,0.7967,0.8000,7689.00,286984.00
2026-03-09 21:41:00,0.8100,0.7700,0.8100,0.8100,0.7985,0.8100,11357.00,294811.00
2026-03-09 21:42:00,0.8000,0.8000,0.8400,0.8100,0.8246,0.8100,2721.00,296910.00
2026-03-09 21:43:00,0.8100,0.8100,0.8600,0.8600,0.8552,0.8100,8750.00,305660.00
2026-03-09 21:44:00,0.8600,0.8200,0.8700,0.8300,0.8511,0.8600,41651.00,347040.00
2026-03-09 21:45:00,0.8300,0.7900,0.8300,0.8200,0.8167,0.8300,18251.00,364763.00
2026-03-09 21:46:00,0.8100,0.7900,0.8500,0.8200,0.8198,0.8200,2845.00,366591.00
2026-03-09 21:47:00,0.8200,0.7800,0.8300,0.8000,0.8122,0.8200,1567.00,367346.00
2026-03-09 21:48:00,0.8100,0.7900,0.8300,0.8100,0.8163,0.8000,6799.00,367005.00
2026-03-09 21:49:00,0.8200,0.8000,0.8200,0.8200,0.8133,0.8100,858.00,367682.00
2026-03-09 21:50:00,0.8200,0.7700,0.8200,0.7900,0.7978,0.8200,3398.00,370352.00
2026-03-09 21:51:00,0.8200,0.7900,0.8500,0.8500,0.8435,0.7900,2148.00,371935.00
2026-03-09 21:52:00,0.8500,0.8500,0.8700,0.8700,0.8686,0.8500,4030.00,375089.00
2026-03-09 21:53:00,0.8700,0.8200,0.8700,0.8500,0.8675,0.8700,7508.00,381941.00
2026-03-09 21:54:00,0.8700,0.8700,0.8900,0.8800,0.8827,0.8500,1426.00,383367.00
2026-03-09 21:55:00,0.8800,0.8600,0.8900,0.8700,0.8763,0.8800,8079.00,391117.00
2026-03-09 21:56:00,0.8400,0.8400,0.8500,0.8500,0.8401,0.8700,248.00,391169.00
2026-03-09 21:57:00,0.8600,0.8600,0.8700,0.8600,0.8639,0.8500,698.00,391556.00
2026-03-09 21:58:00,0.8700,0.8600,0.8800,0.8600,0.8753,0.8600,3635.00,392788.00
