end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-10 18:32:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,4959.00,33709.00
2026-03-10 18:35:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,127.00,33836.00
2026-03-10 18:36:00,,,,,,0.4100,0.00,33836.00
2026-03-10 18:38:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,232.00,34068.00
2026-03-10 18:40:00,,,,,,0.4100,0.00,34068.00
2026-03-10 18:41:00,,,,,,0.4100,0.00,34068.00
2026-03-10 18:42:00,0.4100,0.4100,0.4200,0.4200,0.4189,0.4100,66.00,34134.00
2026-03-10 18:43:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,231.00,34365.00
2026-03-10 18:44:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,228.00,34593.00
2026-03-10 18:45:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,22.00,34615.00
2026-03-10 18:47:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,228.00,34843.00
2026-03-10 18:49:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,4.00,34847.00
2026-03-10 18:52:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,4544.00,39391.00
2026-03-10 18:53:00,,,,,,0.4200,0.00,39391.00
2026-03-10 18:54:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,113.00,39504.00
2026-03-10 18:55:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,263.00,39767.00
2026-03-10 18:57:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,19.00,39786.00
2026-03-10 18:58:00,,,,,,0.4200,0.00,39786.00
2026-03-10 18:59:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,39831.00
2026-03-10 19:00:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,114.00,39945.00
2026-03-10 19:02:00,,,,,,0.4200,0.00,39945.00
2026-03-10 19:04:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,228.00,40173.00
2026-03-10 19:08:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,100.00,40273.00
2026-03-10 19:09:00,,,,,,0.4200,0.00,40273.00
2026-03-10 19:15:00,,,,,,0.4200,0.00,40273.00
2026-03-10 19:16:00,,,,,,0.4200,0.00,40273.00
2026-03-10 19:17:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,113.00,40386.00
2026-03-10 19:18:00,,,,,,0.4200,0.00,40386.00
2026-03-10 19:21:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,25.00,40411.00
2026-03-10 19:23:00,,,,,,0.4200,0.00,40411.00
2026-03-10 19:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,5.00,40416.00
2026-03-10 19:25:00,,,,,,0.4200,0.00,40416.00
2026-03-10 19:26:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,5113.00,45529.00
2026-03-10 19:27:00,,,,,,0.4200,0.00,45529.00
2026-03-10 19:28:00,,,,,,0.4200,0.00,45529.00
2026-03-10 19:29:00,,,,,,0.4200,0.00,45529.00
2026-03-10 19:31:00,,,,,,0.4200,0.00,45529.00
2026-03-10 19:33:00,0.4100,0.4000,0.4100,0.4100,0.4021,0.4200,58.00,45540.00
2026-03-10 19:34:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,28.00,45568.00
2026-03-10 19:35:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,150.00,45718.00
2026-03-10 19:37:00,,,,,,0.4100,0.00,45718.00
2026-03-10 19:38:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,295.00,46013.00
2026-03-10 19:39:00,,,,,,0.4200,0.00,46013.00
2026-03-10 19:41:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,46058.00
2026-03-10 19:44:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,45.00,46103.00
2026-03-10 19:45:00,,,,,,0.4200,0.00,46103.00
2026-03-10 19:46:00,,,,,,0.4200,0.00,46103.00
2026-03-10 19:53:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,46114.00
2026-03-10 19:55:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,2.00,46116.00
2026-03-10 19:56:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,144.00,46260.00
2026-03-10 19:57:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,6.00,46266.00
2026-03-10 20:00:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1122.00,47388.00
2026-03-10 20:01:00,,,,,,0.4200,0.00,47388.00
2026-03-10 20:03:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,302.00,47690.00
2026-03-10 20:04:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1007.00,48697.00
2026-03-10 20:06:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4200,302.00,48999.00
2026-03-10 20:08:00,0.4100,0.4100,0.4100,0.4100,0.4100,0.4100,51.00,49050.00
2026-03-10 20:19:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4100,2885.00,51935.00
2026-03-10 20:20:00,0.4200,0.4100,0.4200,0.4200,0.4196,0.4200,839.00,52774.00
2026-03-10 20:21:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,11.00,52785.00
2026-03-10 20:22:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,1160.00,53945.00
2026-03-10 20:23:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,343.00,54288.00
2026-03-10 20:24:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,10.00,54298.00
2026-03-10 20:25:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,69.00,54367.00
2026-03-10 20:26:00,0.4100,0.4100,0.4200,0.4200,0.4191,0.4200,3257.00,57624.00
2026-03-10 20:27:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,5249.00,62873.00
2026-03-10 20:28:00,,,,,,0.4200,0.00,62873.00
2026-03-10 20:29:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,56.00,62929.00
2026-03-10 20:30:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,114.00,63043.00
2026-03-10 20:31:00,0.4100,0.4100,0.4200,0.4200,0.4108,0.4200,1090.00,64133.00
2026-03-10 20:32:00,0.4100,0.4100,0.4200,0.4200,0.4110,0.4200,442.00,64575.00
2026-03-10 20:33:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,2726.00,67301.00
2026-03-10 20:34:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,572.00,67873.00
2026-03-10 20:35:00,0.4200,0.4200,0.4200,0.4200,0.4200,0.4200,6913.00,74786.00
2026-03-10 20:36:00,0.4200,0.4200,0.4300,0.4300,0.4273,0.4200,30316.00,105102.00
2026-03-10 20:37:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,67.00,105169.00
2026-03-10 20:38:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,76.00,105245.00
2026-03-10 20:39:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1365.00,106610.00
2026-03-10 20:40:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,739.00,107349.00
2026-03-10 20:41:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1776.00,109125.00
2026-03-10 20:42:00,0.4300,0.4200,0.4300,0.4200,0.4296,0.4300,1732.00,110791.00
2026-03-10 20:44:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4200,89.00,110880.00
2026-03-10 20:45:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,108.00,110988.00
2026-03-10 20:46:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,225.00,111213.00
2026-03-10 20:47:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1520.00,112733.00
2026-03-10 20:48:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,722.00,113455.00
2026-03-10 20:49:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,681.00,114136.00
2026-03-10 20:50:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,23.00,114159.00
2026-03-10 20:51:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,224.00,114383.00
2026-03-10 20:52:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,826.00,115209.00
2026-03-10 20:53:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,478.00,115687.00
2026-03-10 20:54:00,,,,,,0.4300,0.00,115687.00
2026-03-10 20:55:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,127.00,115814.00
2026-03-10 20:56:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,9317.00,125056.00
2026-03-10 20:57:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1445.00,126501.00
2026-03-10 20:58:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,61.00,126562.00
2026-03-10 20:59:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,370.00,126932.00
2026-03-10 21:00:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,1289.00,128221.00
2026-03-10 21:01:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,2472.00,130693.00
2026-03-10 21:02:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,8948.00,139641.00
2026-03-10 21:03:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,95.00,139736.00
2026-03-10 21:04:00,0.4300,0.4200,0.4300,0.4300,0.4290,0.4300,3913.00,143649.00
2026-03-10 21:05:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,259.00,143908.00
2026-03-10 21:06:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,636.00,144544.00
2026-03-10 21:07:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,5137.00,149681.00
2026-03-10 21:08:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,882.00,150563.00
2026-03-10 21:09:00,0.4300,0.4200,0.4300,0.4300,0.4294,0.4300,324.00,150887.00
2026-03-10 21:10:00,0.4300,0.4200,0.4600,0.4600,0.4441,0.4300,5319.00,156206.00
2026-03-10 21:11:00,0.4800,0.4300,0.4800,0.4800,0.4364,0.4600,2320.00,158503.00
2026-03-10 21:12:00,0.4600,0.4100,0.4600,0.4100,0.4227,0.4800,2826.00,161329.00
2026-03-10 21:13:00,0.4100,0.3800,0.4200,0.4100,0.4075,0.4100,2400.00,163442.00
2026-03-10 21:14:00,0.4100,0.4100,0.4400,0.4400,0.4357,0.4100,1220.00,164662.00
2026-03-10 21:15:00,0.4000,0.4000,0.4300,0.4200,0.4109,0.4400,4901.00,169563.00
2026-03-10 21:16:00,0.4300,0.4200,0.4400,0.4200,0.4206,0.4200,4832.00,174395.00
2026-03-10 21:17:00,0.4500,0.4300,0.4600,0.4300,0.4481,0.4200,484.00,174879.00
2026-03-10 21:18:00,0.4100,0.4000,0.4200,0.4100,0.4100,0.4300,9241.00,183869.00
2026-03-10 21:19:00,0.4000,0.4000,0.4600,0.4600,0.4386,0.4100,3424.00,187293.00
2026-03-10 21:20:00,0.4700,0.4700,0.5100,0.5100,0.4726,0.4600,5116.00,192381.00
2026-03-10 21:21:00,0.5100,0.4600,0.5400,0.4600,0.4919,0.5100,2433.00,194590.00
2026-03-10 21:22:00,0.4600,0.4600,0.4800,0.4800,0.4625,0.4600,1001.00,195591.00
2026-03-10 21:23:00,0.4800,0.4600,0.4900,0.4900,0.4669,0.4800,22066.00,217657.00
2026-03-10 21:24:00,0.5000,0.4500,0.5100,0.4500,0.4986,0.4900,8474.00,226031.00
2026-03-10 21:25:00,0.4200,0.4200,0.4300,0.4300,0.4210,0.4500,2943.00,228974.00
2026-03-10 21:26:00,0.4300,0.4300,0.4300,0.4300,0.4300,0.4300,3954.00,232928.00
2026-03-10 21:27:00,0.4200,0.4000,0.4200,0.4000,0.4132,0.4300,3873.00,236801.00
2026-03-10 21:28:00,0.4100,0.3700,0.4100,0.3700,0.4088,0.4000,722.00,237482.00
2026-03-10 21:29:00,0.4100,0.4100,0.4800,0.4700,0.4730,0.3700,5696.00,243055.00
2026-03-10 21:30:00,0.4600,0.4600,0.4800,0.4800,0.4629,0.4700,620.00,243675.00
2026-03-10 21:31:00,0.4900,0.4900,0.5200,0.4900,0.5064,0.4800,1586.00,244484.00
2026-03-10 21:32:00,0.4500,0.4500,0.4600,0.4600,0.4510,0.4900,201.00,244685.00
2026-03-10 21:33:00,0.4300,0.4200,0.4300,0.4200,0.4235,0.4600,645.00,245330.00
2026-03-10 21:34:00,0.4100,0.4100,0.4500,0.4500,0.4105,0.4200,5128.00,250418.00
2026-03-10 21:35:00,0.4500,0.4500,0.4800,0.4800,0.4700,0.4500,5128.00,255546.00
2026-03-10 21:36:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4800,57.00,255603.00
2026-03-10 21:37:00,0.4400,0.4100,0.4600,0.4100,0.4349,0.4700,199.00,255802.00
