end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-03-12 12:11:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1262.00,157916.00
2026-03-12 12:12:00,0.7800,0.7700,0.7800,0.7700,0.7756,0.7800,5041.00,160718.00
2026-03-12 12:13:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7700,25.00,160743.00
2026-03-12 12:14:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,618.00,161361.00
2026-03-12 12:15:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,93.00,161454.00
2026-03-12 12:16:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,4221.00,165675.00
2026-03-12 12:18:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,667.00,166342.00
2026-03-12 12:21:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,400.00,166742.00
2026-03-12 12:22:00,0.7600,0.7600,0.7800,0.7800,0.7622,0.7800,9.00,166735.00
2026-03-12 12:23:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,214.00,166949.00
2026-03-12 12:27:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,1893.00,168842.00
2026-03-12 12:28:00,,,,,,0.7800,0.00,168842.00
2026-03-12 12:29:00,,,,,,0.7800,0.00,168842.00
2026-03-12 12:30:00,,,,,,0.7800,0.00,168842.00
2026-03-12 12:31:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,31.00,168873.00
2026-03-12 12:32:00,0.7800,0.7800,0.7800,0.7800,0.7800,0.7800,250.00,169123.00
2026-03-12 12:33:00,,,,,,0.7800,0.00,169123.00
2026-03-12 12:35:00,0.7800,0.7700,0.7800,0.7700,0.7720,0.7800,626.00,169749.00
2026-03-12 12:37:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,1.00,169750.00
2026-03-12 12:38:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,59.00,169809.00
2026-03-12 12:39:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,189.00,169998.00
2026-03-12 12:41:00,0.7700,0.7700,0.7700,0.7700,0.7700,0.7700,63.00,170061.00
2026-03-12 12:42:00,,,,,,0.7700,0.00,170061.00
2026-03-12 12:44:00,0.7700,0.7700,0.7800,0.7800,0.7765,0.7700,1148.00,171209.00
2026-03-12 12:45:00,,,,,,0.7800,0.00,171209.00
