end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-04 21:42:00,,,,,,0.4700,0.00,1200.00
2026-02-04 21:44:00,,,,,,0.4700,0.00,1200.00
2026-02-04 21:47:00,,,,,,0.4700,0.00,1200.00
2026-02-04 21:50:00,,,,,,0.4700,0.00,1200.00
2026-02-04 21:53:00,,,,,,0.4700,0.00,1200.00
2026-02-04 21:54:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,10.00,1210.00
2026-02-04 21:55:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,5.00,1215.00
2026-02-04 21:56:00,,,,,,0.4700,0.00,1215.00
2026-02-04 21:59:00,,,,,,0.4700,0.00,1215.00
2026-02-04 22:02:00,,,,,,0.4700,0.00,1215.00
2026-02-04 22:04:00,,,,,,0.4700,0.00,1215.00
2026-02-04 22:05:00,,,,,,0.4700,0.00,1215.00
2026-02-04 22:07:00,0.4800,0.4800,0.4900,0.4900,0.4892,0.4700,39.00,1254.00
2026-02-04 22:08:00,,,,,,0.4900,0.00,1254.00
2026-02-04 22:10:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,39.00,1293.00
2026-02-04 22:11:00,,,,,,0.4900,0.00,1293.00
2026-02-04 22:12:00,,,,,,0.4900,0.00,1293.00
2026-02-04 22:15:00,,,,,,0.4900,0.00,1293.00
2026-02-04 22:19:00,,,,,,0.4900,0.00,1293.00
2026-02-04 22:20:00,0.4900,0.4900,0.4900,0.4900,0.4900,0.4900,40.00,1333.00
2026-02-04 22:22:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:23:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:24:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:25:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:26:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:27:00,,,,,,0.4900,0.00,1333.00
2026-02-04 22:28:00,0.4800,0.4800,0.4800,0.4800,0.4800,0.4900,4.00,1337.00
2026-02-04 22:29:00,,,,,,0.4800,0.00,1337.00
2026-02-04 22:30:00,,,,,,0.4800,0.00,1337.00
2026-02-04 22:31:00,,,,,,0.4800,0.00,1337.00
2026-02-04 22:32:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4800,10.00,1337.00
2026-02-04 22:33:00,,,,,,0.4500,0.00,1337.00
2026-02-04 22:34:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4500,2.00,1339.00
2026-02-04 22:35:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4600,5.00,1334.00
2026-02-04 22:36:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4400,25.00,1359.00
2026-02-04 22:37:00,,,,,,0.4600,0.00,1359.00
2026-02-04 22:38:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,35.00,1394.00
2026-02-04 22:40:00,,,,,,0.4600,0.00,1394.00
2026-02-04 22:41:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,254.00,1648.00
2026-02-04 22:42:00,,,,,,0.4600,0.00,1648.00
2026-02-04 22:43:00,,,,,,0.4600,0.00,1648.00
2026-02-04 22:44:00,0.4600,0.4600,0.4700,0.4700,0.4622,0.4600,805.00,2453.00
2026-02-04 22:46:00,,,,,,0.4700,0.00,2453.00
2026-02-04 22:51:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,42.00,2495.00
2026-02-04 22:52:00,,,,,,0.4600,0.00,2495.00
2026-02-04 22:53:00,0.4600,0.4600,0.4700,0.4700,0.4671,0.4600,206.00,2701.00
2026-02-04 22:54:00,,,,,,0.4700,0.00,2701.00
2026-02-04 22:55:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,300.00,3001.00
2026-02-04 22:56:00,,,,,,0.4600,0.00,3001.00
2026-02-04 22:57:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,57.00,3058.00
2026-02-04 22:58:00,,,,,,0.4600,0.00,3058.00
2026-02-04 22:59:00,0.4500,0.4500,0.4600,0.4600,0.4568,0.4600,126.00,3184.00
2026-02-04 23:00:00,,,,,,0.4600,0.00,3184.00
2026-02-04 23:01:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,196.00,3380.00
2026-02-04 23:02:00,,,,,,0.4600,0.00,3380.00
2026-02-04 23:03:00,,,,,,0.4600,0.00,3380.00
2026-02-04 23:04:00,,,,,,0.4600,0.00,3380.00
2026-02-04 23:06:00,,,,,,0.4600,0.00,3380.00
2026-02-04 23:07:00,,,,,,0.4600,0.00,3380.00
2026-02-04 23:08:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4600,51.00,3431.00
2026-02-04 23:09:00,,,,,,0.4700,0.00,3431.00
2026-02-04 23:10:00,,,,,,0.4700,0.00,3431.00
2026-02-04 23:11:00,,,,,,0.4700,0.00,3431.00
2026-02-04 23:12:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,19.00,3450.00
2026-02-04 23:13:00,,,,,,0.4700,0.00,3450.00
2026-02-04 23:14:00,,,,,,0.4700,0.00,3450.00
2026-02-04 23:15:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,41.00,3491.00
2026-02-04 23:17:00,,,,,,0.4700,0.00,3491.00
2026-02-04 23:18:00,,,,,,0.4700,0.00,3491.00
2026-02-04 23:20:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,20.00,3511.00
2026-02-04 23:21:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,5.00,3516.00
2026-02-04 23:26:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,212.00,3728.00
2026-02-04 23:27:00,,,,,,0.4700,0.00,3728.00
2026-02-04 23:28:00,0.4700,0.4700,0.4700,0.4700,0.4700,0.4700,41.00,3769.00
2026-02-04 23:31:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4700,54.00,3823.00
2026-02-04 23:32:00,,,,,,0.4600,0.00,3823.00
2026-02-04 23:33:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,31.00,3854.00
2026-02-04 23:34:00,,,,,,0.4600,0.00,3854.00
2026-02-04 23:35:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,20.00,3874.00
2026-02-04 23:36:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,10.00,3884.00
2026-02-04 23:37:00,,,,,,0.4600,0.00,3884.00
2026-02-04 23:38:00,,,,,,0.4600,0.00,3884.00
2026-02-04 23:39:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,21.00,3905.00
2026-02-04 23:40:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,252.00,4157.00
2026-02-04 23:41:00,0.4400,0.4400,0.4400,0.4400,0.4400,0.4600,41.00,4198.00
2026-02-04 23:43:00,0.4400,0.4400,0.4500,0.4500,0.4419,0.4400,568.00,4766.00
2026-02-04 23:44:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,446.00,5212.00
2026-02-04 23:45:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,92.00,5304.00
2026-02-04 23:46:00,0.4500,0.4500,0.4600,0.4600,0.4560,0.4500,421.00,5725.00
2026-02-04 23:47:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,104.00,5829.00
2026-02-04 23:48:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1010.00,6474.00
2026-02-04 23:49:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,20.00,6474.00
2026-02-04 23:50:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,52.00,6474.00
2026-02-04 23:51:00,,,,,,0.4600,0.00,6474.00
2026-02-04 23:52:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,412.00,6864.00
2026-02-04 23:53:00,0.4600,0.4600,0.4600,0.4600,0.4600,0.4600,1257.00,8121.00
2026-02-04 23:54:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4600,223.00,8344.00
2026-02-04 23:55:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,1145.00,9489.00
2026-02-04 23:56:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4500,103.00,9592.00
2026-02-04 23:57:00,0.4500,0.4300,0.4500,0.4300,0.4429,0.4500,234.00,9660.00
2026-02-04 23:58:00,0.4500,0.4500,0.4500,0.4500,0.4500,0.4300,131.00,9791.00
2026-02-04 23:59:00,0.4500,0.4400,0.4500,0.4400,0.4437,0.4500,284.00,10075.00
2026-02-05 00:00:00,0.4300,0.3800,0.4300,0.4200,0.3849,0.4400,1360.00,10386.00
2026-02-05 00:01:00,0.4200,0.4200,0.4300,0.4300,0.4285,0.4200,1099.00,11390.00
2026-02-05 00:02:00,0.4300,0.4100,0.4300,0.4300,0.4300,0.4300,1434.00,12823.00
2026-02-05 00:03:00,0.4200,0.3900,0.4300,0.3900,0.4191,0.4300,119.00,12940.00
2026-02-05 00:04:00,0.3800,0.2600,0.3800,0.3000,0.3112,0.3900,2039.00,12624.00
2026-02-05 00:05:00,0.3000,0.3000,0.3700,0.3700,0.3528,0.3000,1612.00,13148.00
2026-02-05 00:06:00,0.3900,0.3900,0.4400,0.4000,0.4125,0.3700,876.00,13771.00
2026-02-05 00:07:00,0.4000,0.4000,0.4200,0.4200,0.4139,0.4000,413.00,14159.00
2026-02-05 00:08:00,0.4000,0.3500,0.4000,0.3500,0.3650,0.4200,750.00,14566.00
2026-02-05 00:09:00,0.3500,0.3500,0.3900,0.3900,0.3626,0.3500,1339.00,14697.00
2026-02-05 00:10:00,0.4300,0.3900,0.4300,0.3900,0.4007,0.3900,1761.00,16156.00
2026-02-05 00:11:00,0.4000,0.3700,0.4300,0.4300,0.4268,0.3900,986.00,17050.00
2026-02-05 00:12:00,0.3800,0.3800,0.4000,0.4000,0.3888,0.4300,686.00,17663.00
2026-02-05 00:13:00,0.3900,0.3800,0.4000,0.4000,0.3987,0.4000,1160.00,17933.00
2026-02-05 00:14:00,0.4200,0.4200,0.4500,0.4500,0.4415,0.4000,2337.00,19356.00
2026-02-05 00:15:00,0.4300,0.4100,0.4500,0.4200,0.4300,0.4500,6468.00,25820.00
2026-02-05 00:16:00,0.4100,0.4100,0.4200,0.4200,0.4148,0.4200,168.00,25905.00
2026-02-05 00:17:00,0.4300,0.4300,0.4400,0.4400,0.4324,0.4200,756.00,26661.00
2026-02-05 00:18:00,0.4500,0.4500,0.4600,0.4600,0.4506,0.4400,4941.00,31534.00
2026-02-05 00:19:00,0.4600,0.4500,0.4600,0.4500,0.4573,0.4600,384.00,31734.00
2026-02-05 00:20:00,0.4600,0.4100,0.4600,0.4500,0.4307,0.4500,909.00,32516.00
2026-02-05 00:21:00,0.4300,0.4300,0.4500,0.4500,0.4426,0.4500,392.00,32370.00
2026-02-05 00:22:00,0.4500,0.4500,0.4600,0.4600,0.4502,0.4500,674.00,33044.00
2026-02-05 00:23:00,0.4300,0.4200,0.4300,0.4300,0.4281,0.4600,670.00,33714.00
2026-02-05 00:24:00,0.4100,0.4100,0.4300,0.4300,0.4211,0.4300,1059.00,33835.00
2026-02-05 00:25:00,0.4200,0.4200,0.4700,0.4700,0.4505,0.4300,2449.00,36258.00
2026-02-05 00:26:00,0.4500,0.4100,0.4500,0.4100,0.4188,0.4700,1628.00,37882.00
2026-02-05 00:27:00,0.4100,0.3300,0.4300,0.3500,0.3608,0.4100,8442.00,41749.00
2026-02-05 00:28:00,0.3600,0.3600,0.4000,0.4000,0.3682,0.3500,1056.00,42673.00
2026-02-05 00:29:00,0.4000,0.4000,0.4400,0.4400,0.4209,0.4000,569.00,43222.00
2026-02-05 00:30:00,0.4500,0.4400,0.4600,0.4600,0.4597,0.4400,8516.00,51332.00
2026-02-05 00:31:00,0.4700,0.4400,0.4800,0.4400,0.4454,0.4600,5024.00,55989.00
2026-02-05 00:32:00,0.4500,0.4400,0.4900,0.4400,0.4606,0.4400,645.00,56212.00
2026-02-05 00:33:00,0.4500,0.4500,0.5000,0.4500,0.4788,0.4400,186.00,56343.00
2026-02-05 00:34:00,0.4500,0.4000,0.4700,0.4000,0.4430,0.4500,269.00,56455.00
2026-02-05 00:35:00,0.4200,0.4100,0.4200,0.4200,0.4193,0.4000,1647.00,58102.00
2026-02-05 00:36:00,0.4400,0.4400,0.4800,0.4800,0.4767,0.4200,2382.00,60250.00
2026-02-05 00:37:00,0.4700,0.4400,0.4900,0.4800,0.4716,0.4800,2977.00,63124.00
2026-02-05 00:38:00,0.4800,0.4600,0.4800,0.4600,0.4697,0.4800,12495.00,75455.00
2026-02-05 00:39:00,0.4500,0.4200,0.4500,0.4500,0.4314,0.4600,2201.00,77409.00
2026-02-05 00:40:00,0.4400,0.4300,0.5000,0.5000,0.4844,0.4500,3893.00,80978.00
2026-02-05 00:41:00,0.5000,0.4600,0.5000,0.5000,0.4703,0.5000,7411.00,88201.00
2026-02-05 00:42:00,0.5100,0.5000,0.6300,0.5700,0.5437,0.5000,11816.00,97857.00
2026-02-05 00:43:00,0.6200,0.6200,0.7200,0.6900,0.6955,0.5700,5876.00,96579.00
2026-02-05 00:44:00,0.7100,0.6500,0.7200,0.6500,0.7072,0.6900,2813.00,98736.00
2026-02-05 00:45:00,0.6600,0.5500,0.6600,0.6100,0.5904,0.6500,2396.00,98557.00
2026-02-05 00:46:00,0.5900,0.4900,0.6100,0.5200,0.4963,0.6100,7507.00,92340.00
2026-02-05 00:47:00,0.5200,0.4800,0.5600,0.5600,0.5222,0.5200,3746.00,93167.00
2026-02-05 00:48:00,0.5800,0.4600,0.6200,0.4900,0.4922,0.5600,37169.00,129729.00
2026-02-05 00:49:00,0.4900,0.4500,0.5100,0.4900,0.4666,0.4900,2479.00,131035.00
2026-02-05 00:50:00,0.4900,0.4100,0.4900,0.4200,0.4597,0.4900,2528.00,133308.00
2026-02-05 00:51:00,0.4100,0.3800,0.4200,0.4200,0.4068,0.4200,6756.00,139474.00
2026-02-05 00:52:00,0.4200,0.4100,0.4300,0.4300,0.4194,0.4200,2404.00,141878.00
2026-02-05 00:53:00,0.4300,0.4300,0.4900,0.4900,0.4535,0.4300,1569.00,143292.00
2026-02-05 00:54:00,0.4800,0.4600,0.5100,0.4700,0.4816,0.4900,5765.00,148628.00
2026-02-05 00:55:00,0.4800,0.4700,0.5300,0.5300,0.4915,0.4700,7025.00,153824.00
2026-02-05 00:56:00,0.5600,0.5400,0.5900,0.5900,0.5644,0.5300,2484.00,154454.00
2026-02-05 00:57:00,0.5800,0.5100,0.5900,0.5300,0.5543,0.5900,4560.00,156981.00
2026-02-05 00:58:00,0.5300,0.5300,0.6100,0.5800,0.5632,0.5300,15488.00,167134.00
2026-02-05 00:59:00,0.5700,0.4600,0.6300,0.4900,0.5262,0.5800,7543.00,171949.00
2026-02-05 01:00:00,0.4900,0.3500,0.4900,0.3800,0.3960,0.4900,6903.00,177256.00
2026-02-05 01:01:00,0.3800,0.2400,0.4200,0.2700,0.3009,0.3800,5309.00,180294.00
2026-02-05 01:02:00,0.2500,0.2400,0.3000,0.2900,0.2684,0.2700,7100.00,181480.00
2026-02-05 01:03:00,0.3000,0.2200,0.3800,0.2500,0.2951,0.2900,7094.00,187800.00
2026-02-05 01:04:00,0.2500,0.2400,0.2600,0.2600,0.2523,0.2500,14476.00,201482.00
2026-02-05 01:05:00,0.2600,0.2500,0.2600,0.2600,0.2600,0.2600,12454.00,213892.00
2026-02-05 01:06:00,0.2600,0.2300,0.2800,0.2300,0.2653,0.2600,14164.00,227852.00
2026-02-05 01:07:00,0.2300,0.2300,0.2800,0.2500,0.2571,0.2300,23057.00,250172.00
2026-02-05 01:08:00,0.2700,0.2600,0.3000,0.3000,0.2911,0.2500,13772.00,263268.00
2026-02-05 01:09:00,0.2900,0.2900,0.3100,0.3000,0.3085,0.3000,19110.00,282017.00
2026-02-05 01:10:00,0.3000,0.2900,0.3100,0.2900,0.2952,0.3000,3229.00,285007.00
2026-02-05 01:11:00,0.2900,0.2600,0.3000,0.2700,0.2701,0.2900,12725.00,294259.00
2026-02-05 01:12:00,0.2700,0.2600,0.2700,0.2700,0.2686,0.2700,4195.00,297886.00
2026-02-05 01:13:00,0.2700,0.2200,0.2800,0.2500,0.2550,0.2700,9427.00,306974.00
2026-02-05 01:14:00,0.2200,0.1200,0.2500,0.1400,0.1713,0.2500,14387.00,312428.00
2026-02-05 01:15:00,0.1200,0.1100,0.1700,0.1500,0.1405,0.1400,12785.00,317182.00
2026-02-05 01:16:00,0.1500,0.0900,0.1900,0.1100,0.1311,0.1500,22208.00,333465.00
2026-02-05 01:17:00,0.1000,0.1000,0.1300,0.1000,0.1221,0.1100,50136.00,379879.00
2026-02-05 01:18:00,0.1100,0.0700,0.1400,0.1200,0.1023,0.1000,5394.00,382554.00
2026-02-05 01:19:00,0.1200,0.0800,0.1400,0.0900,0.0999,0.1200,25007.00,406545.00
2026-02-05 01:20:00,0.0800,0.0700,0.1100,0.1100,0.1022,0.0900,16012.00,417430.00
2026-02-05 01:21:00,0.1100,0.0700,0.1300,0.0700,0.0965,0.1100,32231.00,448010.00
2026-02-05 01:22:00,0.0700,0.0700,0.1100,0.1100,0.0961,0.0700,22458.00,456883.00
2026-02-05 01:23:00,0.1100,0.0900,0.1200,0.1100,0.1100,0.1100,24151.00,480410.00
2026-02-05 01:24:00,0.1100,0.1000,0.1300,0.1200,0.1112,0.1100,7404.00,487437.00
2026-02-05 01:25:00,0.1200,0.0700,0.1200,0.0700,0.0881,0.1200,25058.00,503249.00
2026-02-05 01:26:00,0.0800,0.0600,0.0900,0.0700,0.0708,0.0700,14786.00,513432.00
2026-02-05 01:27:00,0.0700,0.0500,0.0800,0.0600,0.0675,0.0700,27599.00,536657.00
2026-02-05 01:28:00,0.0600,0.0500,0.0900,0.0800,0.0780,0.0600,35557.00,572011.00
2026-02-05 01:29:00,0.0900,0.0500,0.0900,0.0800,0.0697,0.0800,5800.00,576149.00
2026-02-05 01:30:00,0.0800,0.0600,0.0900,0.0900,0.0856,0.0800,14422.00,588149.00
2026-02-05 01:31:00,0.0800,0.0700,0.1000,0.0700,0.0835,0.0900,16229.00,603489.00
2026-02-05 01:32:00,0.0700,0.0400,0.0700,0.0400,0.0564,0.0700,23344.00,625578.00
2026-02-05 01:33:00,0.0500,0.0300,0.0500,0.0500,0.0341,0.0400,14226.00,619135.00
