end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-06 00:51:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,13.00,6547.00
2026-02-06 00:52:00,,,,,,0.7200,0.00,6547.00
2026-02-06 00:53:00,0.7200,0.7200,0.7200,0.7200,0.7200,0.7200,133.00,6680.00
2026-02-06 00:54:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7200,107.00,6680.00
2026-02-06 00:55:00,,,,,,0.6900,0.00,6680.00
2026-02-06 00:56:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,182.00,6862.00
2026-02-06 00:57:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,235.00,7097.00
2026-02-06 00:58:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,85.00,7182.00
2026-02-06 00:59:00,,,,,,0.6900,0.00,7182.00
2026-02-06 01:00:00,,,,,,0.6900,0.00,7182.00
2026-02-06 01:01:00,,,,,,0.6900,0.00,7182.00
2026-02-06 01:02:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,697.00,7879.00
2026-02-06 01:03:00,,,,,,0.6900,0.00,7879.00
2026-02-06 01:04:00,,,,,,0.6900,0.00,7879.00
2026-02-06 01:05:00,,,,,,0.6900,0.00,7879.00
2026-02-06 01:06:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,249.00,8128.00
2026-02-06 01:07:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,425.00,8553.00
2026-02-06 01:08:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,119.00,8672.00
2026-02-06 01:09:00,,,,,,0.6900,0.00,8672.00
2026-02-06 01:10:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,21.00,8693.00
2026-02-06 01:11:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,13.00,8706.00
2026-02-06 01:12:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,7.00,8713.00
2026-02-06 01:13:00,,,,,,0.6900,0.00,8713.00
2026-02-06 01:14:00,,,,,,0.6900,0.00,8713.00
2026-02-06 01:15:00,0.6900,0.6500,0.6900,0.6700,0.6739,0.6900,362.00,8940.00
2026-02-06 01:16:00,,,,,,0.6700,0.00,8940.00
2026-02-06 01:17:00,,,,,,0.6700,0.00,8940.00
2026-02-06 01:18:00,,,,,,0.6700,0.00,8940.00
2026-02-06 01:19:00,0.6600,0.6600,0.6600,0.6600,0.6600,0.6700,1.00,8941.00
2026-02-06 01:20:00,0.6600,0.6600,0.6700,0.6700,0.6686,0.6600,365.00,9306.00
2026-02-06 01:21:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,27.00,9333.00
2026-02-06 01:22:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,3884.00,13217.00
2026-02-06 01:23:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6700,146.00,13363.00
2026-02-06 01:24:00,,,,,,0.6700,0.00,13363.00
2026-02-06 01:25:00,,,,,,0.6700,0.00,13363.00
2026-02-06 01:26:00,,,,,,0.6700,0.00,13363.00
2026-02-06 01:27:00,0.6700,0.6700,0.6800,0.6800,0.6746,0.6700,2212.00,15575.00
2026-02-06 01:28:00,,,,,,0.6800,0.00,15575.00
2026-02-06 01:29:00,,,,,,0.6800,0.00,15575.00
2026-02-06 01:30:00,0.6800,0.6800,0.6800,0.6800,0.6800,0.6800,173.00,15748.00
2026-02-06 01:31:00,0.6800,0.6700,0.6800,0.6800,0.6749,0.6800,1055.00,16803.00
2026-02-06 01:32:00,0.6700,0.6700,0.6700,0.6700,0.6700,0.6800,50.00,16853.00
