end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 10:38:00,,,,,,0.7000,0.00,395.00
2026-02-05 10:40:00,,,,,,0.7000,0.00,395.00
2026-02-05 10:41:00,,,,,,0.7000,0.00,395.00
2026-02-05 10:42:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.7000,142.00,537.00
2026-02-05 10:43:00,,,,,,0.6900,0.00,537.00
2026-02-05 10:44:00,,,,,,0.6900,0.00,537.00
2026-02-05 10:45:00,0.6900,0.6900,0.6900,0.6900,0.6900,0.6900,10.00,547.00
2026-02-05 10:47:00,,,,,,0.6900,0.00,547.00
2026-02-05 10:49:00,0.6900,0.6900,0.7000,0.7000,0.6936,0.6900,141.00,688.00
2026-02-05 10:50:00,,,,,,0.7000,0.00,688.00
2026-02-05 10:53:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,6.00,694.00
2026-02-05 10:54:00,,,,,,0.7000,0.00,694.00
2026-02-05 10:55:00,,,,,,0.7000,0.00,694.00
2026-02-05 10:56:00,,,,,,0.7000,0.00,694.00
2026-02-05 10:59:00,,,,,,0.7000,0.00,694.00
2026-02-05 11:02:00,,,,,,0.7000,0.00,694.00
2026-02-05 11:05:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,695.00
2026-02-05 11:06:00,,,,,,0.7000,0.00,695.00
2026-02-05 11:08:00,,,,,,0.7000,0.00,695.00
2026-02-05 11:11:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,419.00,1114.00
2026-02-05 11:14:00,,,,,,0.7000,0.00,1114.00
2026-02-05 11:16:00,0.7000,0.7000,0.7000,0.7000,0.7000,0.7000,1.00,1115.00
2026-02-05 11:17:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:20:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:22:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:23:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:24:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:27:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:28:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:29:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:30:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:31:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:33:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:40:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:41:00,,,,,,0.7000,0.00,1115.00
2026-02-05 11:42:00,,,,,,0.7000,0.00,1115.00
