end_period_ts,open,low,high,close,mean,previous,volume,open_interest
2026-02-05 10:38:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:40:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:41:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:42:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1.00,243.00
2026-02-05 10:43:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:44:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:47:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:49:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:50:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:53:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:54:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,17.00,243.00
2026-02-05 10:55:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:56:00,,,,,,0.3300,0.00,243.00
2026-02-05 10:59:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:02:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:05:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:08:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:09:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:11:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:14:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:16:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:17:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:20:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:22:00,,,,,,0.3300,0.00,243.00
2026-02-05 11:23:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,578.00,719.00
2026-02-05 11:24:00,,,,,,0.3300,0.00,719.00
2026-02-05 11:26:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,2.00,721.00
2026-02-05 11:27:00,,,,,,0.3300,0.00,721.00
2026-02-05 11:28:00,,,,,,0.3300,0.00,721.00
2026-02-05 11:29:00,,,,,,0.3300,0.00,721.00
2026-02-05 11:30:00,,,,,,0.3300,0.00,721.00
2026-02-05 11:31:00,,,,,,0.3300,0.00,721.00
2026-02-05 11:33:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,100.00,821.00
2026-02-05 11:40:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,28.00,849.00
2026-02-05 11:41:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:42:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:47:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:48:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:49:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:52:00,,,,,,0.3300,0.00,849.00
2026-02-05 11:54:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,43.00,892.00
2026-02-05 11:55:00,,,,,,0.3300,0.00,892.00
2026-02-05 11:57:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,1.00,893.00
2026-02-05 11:58:00,,,,,,0.3300,0.00,893.00
2026-02-05 12:00:00,,,,,,0.3300,0.00,893.00
2026-02-05 12:01:00,0.3400,0.3400,0.3400,0.3400,0.3400,0.3300,138.00,1031.00
2026-02-05 12:02:00,,,,,,0.3400,0.00,1031.00
2026-02-05 12:03:00,,,,,,0.3400,0.00,1031.00
2026-02-05 12:04:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,7.00,1038.00
2026-02-05 12:05:00,,,,,,0.3300,0.00,1038.00
2026-02-05 12:06:00,,,,,,0.3300,0.00,1038.00
2026-02-05 12:07:00,,,,,,0.3300,0.00,1038.00
2026-02-05 12:08:00,,,,,,0.3300,0.00,1038.00
2026-02-05 12:09:00,0.3300,0.3300,0.3400,0.3400,0.3314,0.3300,283.00,1321.00
2026-02-05 12:10:00,,,,,,0.3400,0.00,1321.00
2026-02-05 12:11:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3400,31.00,1352.00
2026-02-05 12:12:00,0.3300,0.3300,0.3300,0.3300,0.3300,0.3300,50.00,1402.00
2026-02-05 12:13:00,,,,,,0.3300,0.00,1402.00
2026-02-05 12:14:00,,,,,,0.3300,0.00,1402.00
2026-02-05 12:15:00,0.3300,0.3300,0.3600,0.3600,0.3557,0.3300,244.00,1646.00
2026-02-05 12:16:00,0.3700,0.3200,0.3700,0.3600,0.3537,0.3600,615.00,2261.00
2026-02-05 12:17:00,0.3600,0.3600,0.3800,0.3700,0.3729,0.3600,189.00,2450.00
2026-02-05 12:18:00,0.3400,0.2900,0.3400,0.3200,0.3189,0.3700,7328.00,9429.00
2026-02-05 12:19:00,0.3200,0.3200,0.3700,0.3400,0.3455,0.3200,3223.00,9950.00
